Date,Weekly_Sales,IsHoliday,Temperature,Fuel_Price,Unemployment,MarkDown
2011-06-24,15682.81,No,83.58,3.594,7.682,No Markdown
2011-07-01,15363.5,No,85.55,3.5239999999999996,7.9620000000000015,No Markdown
2011-07-08,16148.87,No,85.83,3.48,7.9620000000000015,No Markdown
2011-07-15,15654.85,No,88.54,3.575,7.9620000000000015,No Markdown
2011-07-22,15766.6,No,85.77,3.6510000000000002,7.9620000000000015,No Markdown
2011-07-29,15922.41,No,86.83,3.682,7.9620000000000015,No Markdown
2011-08-05,15295.55,No,91.65,3.6839999999999997,7.9620000000000015,No Markdown
2011-08-12,14539.79,No,90.76,3.638,7.9620000000000015,No Markdown
2011-08-19,14689.24,No,89.94,3.554,7.9620000000000015,No Markdown
2011-08-26,14537.37,No,87.96,3.523,7.9620000000000015,No Markdown
2011-09-02,15277.27,No,87.83,3.533,7.9620000000000015,No Markdown
2011-09-09,17746.68,Yes,76.0,3.5460000000000003,7.9620000000000015,No Markdown
2011-09-16,18535.48,No,79.94,3.5260000000000002,7.9620000000000015,No Markdown
2011-09-23,17859.3,No,75.8,3.467,7.9620000000000015,No Markdown
2011-09-30,18337.68,No,79.69,3.355,7.9620000000000015,No Markdown
2011-10-07,20797.58,No,69.31,3.285,7.8660000000000005,No Markdown
2011-10-14,23077.55,No,71.74,3.2739999999999996,7.8660000000000005,No Markdown
2011-10-21,23351.8,No,63.71,3.353,7.8660000000000005,No Markdown
2011-10-28,31579.9,No,66.57,3.372,7.8660000000000005,No Markdown
2011-11-04,39886.06,No,54.98,3.332,7.8660000000000005,No Markdown
2011-11-11,18689.54,No,59.11,3.2969999999999997,7.8660000000000005,MarkDown1
2011-11-18,19050.66,No,62.25,3.3080000000000003,7.8660000000000005,MarkDown1
2011-11-25,20911.25,Yes,60.14,3.236,7.8660000000000005,MarkDown3
2011-12-02,25293.49,No,48.91,3.1719999999999997,7.8660000000000005,MarkDown5
2011-12-09,33305.92,No,43.93,3.158,7.8660000000000005,MarkDown5
2011-12-16,45773.03,No,51.63,3.159,7.8660000000000005,MarkDown1
2011-12-23,46788.75,No,47.96,3.112,7.8660000000000005,MarkDown5
2011-12-30,23350.88,Yes,44.55,3.1289999999999996,7.8660000000000005,MarkDown2
2012-01-06,16567.69,No,49.01,3.157,7.348,MarkDown2
2012-01-13,16894.4,No,48.53,3.261,7.348,MarkDown2
2012-01-20,18365.1,No,54.11,3.2680000000000002,7.348,MarkDown1
2012-01-27,18378.16,No,54.26,3.29,7.348,MarkDown5
2012-02-03,23510.49,No,56.55,3.36,7.348,MarkDown1
2012-02-10,36988.49,Yes,48.02,3.409,7.348,MarkDown1
2012-02-17,54060.1,No,45.32,3.51,7.348,MarkDown2
2012-02-24,20124.22,No,57.25,3.555,7.348,MarkDown1
2012-03-02,20113.03,No,60.96,3.63,7.348,MarkDown4
2012-03-09,21140.07,No,58.76,3.6689999999999996,7.348,MarkDown1
2012-03-16,22366.88,No,64.74,3.734,7.348,MarkDown1
2012-03-23,22107.7,No,65.93,3.787,7.348,MarkDown1
2012-03-30,28952.86,No,67.61,3.845,7.348,MarkDown1
2012-04-06,57592.12,No,70.43,3.891,7.143,MarkDown2
2012-04-13,34684.21,No,69.07,3.891,7.143,MarkDown1
2012-04-20,16976.19,No,66.76,3.877,7.143,MarkDown5
2012-04-27,16347.6,No,67.23,3.8139999999999996,7.143,MarkDown2
2012-05-04,17147.44,No,75.55,3.7489999999999997,7.143,MarkDown2
2012-05-11,18164.2,No,73.77,3.688,7.143,MarkDown2
2012-05-18,18517.79,No,70.33,3.63,7.143,MarkDown2
2012-05-25,16963.55,No,77.22,3.5610000000000004,7.143,MarkDown2
2012-06-01,16065.49,No,77.95,3.5010000000000003,7.143,MarkDown1
2012-06-08,17666.0,No,78.3,3.452,7.143,MarkDown1
2012-06-15,17558.82,No,79.35,3.3930000000000002,7.143,MarkDown1
2012-06-22,16633.41,No,78.39,3.346,7.143,MarkDown1
2012-06-29,15722.82,No,84.88,3.286,7.143,MarkDown3
2012-07-06,17823.37,No,81.57,3.227,6.9079999999999995,MarkDown1
2012-07-13,16566.18,No,77.12,3.2560000000000002,6.9079999999999995,MarkDown1
2012-07-20,16348.06,No,80.42,3.3110000000000004,6.9079999999999995,MarkDown5
2012-07-27,15731.18,No,82.66,3.407,6.9079999999999995,MarkDown4
2012-08-03,16628.31,No,86.11,3.417,6.9079999999999995,MarkDown1
2012-08-10,16119.92,No,85.05,3.4939999999999998,6.9079999999999995,MarkDown1
2012-08-17,17330.7,No,84.85,3.571,6.9079999999999995,MarkDown1
2012-08-24,16286.4,No,77.66,3.62,6.9079999999999995,MarkDown5
2012-08-31,16680.24,No,80.49,3.638,6.9079999999999995,MarkDown1
2012-09-07,18322.37,Yes,83.96,3.73,6.9079999999999995,MarkDown1
2012-09-14,19616.22,No,74.97,3.717,6.9079999999999995,MarkDown1
2012-09-21,19251.5,No,69.87,3.721,6.9079999999999995,MarkDown5
2012-09-28,18947.81,No,76.08,3.6660000000000004,6.9079999999999995,MarkDown5
2012-10-05,21904.47,No,68.55,3.617,6.5729999999999995,MarkDown2
2012-10-12,22764.01,No,62.99,3.6010000000000004,6.5729999999999995,MarkDown2
2012-10-19,24185.27,No,67.97,3.594,6.5729999999999995,MarkDown2
2012-10-26,27390.81,No,69.16,3.5060000000000002,6.5729999999999995,MarkDown1
