"business_id","date","description"
54,"20170215","Unapproved or unmaintained equipment or utensils"
54,"20170215","High risk vermin infestation"
56,"20170518","Insufficient hot water or running water"
56,"20170420","Insufficient hot water or running water  [ date violation corrected: 5/18/2017 ]"
56,"20170420","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 5/18/2017 ]"
56,"20170420","Permit license or inspection report not posted  [ date violation corrected: 5/18/2017 ]"
56,"20160802","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 4/20/2017 ]"
56,"20160802","Unclean or degraded floors walls or ceilings  [ date violation corrected: 4/20/2017 ]"
56,"20160802","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 8/2/2016 ]"
56,"20160802","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 4/20/2017 ]"
56,"20151222","Foods not protected from contamination  [ date violation corrected: 12/30/2015 ]"
56,"20151222","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 12/30/2015 ]"
56,"20151222","Moderate risk food holding temperature   [ date violation corrected: 12/30/2015 ]"
58,"20170918","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 9/18/2017 ]"
58,"20170918","Insufficient hot water or running water  [ date violation corrected: 9/20/2017 ]"
58,"20170918","Improper cooling methods  [ date violation corrected: 9/20/2017 ]"
58,"20170918","Improper food storage  [ date violation corrected: 11/22/2017 ]"
58,"20170918","Inadequate food safety knowledge or lack of certified food safety manager"
58,"20170918","Improper or defective plumbing  [ date violation corrected: 9/20/2017 ]"
58,"20170918","High risk food holding temperature   [ date violation corrected: 9/20/2017 ]"
58,"20160407","High risk food holding temperature   [ date violation corrected: 4/7/2016 ]"
58,"20160407","Inadequate ventilation or lighting  [ date violation corrected: 9/18/2017 ]"
58,"20160407","Unclean or unsanitary food contact surfaces  [ date violation corrected: 4/7/2016 ]"
58,"20160407","Improper cooling methods  [ date violation corrected: 4/7/2016 ]"
58,"20160407","Low risk vermin infestation  [ date violation corrected: 9/18/2017 ]"
58,"20160407","No thermometers or uncalibrated thermometers   [ date violation corrected: 9/18/2017 ]"
61,"20171128","Foods not protected from contamination  [ date violation corrected: 11/28/2017 ]"
61,"20171128","Unapproved or unmaintained equipment or utensils"
61,"20170124","Inadequate dressing rooms or improper storage of personal items  [ date violation corrected: 11/28/2017 ]"
61,"20160708","Unclean nonfood contact surfaces  [ date violation corrected: 1/24/2017 ]"
61,"20160708","Improper or defective plumbing  [ date violation corrected: 1/24/2017 ]"
61,"20160708","Improper food storage  [ date violation corrected: 1/24/2017 ]"
61,"20150827","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 7/8/2016 ]"
61,"20150827","Unclean nonfood contact surfaces  [ date violation corrected: 7/8/2016 ]"
61,"20150827","Foods not protected from contamination  [ date violation corrected: 7/8/2016 ]"
66,"20170703","Inadequate warewashing facilities or equipment"
66,"20170703","Unclean or degraded floors walls or ceilings"
66,"20160322","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 9/2/2016 ]"
67,"20170804","Improper food storage  [ date violation corrected: 8/4/2017 ]"
67,"20170804","Unclean nonfood contact surfaces  [ date violation corrected: 8/4/2017 ]"
67,"20170804","High risk vermin infestation  [ date violation corrected: 8/4/2017 ]"
67,"20170804","Inadequate ventilation or lighting  [ date violation corrected: 10/23/2017 ]"
67,"20170804","Moderate risk food holding temperature   [ date violation corrected: 8/4/2017 ]"
67,"20170804","Improper or defective plumbing  [ date violation corrected: 8/4/2017 ]"
67,"20161019","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 10/19/2016 ]"
67,"20161019","Unclean or degraded floors walls or ceilings  [ date violation corrected: 8/4/2017 ]"
67,"20160401","Low risk vermin infestation  [ date violation corrected: 10/19/2016 ]"
67,"20160401","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 10/19/2016 ]"
67,"20160401","Unclean or degraded floors walls or ceilings  [ date violation corrected: 10/19/2016 ]"
67,"20160401","Unclean or unsanitary food contact surfaces  [ date violation corrected: 4/8/2016 ]"
67,"20150520","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 4/1/2016 ]"
67,"20150520","Improper storage of equipment utensils or linens  [ date violation corrected: 4/1/2016 ]"
67,"20150520","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 5/20/2015 ]"
73,"20171129","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 12/7/2017 ]"
73,"20171129","Moderate risk vermin infestation  [ date violation corrected: 12/7/2017 ]"
73,"20171129","Improper or defective plumbing  [ date violation corrected: 12/7/2017 ]"
73,"20171129","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 12/7/2017 ]"
73,"20160927","Unclean or degraded floors walls or ceilings  [ date violation corrected: 10/17/2016 ]"
73,"20160927","Moderate risk vermin infestation  [ date violation corrected: 10/17/2016 ]"
73,"20160927","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 10/17/2016 ]"
73,"20150717","Low risk vermin infestation  [ date violation corrected: 9/27/2016 ]"
73,"20150717","Improper storage of equipment utensils or linens  [ date violation corrected: 9/27/2016 ]"
73,"20150717","Improper food storage  [ date violation corrected: 9/27/2016 ]"
73,"20150717","Improper storage use or identification of toxic substances  [ date violation corrected: 9/27/2016 ]"
73,"20150717","High risk food holding temperature   [ date violation corrected: 9/27/2016 ]"
76,"20161005","Unclean or degraded floors walls or ceilings  [ date violation corrected: 11/1/2017 ]"
77,"20171101","Improper food storage"
77,"20171101","Inadequately cleaned or sanitized food contact surfaces"
77,"20161005","Improper food storage  [ date violation corrected: 11/1/2017 ]"
77,"20161005","Unclean or degraded floors walls or ceilings  [ date violation corrected: 11/1/2017 ]"
77,"20160311","High risk food holding temperature   [ date violation corrected: 10/5/2016 ]"
77,"20160311","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 10/5/2016 ]"
80,"20171204","Food safety certificate or food handler card not available"
80,"20171204","Other low risk violation"
80,"20160412","Improper food storage  [ date violation corrected: 12/4/2017 ]"
81,"20171205","Other low risk violation"
81,"20150330","Moderate risk food holding temperature   [ date violation corrected: 5/4/2015 ]"
88,"20171016","Unclean or degraded floors walls or ceilings  [ date violation corrected: 10/25/2017 ]"
88,"20171016","Permit license or inspection report not posted  [ date violation corrected: 10/25/2017 ]"
88,"20171016","Improper reheating of food  [ date violation corrected: 10/25/2017 ]"
88,"20171016","High risk food holding temperature   [ date violation corrected: 10/25/2017 ]"
88,"20170111","Improper food storage  [ date violation corrected: 10/16/2017 ]"
88,"20170111","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 10/16/2017 ]"
88,"20170111","Unclean nonfood contact surfaces  [ date violation corrected: 10/16/2017 ]"
88,"20150824","Unclean or degraded floors walls or ceilings  [ date violation corrected: 10/6/2015 ]"
88,"20150824","Permit license or inspection report not posted  [ date violation corrected: 10/6/2015 ]"
88,"20150824","High risk food holding temperature   [ date violation corrected: 10/6/2015 ]"
95,"20171016","Unclean or degraded floors walls or ceilings"
95,"20171016","Inadequate food safety knowledge or lack of certified food safety manager"
95,"20171016","High risk vermin infestation"
95,"20171016","Inadequately cleaned or sanitized food contact surfaces"
95,"20170307","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 9/26/2017 ]"
95,"20170307","Inadequate warewashing facilities or equipment  [ date violation corrected: 9/26/2017 ]"
95,"20170307","Unclean or degraded floors walls or ceilings  [ date violation corrected: 9/26/2017 ]"
95,"20170307","Unclean nonfood contact surfaces  [ date violation corrected: 9/26/2017 ]"
95,"20160718","Unclean or degraded floors walls or ceilings  [ date violation corrected: 8/29/2016 ]"
95,"20160718","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 8/29/2016 ]"
95,"20160718","Unclean nonfood contact surfaces  [ date violation corrected: 8/29/2016 ]"
95,"20160718","Moderate risk vermin infestation  [ date violation corrected: 8/29/2016 ]"
95,"20160718","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 8/29/2016 ]"
95,"20151210","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 6/28/2016 ]"
95,"20151210","Moderate risk vermin infestation  [ date violation corrected: 6/28/2016 ]"
95,"20151210","Unclean or degraded floors walls or ceilings  [ date violation corrected: 6/28/2016 ]"
95,"20151210","Unclean nonfood contact surfaces  [ date violation corrected: 6/28/2016 ]"
98,"20171003","Unclean or degraded floors walls or ceilings"
98,"20171003","Inadequate and inaccessible handwashing facilities"
98,"20160316","Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 10/3/2017 ]"
98,"20150629","Moderate risk vermin infestation  [ date violation corrected: 6/29/2015 ]"
98,"20150629","Unclean or degraded floors walls or ceilings  [ date violation corrected: 3/16/2016 ]"
99,"20171207","Non service animal"
99,"20171207","Inadequately cleaned or sanitized food contact surfaces"
99,"20171207","Moderate risk vermin infestation"
99,"20171207","Foods not protected from contamination"
99,"20171207","Unapproved  living quarters in food facility"
99,"20171207","Improper food storage"
99,"20150811","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 8/18/2015 ]"
99,"20150811","Inadequate ventilation or lighting  [ date violation corrected: 8/18/2015 ]"
99,"20150811","Foods not protected from contamination  [ date violation corrected: 8/18/2015 ]"
99,"20150811","Improper thawing methods   [ date violation corrected: 8/18/2015 ]"
99,"20150811","Improper storage of equipment utensils or linens  [ date violation corrected: 8/18/2015 ]"
99,"20150811","Improper food storage  [ date violation corrected: 8/18/2015 ]"
99,"20150811","Moderate risk vermin infestation  [ date violation corrected: 8/18/2015 ]"
99,"20150811","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 8/18/2015 ]"
101,"20170627","Inadequate food safety knowledge or lack of certified food safety manager"
101,"20170627","Insufficient hot water or running water"
101,"20170627","Wiping cloths not clean or properly stored or inadequate sanitizer"
101,"20160525","Unclean or degraded floors walls or ceilings  [ date violation corrected: 6/27/2017 ]"
102,"20170728","Inadequately cleaned or sanitized food contact surfaces"
102,"20170728","Moderate risk food holding temperature "
102,"20161103","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 7/28/2017 ]"
102,"20161103","Food safety certificate or food handler card not available  [ date violation corrected: 7/28/2017 ]"
102,"20161103","Unclean or unsanitary food contact surfaces  [ date violation corrected: 11/3/2016 ]"
102,"20161103","Unclean nonfood contact surfaces  [ date violation corrected: 7/28/2017 ]"
108,"20170106","Unclean or degraded floors walls or ceilings"
108,"20170106","Food safety certificate or food handler card not available"
108,"20150417","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 1/6/2017 ]"
108,"20150417","Foods not protected from contamination  [ date violation corrected: 1/6/2017 ]"
116,"20170509","Moderate risk food holding temperature   [ date violation corrected: 5/9/2017 ]"
116,"20160527","Improper cooling methods  [ date violation corrected: 5/9/2017 ]"
116,"20160527","Unclean or unsanitary food contact surfaces  [ date violation corrected: 6/10/2016 ]"
116,"20160527","Permit license or inspection report not posted  [ date violation corrected: 6/10/2016 ]"
116,"20160527","Employee eating or smoking  [ date violation corrected: 6/10/2016 ]"
116,"20160527","Food safety certificate or food handler card not available  [ date violation corrected: 6/10/2016 ]"
116,"20160527","Improper or defective plumbing  [ date violation corrected: 6/10/2016 ]"
121,"20170418","Noncompliance with HAACP plan or variance"
121,"20170418","Improper or defective plumbing"
121,"20170418","Inadequately cleaned or sanitized food contact surfaces"
121,"20151020","Moderate risk vermin infestation  [ date violation corrected: 10/29/2015 ]"
121,"20151020","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 10/29/2015 ]"
121,"20151020","Improper storage use or identification of toxic substances  [ date violation corrected: 10/29/2015 ]"
121,"20151020","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 10/29/2015 ]"
125,"20170719","Unapproved or unmaintained equipment or utensils"
125,"20170719","Low risk vermin infestation"
125,"20170719","Inadequately cleaned or sanitized food contact surfaces"
125,"20170719","Improper or defective plumbing"
125,"20160520","Unclean or degraded floors walls or ceilings  [ date violation corrected: 7/19/2017 ]"
125,"20160520","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 7/19/2017 ]"
125,"20160520","Low risk vermin infestation  [ date violation corrected: 7/19/2017 ]"
134,"20170214","No hot water or running water  [ date violation corrected: 2/15/2017 ]"
134,"20150806","Improper storage of equipment utensils or linens  [ date violation corrected: 2/14/2017 ]"
140,"20180105","Inadequately cleaned or sanitized food contact surfaces"
140,"20180105","Moderate risk vermin infestation"
140,"20180105","Permit license or inspection report not posted"
140,"20180105","Moderate risk food holding temperature "
140,"20171011","Insufficient hot water or running water  [ date violation corrected: 12/31/2017 ]"
140,"20171011","Improper food storage  [ date violation corrected: 10/18/2017 ]"
140,"20171011","Unclean or unsanitary food contact surfaces  [ date violation corrected: 10/18/2017 ]"
140,"20171011","Moderate risk vermin infestation  [ date violation corrected: 10/18/2017 ]"
140,"20171011","Inadequate warewashing facilities or equipment  [ date violation corrected: 10/18/2017 ]"
140,"20171011","Moderate risk food holding temperature   [ date violation corrected: 10/18/2017 ]"
140,"20160414","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 5/20/2016 ]"
140,"20160414","Unclean or degraded floors walls or ceilings  [ date violation corrected: 5/20/2016 ]"
140,"20160414","High risk food holding temperature   [ date violation corrected: 4/14/2016 ]"
140,"20160414","Permit license or inspection report not posted  [ date violation corrected: 4/14/2016 ]"
146,"20161017","Improper food storage"
146,"20161017","Inadequately cleaned or sanitized food contact surfaces"
146,"20161017","Unclean or degraded floors walls or ceilings"
146,"20161017","Moderate risk food holding temperature "
146,"20161017","Inadequate food safety knowledge or lack of certified food safety manager"
146,"20160407","Foods not protected from contamination  [ date violation corrected: 10/17/2016 ]"
146,"20160407","Low risk vermin infestation  [ date violation corrected: 10/17/2016 ]"
146,"20160407","Moderate risk food holding temperature   [ date violation corrected: 10/17/2016 ]"
146,"20160407","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 10/17/2016 ]"
146,"20160407","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 10/17/2016 ]"
146,"20150723","High risk food holding temperature   [ date violation corrected: 4/7/2016 ]"
146,"20150723","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 4/7/2016 ]"
151,"20160726","Inadequately cleaned or sanitized food contact surfaces"
151,"20160726","Insufficient hot water or running water"
151,"20150520","Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 6/29/2015 ]"
151,"20150520","High risk food holding temperature   [ date violation corrected: 6/29/2015 ]"
151,"20150520","Improper storage use or identification of toxic substances  [ date violation corrected: 6/29/2015 ]"
155,"20170227","Unclean or degraded floors walls or ceilings  [ date violation corrected: 5/4/2017 ]"
155,"20170227","High risk vermin infestation  [ date violation corrected: 5/4/2017 ]"
155,"20170227","Moderate risk food holding temperature   [ date violation corrected: 5/4/2017 ]"
155,"20170227","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 5/4/2017 ]"
155,"20170227","Foods not protected from contamination  [ date violation corrected: 5/4/2017 ]"
155,"20151229","High risk vermin infestation  [ date violation corrected: 2/27/2017 ]"
155,"20150610","High risk vermin infestation  [ date violation corrected: 6/18/2015 ]"
155,"20150610","Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 6/18/2015 ]"
155,"20150610","Food safety certificate or food handler card not available  [ date violation corrected: 6/18/2015 ]"
164,"20170908","Inadequately cleaned or sanitized food contact surfaces"
164,"20170908","Inadequate warewashing facilities or equipment"
164,"20170908","Moderate risk food holding temperature "
164,"20170908","Unclean hands or improper use of gloves  [ date violation corrected: 9/8/2017 ]"
164,"20161110","High risk food holding temperature   [ date violation corrected: 9/8/2017 ]"
164,"20161110","Discharge from employee nose mouth or eye  [ date violation corrected: 9/8/2017 ]"
164,"20161110","Permit license or inspection report not posted  [ date violation corrected: 9/8/2017 ]"
164,"20151106","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 11/10/2016 ]"
164,"20151106","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 11/10/2016 ]"
180,"20170815","High risk vermin infestation"
180,"20170815","Wiping cloths not clean or properly stored or inadequate sanitizer"
180,"20170815","Inadequate and inaccessible handwashing facilities"
180,"20161220","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 8/17/2017 ]"
180,"20161220","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 8/17/2017 ]"
180,"20160617","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 11/28/2016 ]"
180,"20160106","Food safety certificate or food handler card not available  [ date violation corrected: 5/31/2016 ]"
180,"20160106","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 5/31/2016 ]"
180,"20160106","Moderate risk food holding temperature   [ date violation corrected: 5/31/2016 ]"
180,"20160106","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 5/31/2016 ]"
184,"20161003","Wiping cloths not clean or properly stored or inadequate sanitizer"
187,"20171128","Moderate risk food holding temperature   [ date violation corrected: 11/28/2017 ]"
187,"20170210","Moderate risk food holding temperature   [ date violation corrected: 11/28/2017 ]"
187,"20170210","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 11/28/2017 ]"
187,"20160511","Improper reheating of food  [ date violation corrected: 5/11/2016 ]"
187,"20160511","Moderate risk food holding temperature   [ date violation corrected: 2/10/2017 ]"
190,"20150327","Improper or defective plumbing  [ date violation corrected: 12/6/2016 ]"
190,"20150327","Permit license or inspection report not posted  [ date violation corrected: 12/6/2016 ]"
190,"20150327","Moderate risk food holding temperature   [ date violation corrected: 12/6/2016 ]"
192,"20170626","High risk food holding temperature   [ date violation corrected: 8/7/2017 ]"
192,"20170626","Unclean or unsanitary food contact surfaces  [ date violation corrected: 8/7/2017 ]"
192,"20160628","Moderate risk food holding temperature   [ date violation corrected: 6/26/2017 ]"
192,"20160628","Moderate risk vermin infestation  [ date violation corrected: 6/26/2017 ]"
192,"20160628","Improper food storage  [ date violation corrected: 6/26/2017 ]"
194,"20170919","Unclean or degraded floors walls or ceilings  [ date violation corrected: 10/17/2017 ]"
194,"20170919","Improper storage use or identification of toxic substances  [ date violation corrected: 10/10/2017 ]"
194,"20170919","Moderate risk vermin infestation  [ date violation corrected: 10/17/2017 ]"
194,"20170919","Moderate risk food holding temperature   [ date violation corrected: 10/10/2017 ]"
194,"20170919","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 10/10/2017 ]"
194,"20170919","Improper storage of equipment utensils or linens  [ date violation corrected: 10/10/2017 ]"
194,"20150420","Food safety certificate or food handler card not available  [ date violation corrected: 4/29/2015 ]"
194,"20150420","Moderate risk food holding temperature   [ date violation corrected: 4/29/2015 ]"
194,"20150420","Contaminated or adulterated food  [ date violation corrected: 4/29/2015 ]"
194,"20150420","Unclean hands or improper use of gloves  [ date violation corrected: 4/29/2015 ]"
198,"20171129","Food safety certificate or food handler card not available"
198,"20171129","Inadequately cleaned or sanitized food contact surfaces"
198,"20170130","Improper thawing methods   [ date violation corrected: 11/29/2017 ]"
198,"20170130","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 11/29/2017 ]"
198,"20151029","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 1/30/2017 ]"
198,"20151029","Moderate risk food holding temperature   [ date violation corrected: 1/30/2017 ]"
198,"20150206","Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 10/29/2015 ]"
198,"20150206","Food safety certificate or food handler card not available  [ date violation corrected: 10/29/2015 ]"
200,"20170104","Inadequate ventilation or lighting"
200,"20170104","Inadequate and inaccessible handwashing facilities"
200,"20170104","Unapproved or unmaintained equipment or utensils"
200,"20170104","Inadequate food safety knowledge or lack of certified food safety manager"
200,"20151001","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 1/4/2017 ]"
200,"20151001","Moderate risk food holding temperature   [ date violation corrected: 1/4/2017 ]"
200,"20150129","Unclean or unsanitary food contact surfaces  [ date violation corrected: 2/20/2015 ]"
200,"20150129","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 10/1/2015 ]"
200,"20150129","Moderate risk vermin infestation  [ date violation corrected: 2/20/2015 ]"
208,"20170731","Moderate risk food holding temperature "
208,"20170731","Unclean or degraded floors walls or ceilings"
208,"20170731","Inadequately cleaned or sanitized food contact surfaces"
208,"20151007","Moderate risk food holding temperature   [ date violation corrected: 7/31/2017 ]"
208,"20151007","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 7/31/2017 ]"
208,"20151007","Low risk vermin infestation  [ date violation corrected: 7/31/2017 ]"
208,"20150212","Moderate risk vermin infestation  [ date violation corrected: 2/24/2015 ]"
208,"20150212","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 2/24/2015 ]"
216,"20170629","Unapproved or unmaintained equipment or utensils"
216,"20170629","Moderate risk food holding temperature "
217,"20170925","High risk food holding temperature "
217,"20170330","Unclean nonfood contact surfaces  [ date violation corrected: 8/29/2017 ]"
217,"20170330","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 8/29/2017 ]"
217,"20170330","Moderate risk vermin infestation  [ date violation corrected: 8/29/2017 ]"
217,"20160912","Improper storage of equipment utensils or linens  [ date violation corrected: 3/26/2017 ]"
217,"20160912","Unclean or degraded floors walls or ceilings  [ date violation corrected: 3/26/2017 ]"
217,"20160912","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 3/26/2017 ]"
217,"20160912","Moderate risk food holding temperature   [ date violation corrected: 3/26/2017 ]"
217,"20160329","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 8/29/2016 ]"
217,"20160329","Unclean nonfood contact surfaces  [ date violation corrected: 8/29/2016 ]"
217,"20160329","Unclean or degraded floors walls or ceilings  [ date violation corrected: 8/29/2016 ]"
217,"20150818","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 3/3/2016 ]"
217,"20150818","Unclean or degraded floors walls or ceilings  [ date violation corrected: 3/3/2016 ]"
217,"20150818","Improper storage of equipment utensils or linens  [ date violation corrected: 3/3/2016 ]"
226,"20160523","Improper or defective plumbing  [ date violation corrected: 6/27/2016 ]"
226,"20160523","Unclean or unsanitary food contact surfaces  [ date violation corrected: 6/27/2016 ]"
226,"20160523","Improper cooling methods"
226,"20160523","Unclean or degraded floors walls or ceilings  [ date violation corrected: 6/27/2016 ]"
231,"20170601","Moderate risk vermin infestation  [ date violation corrected: 6/28/2017 ]"
231,"20170601","Improper food storage  [ date violation corrected: 6/28/2017 ]"
231,"20170601","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 6/28/2017 ]"
231,"20160301","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 3/16/2016 ]"
231,"20160301","Improper food storage  [ date violation corrected: 3/16/2016 ]"
231,"20160301","Inadequate warewashing facilities or equipment  [ date violation corrected: 3/16/2016 ]"
231,"20160301","Foods not protected from contamination  [ date violation corrected: 3/16/2016 ]"
231,"20160301","Unclean or degraded floors walls or ceilings  [ date violation corrected: 3/16/2016 ]"
236,"20161017","Wiping cloths not clean or properly stored or inadequate sanitizer"
236,"20161017","Permit license or inspection report not posted"
236,"20151214","Unclean or degraded floors walls or ceilings  [ date violation corrected: 10/17/2016 ]"
236,"20151214","Moderate risk vermin infestation  [ date violation corrected: 10/17/2016 ]"
239,"20171207","Foods not protected from contamination"
239,"20171207","Food safety certificate or food handler card not available"
239,"20171207","Moderate risk food holding temperature "
239,"20171207","Unclean or degraded floors walls or ceilings"
239,"20160525","Improper thawing methods   [ date violation corrected: 12/7/2017 ]"
239,"20160525","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 12/7/2017 ]"
239,"20160525","Moderate risk food holding temperature   [ date violation corrected: 12/7/2017 ]"
239,"20160525","Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 12/7/2017 ]"
240,"20161004","Inadequate ventilation or lighting  [ date violation corrected: 2/24/2017 ]"
240,"20161004","Unapproved  living quarters in food facility  [ date violation corrected: 2/24/2017 ]"
240,"20161004","Inadequate dressing rooms or improper storage of personal items  [ date violation corrected: 2/24/2017 ]"
240,"20161004","Foods not protected from contamination  [ date violation corrected: 2/24/2017 ]"
240,"20161004","Improper or defective plumbing  [ date violation corrected: 2/24/2017 ]"
240,"20161004","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 2/24/2017 ]"
240,"20161004","Unclean or degraded floors walls or ceilings  [ date violation corrected: 2/24/2017 ]"
240,"20150813","Unclean or degraded floors walls or ceilings  [ date violation corrected: 8/28/2015 ]"
240,"20150813","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 8/28/2015 ]"
240,"20150813","Moderate risk food holding temperature   [ date violation corrected: 8/28/2015 ]"
240,"20150813","Unclean nonfood contact surfaces  [ date violation corrected: 8/28/2015 ]"
240,"20150813","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 8/28/2015 ]"
240,"20150813","Unclean hands or improper use of gloves  [ date violation corrected: 8/28/2015 ]"
240,"20150813","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 8/28/2015 ]"
240,"20150813","High risk vermin infestation  [ date violation corrected: 8/28/2015 ]"
247,"20161114","Food safety certificate or food handler card not available"
247,"20161114","Wiping cloths not clean or properly stored or inadequate sanitizer"
