"business_id","name","address","city","state","postal_code","latitude","longitude","phone_number"
101,"CABLE CAR CORNER","1099 POWELL ST ","San Francisco","CA","94108","37.794615","-122.409705","+14153625925"
102,"AKIKO'S SUSHI BAR","542A MASON ST ","San Francisco","CA","94102","37.788484","-122.410045","+14159898218"
108,"RUE LEPIC","900 PINE ST","San Francisco","CA","94108","37.790868","-122.410854","+14154746070"
116,"THE WATERFRONT RESTAURANT","PIER 7 EMBARCADERO","San Francisco","CA","94111","37.793874","-122.396464","+14153912696"
121,"AKIKOS SUSHI","431 BUSH ST ","San Francisco","CA","94108","37.790643","-122.404676","+14153973218"
125,"CENTERFOLDS","391 BROADWAY ST ","San Francisco","CA","94133","37.798233","-122.403637","+14158340662"
134,"MINT","400 MCALLISTER ST","San Francisco","CA","94102","37.780247","-122.418974","+14155515942"
140,"CAFE MADELEINE","300 CALIFORNIA ST ","San Francisco","CA","94104","37.793268","-122.400323","+14153623332"
141,"AFC SUSHI @ MOLLIE STONE'S 2","2435 CALIFORNIA ST ","San Francisco","CA","94115","37.788773","-122.434697","+14155674902"
146,"DEJA VU PIZZA & PASTA","3227 16TH ST ","San Francisco","CA","94103","37.764713","-122.424709","+14152551600"
151,"BUS STOP PIZZA #1","256 DIVISADERO ST ","San Francisco","CA","94117","37.771487","-122.437047","+14156269119"
155,"CAFE COLE","609 COLE ST ","San Francisco","CA","94117","37.769303","-122.450724","+14156687771"
164,"LADLE & LEAF","50 POST ST, 3RD FLOOR","San Francisco","CA","94104","37.789064","-122.402861","+14155663871"
180,"NENAS RESTAURANT","3459 MISSION ST ","San Francisco","CA","94110","37.74146","-122.422484","+14152858985"
184,"RADIO HABANA","1109 VALENCIA ST","San Francisco","CA","94110","37.755124","-122.420916","+14158247659"
187,"TAZA WRAPS & JUICE","750 FONT, BLDG B BLVD ","San Francisco","CA","94132","37.723054","-122.483612","+14153774525"
190,"COURTYARD BY MARRIOTT-STAFF KITCHEN","299 02ND ST ","San Francisco","CA","94105","37.785614","-122.396693","+14159470700"
192,"ARLEQUIN","384 B HAYES ST ","San Francisco","CA","94102","37.777014","-122.422345","+14158642693"
194,"BAYSIDE COFFEE SHOP","2011 BAYSHORE BLVD ","San Francisco","CA","94134","37.715126","-122.398901","+14154672023"
198,"SUBWAY","3801 03RD ST 310","San Francisco","CA","94124","37.741829","-122.388098","+14158244721"
200,"JIM'S SMOKE SHOP","600 20TH ST ","San Francisco","CA","94107","37.760568","-122.387772","+14156266750"
208,"CONSTANS GROCERY","4124 03RD ST ","San Francisco","CA","94124","37.739961","-122.389003","+14158244281"
216,"SORABOL","101 SPEAR ST A12","San Francisco","CA","94105","37.792577","-122.393992","+14158965959"
217,"PROGRESSIVE GROUNDS","400 CORTLAND AVE ","San Francisco","CA","94110","37.739143","-122.417653","+14158318616"
226,"GRUMPY'S AMERICAN PUB","125 VALLEJO ST ","San Francisco","CA","94111","37.799594","-122.400586","+14154343350"
231,"CAFFE PUCCINI","411 COLUMBUS AVE ","San Francisco","CA","94133","37.799087","-122.408488","+14159897033"
236,"GELATO CLASSICO ITALIAN ICE","576 UNION ST ","San Francisco","CA","94133","37.800543","-122.408784","+14153916667"
239,"JUST WONTON","1241 VICENTE ST ","San Francisco","CA","94116","37.739063","-122.480409","+14156812999"
240,"MIKI RESTAURANT","3639 BALBOA ST ","San Francisco","CA","94121","37.775663","-122.497949","+14153870874"
247,"TOY BOAT DESSERT CAFE","401 CLEMENT ST ","San Francisco","CA","94118","37.782953","-122.46351","+14157517505"
251,"BEANERY INC.","602 IRVING ST ","San Francisco","CA","94122","37.764148","-122.464391","+14156611090"
253,"ANN'S DONUT COFFEE SHOP","4488 MISSION ST ","San Francisco","CA","94112","37.725949","-122.433906","+14153341761"
256,"MARCHE CLUB OF S.F.","4346 MISSION ST ","San Francisco","CA","94112","37.727983","-122.432101","+14152189355"
268,"LOS HERMANOS","2026 CHESTNUT ST ","San Francisco","CA","94123","37.800767","-122.436924","+14159215790"
272,"ON THE BRIDGE","1581 WEBSTER ST #206","San Francisco","CA","94115","37.785227","-122.431472","+14159227765"
273,"HAI SUN RESTAURANT","3137 LAGUNA ST ","San Francisco","CA","94123","37.800133","-122.431064","+14153464792"
275,"BEN & JERRY'S","170 O'FARRELL ST BASEMENT","San Francisco","CA","94102","37.786548","-122.407313","+14152494686"
276,"CORSAGNA","1668 UNION ST ","San Francisco","CA","94123","37.79826","-122.426748","+14157750527"
279,"INGA DONUTS","1026 HYDE ST ","San Francisco","CA","94109","37.790347","-122.417227","+14157719611"
281,"PARMA RESTAURANT","3314 STEINER ST ","San Francisco","CA","94123","37.799807","-122.437649","+14155670500"
283,"HAI KY MI GIA","707 ELLIS ST ","San Francisco","CA","94109","37.784193","-122.417967","+14157712577"
286,"PUNJAB KABAB HOUSE","101 EDDY ST ","San Francisco","CA","94102","37.784303","-122.409647","+14154477497"
290,"BISTRO AIX","3340 STEINER ST ","San Francisco","CA","94123","37.800187","-122.437756","+14152020100"
298,"BAMBOO RESTAURANT","1441 POLK ST ","San Francisco","CA","94109","37.790134","-122.420634","+14157753679"
299,"YUKOL PLACE THAI CUISINE","2380 LOMBARD ST ","San Francisco","CA","94123","37.799287","-122.440624","+14159221599"
300,"SUBWAY","2001 VAN NESS AVE ","San Francisco","CA","94109","37.794134","-122.423234","+14157769929"
302,"MOULIN ROUGE","887 GEARY ST ","San Francisco","CA","94109","37.786084","-122.417889","+14159280158"
305,"PACIFIC CATCH","2027 CHESTNUT ST ","San Francisco","CA","94123","37.800763","-122.436536","+14154401950"
315,"THE POSH BAGEL","495A CASTRO ST","San Francisco","CA","94114","37.760954","-122.434935","+14155309770"
318,"FIRST CUP","2911 VAN NESS AVE ","San Francisco","CA","94109","37.802454","-122.424854","+14159222054"
320,"NAPOLI PIZZA RESTAURANT","1045 POLK ST ","San Francisco","CA","94109","37.786545","-122.419894","+14158852222"
323,"WAYO","1407 VAN NESS AVE ","San Francisco","CA","94109","37.788609","-122.42213","+14154748369"
326,"TEN ICHI RESTAURANT","2235 FILLMORE ST ","San Francisco","CA","94115","37.790333","-122.434144","+14153463477"
328,"MIYAKO","1470 FILLMORE ST","San Francisco","CA","94115","37.783017","-122.432584","+14159213592"
337,"GORDO TAQUERIA #2","1239 09TH AVE ","San Francisco","CA","94122","37.758941","-122.48591","+14155666011"
379,"GIANT SCOOP","2708 SAN BRUNO AVE ","San Francisco","CA","94134","37.727468","-122.403582","+14154675051"
384,"RINCONSITO SALVADORENO","3829 MISSION ST ","San Francisco","CA","94110","37.73571","-122.424528","+14152829114"
386,"ADELITA'S CAKES","3780 MISSION ST ","San Francisco","CA","94110","37.736304","-122.424432","+14158244584"
389,"CAFE ELENA","1 MARKET ST ","San Francisco","CA","94105","37.794347","-122.394932","+14155438933"
393,"SUPER STAR RESTAURANT","4919 MISSION ST B","San Francisco","CA","94112","37.719692","-122.438575","+14155854360"
397,"VIEW LOUNGE","55 04TH ST ","San Francisco","CA","94103","37.784964","-122.404752","+14158961600"
400,"COW HOLLOW CATERING","3301 LYON ST ","San Francisco","CA","94123","37.801401","-122.447857",""
403,"HAAGEN-DAZS #561","865 MARKET ST ","San Francisco","CA","94103","37.784317","-122.407563","+14158961550"
409,"EL FARO","82 01ST ST ","San Francisco","CA","94105","37.788613","-122.393894","+14152250487"
413,"HOUSE OF HUNAN","2 TOWNSEND ST ","San Francisco","CA","94107","37.757923","-122.393914","+14158962638"
415,"CAFE MADELEINE","43 O'FARRELL ST","San Francisco","CA","94108","37.786698","-122.405473","+14152919033"
420,"BUSTER'S","366 COLUMBUS AVE ","San Francisco","CA","94133","37.798444","-122.407444","+14155761513"
421,"CAFFE ROMA COFFEE ROASTING CO","526 COLUMBUS AVE ","San Francisco","CA","94133","37.799845","-122.409434","+14152967662"
422,"MICHELANGELO CAFFE","579 COLUMBUS AVE ","San Francisco","CA","94133","37.800166","-122.410006","+14159864058"
423,"ORALE ORALE INC","113 SACRAMENTO ST ","San Francisco","CA","94111","37.794501","-122.39716","+14152919772"
424,"CHATZ","301 ARKANSAS ST ","San Francisco","CA","94107","37.762334","-122.398416","+14153261575"
428,"CAFFE AMBROSIA","14 TRINITY PL ","San Francisco","CA","94104","37.790109","-122.402597","+14153620538"
429,"CALZONE'S","430 COLUMBUS AVE ","San Francisco","CA","94133","37.798965","-122.408204","+14153973600"
431,"BOHEMIAN CIGAR STORE","566 COLUMBUS AVE ","San Francisco","CA","94133","37.800135","-122.409854","+14153620536"
435,"VIENI-VIENI","1431 STOCKTON ST ","San Francisco","CA","94133","37.798914","-122.408885","+14153917633"
436,"NORTH BEACH RESTAURANT","1512 STOCKTON ST ","San Francisco","CA","94133","37.799646","-122.408939","+14153921700"
438,"HAWAII WEST","729 VALLEJO ST ","San Francisco","CA","94133","37.798494","-122.409337","+14153623220"
442,"MY CANH RESTAURANT","626 BROADWAY ST ","San Francisco","CA","94133","37.797828","-122.407474","+14153978888"
443,"THE STINKING ROSE","325 COLUMBUS AVE ","San Francisco","CA","94133","37.798306","-122.407327","+14159817673"
447,"L'OSTERIA DEL FORNO","519 COLUMBUS AVE ","San Francisco","CA","94133","37.799837","-122.409517","+14159821124"
448,"YUET LEE RESTAURANT","1300 STOCKTON ST ","San Francisco","CA","94133","37.797817","-122.408597","+14159826020"
462,"GARDEN OF EDEN","529 BROADWAY ST ","San Francisco","CA","94133","37.797933","-122.406018","+14153972596"
463,"SAM'S PIZZA","618 BROADWAY ST ","San Francisco","CA","94133","37.797828","-122.407444","+14153911539"
470,"FRANCHINO","347 COLUMBUS AVE ","San Francisco","CA","94133","37.798427","-122.407507","+14159822157"
473,"CAFFE GRECO","423 COLUMBUS AVE ","San Francisco","CA","94133","37.79886","-122.408204","+14153976262"
475,"MARA'S","503 COLUMBUS AVE ","San Francisco","CA","94133","37.799501","-122.409084","+14153979435"
477,"IL POLLAIO","555 COLUMBUS AVE ","San Francisco","CA","94133","37.800036","-122.409817","+14153627727"
479,"RISTORANTE IDEALE","1309 GRANT AVE ","San Francisco","CA","94133","37.799003","-122.407274","+14153914129"
480,"MO'S GRILL","1322 GRANT AVE ","San Francisco","CA","94133","37.799058","-122.407217","+14157883779"
483,"MAYKADEH RESTAURANT","470 GREEN ST ","San Francisco","CA","94133","37.799758","-122.407113","+14153628286"
484,"COLUMBUS CAFE","562 GREEN ST ","San Francisco","CA","94133","37.799598","-122.408394","+14155169576"
485,"SILVERHAT BAR, INC","678 GREEN ST ","San Francisco","CA","94133","37.799388","-122.410223","+14154214284"
486,"TOMMASO","1042 KEARNY ST ","San Francisco","CA","94133","37.797398","-122.405322","+14153989696"
488,"THE HOUSE","1230 GRANT AVE ","San Francisco","CA","94133","37.798519","-122.407071","+14159868612"
489,"DOL-HO RESTAURANT","808 PACIFIC AVE ","San Francisco","CA","94133","37.796718","-122.408714","+14153922828"
494,"SAN FRANCISCO ATHLETIC CLUB","1630 STOCKTON ST ","San Francisco","CA","94133","37.800897","-122.409189","+14157810165"
496,"CAFFE TRIESTE","601 VALLEJO ST ","San Francisco","CA","94133","37.798744","-122.407408","+14159822605"
500,"ROXANNE CAFE","570 POWELL ST","San Francisco","CA","94108","37.790003","-122.408688","+14159895555"
502,"COURTYARD BY MARRIOTT-COFFEE SHOP","299 02ND ST ","San Francisco","CA","94105","37.785614","-122.396693","+14159470700"
505,"QUICKLY","5301 MISSION ST ","San Francisco","CA","94112","37.714458","-122.44277","+14159391812"
507,"VIKING'S GIANT SUB","2906 DIAMOND ST ","San Francisco","CA","94131","37.733449","-122.434241","+14155865333"
509,"CAFE BAKERY","1365 NORIEGA ST ","San Francisco","CA","94122","37.75409","-122.478248","+14156616116"
510,"DONUT TIME","2401 NORIEGA ST ","San Francisco","CA","94122","37.753633","-122.48954","+14157538997"
519,"SHERATON PALACE - EMP.  CAFETERIA","2 NEW MONTGOMERY ST ","San Francisco","CA","94105","37.788286","-122.401543","+14155121111"
520,"DAILY HEALTH","1235 09TH AVE ","San Francisco","CA","94122","37.758941","-122.48591","+14156817675"
522,"BOUDIN SOURDOUGH BAKERY","3251 20TH AVE ","San Francisco","CA","94132","37.728497","-122.475639","+14155641849"
527,"MELISA'S CHINESE CUISINE","0450 BALBOA ST ","San Francisco","CA","94118","37.777292","-122.463496","+14153871680"
529,"NIZARIO'S PIZZA","3840 GEARY BLVD ","San Francisco","CA","94118","37.781278","-122.460661","+14157527777"
538,"MARNEE THAI RESTAURANT","2225 IRVING ST ","San Francisco","CA","94122","37.763343","-122.481809","+14156659500"
539,"EL SALVADOR RESTAURANT","2278 MISSION ST ","San Francisco","CA","94110","37.760579","-122.41932",""
542,"HAMBURGER HAVEN","800 CLEMENT ST ","San Francisco","CA","94118","37.782799","-122.467852","+14153873260"
544,"THAI TIME RESTAURANT","315 08TH AVE ","San Francisco","CA","94118","37.782534","-122.466615","+14153877992"
547,"LITTLE HENRY'S","3600 BALBOA ST ","San Francisco","CA","94121","37.775728","-122.497522","+14153878761"
551,"GORDO TAQUERIA #1","2252 CLEMENT ST ","San Francisco","CA","94121","37.782107","-122.483631","+14153874484"
552,"LOI'S VIETNAMESE RESTAURANT","2228 IRVING ST ","San Francisco","CA","94122","37.763428","-122.481736","+14156615936"
557,"KATIA'S","600 05TH AVE ","San Francisco","CA","94118","37.77721","-122.462874","+14156689292"
562,"DESTINO RESTAURANT","1815 MARKET ST ","San Francisco","CA","94103","37.771437","-122.423892","+14156439016"
573,"MUFFIN'S MUFFIN","123 02ND ST ","San Francisco","CA","94105","37.787755","-122.399372","+14158827355"
580,"TACO LOS ALTOS","737 CORTLAND AVE ","San Francisco","CA","94110","37.738979","-122.414971","+14158210701"
587,"NEW TSING TAO RESTAURANT","811 ULLOA ST ","San Francisco","CA","94127","37.740654","-122.465389","+14155669559"
588,"BURRITO EXPRESS","1601 TARAVAL ST ","San Francisco","CA","94116","37.742673","-122.48334","+14155668300"
589,"WON TON HOUSE","1325 NORIEGA ST ","San Francisco","CA","94122","37.754106","-122.477841","+14157536688"
591,"YOU SEE SUSHI","94 JUDAH ST ","San Francisco","CA","94122","37.762378","-122.462692","+14156814010"
606,"TSING TAO RESTAURANT","3107 CLEMENT ST ","San Francisco","CA","94121","37.781624","-122.492609","+14153872344"
610,"POMELO","92 JUDAH ST ","San Francisco","CA","94122","37.762378","-122.462692","+14157316175"
615,"J & A RESTAURANT","5712 MISSION ST ","San Francisco","CA","94112","37.709857","-122.449709","+14153376688"
619,"A-1 BAKERY","1727 OCEAN AVE ","San Francisco","CA","94112","37.724824","-122.460726","+14155846923"
625,"CALIFORNIA TENNIS CLUB","2455 BUSH ST ","San Francisco","CA","94115","37.786463","-122.437657","+14153463611"
627,"EDDIES CAFE","800 DIVISADERO ST ","San Francisco","CA","94117","37.776898","-122.438098","+14155639780"
628,"EL BURRITO EXPRESS #2","1812 DIVISADERO ST ","San Francisco","CA","94115","37.786407","-122.440057","+14157764246"
631,"SUBWAY SANDWICHES & SALADS","1500 FILLMORE ST ","San Francisco","CA","94115","37.78332","-122.432647","+14157715583"
639,"SWAN OYSTER DEPOT","1517 POLK ST ","San Francisco","CA","94109","37.790734","-122.420783","+14156731101"
642,"ANDERSEN BAKERY","1737 POST ST 304","San Francisco","CA","94115","37.785457","-122.430317","+14155675712"
645,"TAN-TAN","1825 POST ST #223","San Francisco","CA","94115","37.785274","-122.431918","+14153466260"
659,"GOLDEN COFFEE","901 SUTTER ST ","San Francisco","CA","94109","37.788322","-122.415218","+14159220537"
665,"BRAZEN HEAD RESTAURANT","3166 BUCHANAN ST ","San Francisco","CA","94123","37.799218","-122.432517","+14159217600"
670,"VIKINGS GIANT SUBMARINE SANDWICHES","1418 LOMBARD ST ","San Francisco","CA","94123","37.801334","-122.424905","+14156735619"
691,"MARINA SUBMARINE","2299 UNION ST ","San Francisco","CA","94123","37.796893","-122.436847",""
695,"BARBARY COAST PASTRY & COFFEE","55 CYRIL MAGNIN ST ","San Francisco","CA","94102","37.784965","-122.408614","+14159893883"
703,"THEM KY RESTAURANT","717 ELLIS ST ","San Francisco","CA","94109","37.784193","-122.417967","+14154418525"
709,"MONG THU COFFEE SHOP","248 HYDE ST","San Francisco","CA","94102","37.783041","-122.415719","+14159286724"
726,"BEN WAH RESTAURANT","2786 CALIFORNIA ST ","San Francisco","CA","94115","37.788138","-122.440174","+14159210188"
741,"MOZZARELLA DI BUFALA PIZZERIA II","069 WEST PORTAL AVE ","San Francisco","CA","94127","37.740052","-122.466544","+14156618900"
744,"CAFE BELLINI","865 MARKET ST C45","San Francisco","CA","94103","37.784317","-122.407563","+14153481075"
754,"EDUCATED PALATE","88 4TH ST.","San Francisco","CA","94103","37.784323","-122.404549","+14152676510"
758,"BAKERY/ICE CREAM/STOREROOM","2 NEW MONTGOMERY ST ","San Francisco","CA","94105","37.788286","-122.401543","+14155121111"
765,"APERTO RESTAURANT","1434 18TH ST ","San Francisco","CA","94107","37.762568","-122.397192","+14152521625"
768,"MOSHI MOSHI","2092 03RD ST ","San Francisco","CA","94107","37.763187","-122.388895","+14158618285"
773,"MARIPOSA HUNTERS POINT YACHT CLUB","405 TERRY FRANCOIS BLVD ","San Francisco","CA","94107","37.77325","-122.387222","+14157869296"
774,"BAY VIEW BOAT CLUB","429 TERRY FRANCOIS ST","San Francisco","CA","94107","37.772667","-122.387032","+14155647650"
782,"MONTE CRISTO SOCIAL CLUB","136 MISSOURI ST ","San Francisco","CA","94107","37.764627","-122.396764","+14157730519"
786,"PIPERADE","1015 BATTERY ST ","San Francisco","CA","94111","37.800674","-122.401484","+14155430573"
792,"BOUDIN BAKERY","PIER 39  FRONT","San Francisco","CA","94133","37.791924","-122.398588","+14154210185"
795,"BEN & JERRY'S","PIER 41","San Francisco","CA","94133","37.808494","-122.412","+14152494680"
798,"SUSHI RAPTURE","1400 LEAVENWORTH ST ","San Francisco","CA","94109","37.793997","-122.416267","+14153591388"
799,"COURTYARD BY MARRIOTT AT FISHERMAN'S WHARF","580 BEACH ST ","San Francisco","CA","94133","37.806964","-122.41862","+14157753800"
811,"EDEN PLAZA CAFE","600 HARRISON ST ","San Francisco","CA","94107","37.783954","-122.395699","+14157774709"
816,"B & J QUARTER POUNDER BURGERS","6202 03RD ST ","San Francisco","CA","94124","37.722374","-122.395841","+14154674560"
821,"LA SANTANECA","3781 MISSION ST ","San Francisco","CA","94110",,,"+14156481034"
824,"BABY'S EATERY AND PALABOK","4609 MISSION ST ","San Francisco","CA","94112","37.724579","-122.434879","+14155850990"
826,"ANGELINA'S DELI-CAFE & CATERING","6000 CALIFORNIA ST ","San Francisco","CA","94121","37.784038","-122.481982","+14152217801"
827,"TAQUERIA EL FAROLITO NO. 2","4817 MISSION ST ","San Francisco","CA","94112","37.721251","-122.437385","+14153375500"
830,"LOS PLANES DE RENDEROS","12 PERSIA AVE","San Francisco","CA","94112","37.723078","-122.435966","+14155858645"
835,"KAM PO KITCHEN","801 BROADWAY ST ","San Francisco","CA","94133","37.797223","-122.410513","+14159823516"
840,"MOLINARI DELICATESSEN","373 COLUMBUS AVE ","San Francisco","CA","94133","37.798556","-122.407707",""
845,"CAFE JACQUELINE","1454 GRANT AVE ","San Francisco","CA","94133","37.800428","-122.407517","+14159815565"
847,"GOLDEN BOY PIZZA","542 GREEN ST ","San Francisco","CA","94133","37.799648","-122.408033","+14159829738"
852,"NEW HOLLYWOOD BAKERY & RESTAURANT","652 PACIFIC AVE ","San Francisco","CA","94133",,,"+14153979919"
854,"FIRENZE BY NIGHT","1421 STOCKTON ST","San Francisco","CA","94133","37.798914","-122.408885","+14153928585"
856,"DELFINA RESTAURANT","3621 18TH ST ","San Francisco","CA","94110","37.761514","-122.424318","+14155524094"
874,"PANCHO'S SALSA BAR & GRILL","1639 POLK ST ","San Francisco","CA","94109","37.792093","-122.421024","+14154742280"
876,"PATPONG THAI CUISINE, INC.","2415 CLEMENT ST ","San Francisco","CA","94121","37.781973","-122.48522","+14153799726"
880,"DELICIOUS DIM SUM","752 JACKSON ST ","San Francisco","CA","94133","37.795974","-122.407574","+14157810721"
884,"HOUSE OF NANKING","919 KEARNY ST ","San Francisco","CA","94133","37.796463","-122.405224","+14154211429"
886,"LE PETIT CAFE","1 MARITIME PLAZA  ","San Francisco","CA","94111","37.795227","-122.39914","+14159518514"
891,"LUCKY CREATION VEGETARIAN RESTAURANT LLC","854 WASHINGTON ST ","San Francisco","CA","94108","37.795078","-122.407433","+14159890818"
892,"HAPPY DONUTS","100 BUSH ST #101","San Francisco","CA","94104","37.791348","-122.399834","+14153986769"
902,"MARCELLO'S PIZZA","420 CASTRO ST ","San Francisco","CA","94114","37.762057","-122.435145","+14158633900"
903,"SABRA RESTAURANT","419 GRANT AVE","San Francisco","CA","94108","37.790874","-122.405634","+14159823656"
905,"WORKING GIRLS' CAFE'","0259 KEARNY ST","San Francisco","CA","94108","37.790477","-122.404033","+14153981390"
911,"CAFE DOLCI","740 MARKET ST ","San Francisco","CA","94102","37.787153","-122.404148","+14153929222"
917,"TOWN & COUNTRY CLUB","218 STOCKTON ST","San Francisco","CA","94108","37.787927","-122.406607","+14153624951"
919,"RITZ-CARLTON, SF -  P-37 RESTAURANT AND BAR","600 STOCKTON ST 4TH FLOOR","San Francisco","CA","94108","37.791757","-122.407377","+14152967465"
920,"RITZ-CARLTON SF - CLUB LOUNGE","600 STOCKTON ST 8TH FLOOR","San Francisco","CA","94108","37.791757","-122.407377","+14152967465"
929,"CAFE ETHIOPIA","0878 VALENCIA ST","San Francisco","CA","94110","37.758832","-122.421359","+14153189097"
935,"PEKING WOK RESTAURANT","4920 03RD ST ","San Francisco","CA","94124","37.733891","-122.391183","+14158221818"
941,"TWO JACKS SEAFOOD #2","984 GILMAN AVE ","San Francisco","CA","94124","37.718016","-122.387696","+14158221770"
943,"EL CASTILLITO TAQUERIA INC.","136 CHURCH ST ","San Francisco","CA","94114","37.768776","-122.429095","+14156213428"
949,"BUFFALO BURGERS RESTAURANT","5317-19 GEARY BLVD","San Francisco","CA","94121","37.780372","-122.476354","+14156681267"
950,"IRVING PIZZA","1825 IRVING ST ","San Francisco","CA","94122","37.763513","-122.47764",""
951,"KENTUCKY FRIED CHICKEN #50","1900 IRVING ST ","San Francisco","CA","94122","37.763528","-122.478362","+14155660365"
952,"SHANGRILA VEGETARIAN REST","2026 IRVING ST ","San Francisco","CA","94122","37.763512","-122.47958","+14157312548"
961,"JAVA BEACH CAFE","1396 LA PLAYA ST ","San Francisco","CA","94122","37.760416","-122.509106","+14156655282"
966,"L'AVENIDA","511 IRVING ST ","San Francisco","CA","94122","37.764143","-122.463378",""
972,"MING TAI WUN TUN NOODLE, INC.","2455 NORIEGA ST ","San Francisco","CA","94122","37.753614","-122.490219","+14156817795"
984,"VANIDA THAI KITCHEN","3050 TARAVAL ST ","San Francisco","CA","94116","37.742086","-122.498738","+14155646766"
985,"THE SUNSET'S BEST SEAFOOD RESTAURANT","3060 TARAVAL ST ","San Francisco","CA","94116","37.742048","-122.499002","+14155648398"
994,"RAILROAD EXPRESSO CAFE","705 \ BLVD ","San Francisco","CA","94127","37.731513","-122.45133","+14153334009"
999,"SERRANO'S PIZZA II","3274 21ST ST ","San Francisco","CA","94110","37.756997","-122.420534","+14156951615"
1000,"HEUNG YUEN RESTAURANT","3279 22ND ST ","San Francisco","CA","94110","37.755282","-122.420493","+14156482666"
1002,"BIG MOUTH BURGERS","3392 24TH ST ","San Francisco","CA","94110","37.752158","-122.420362","+14158214821"
1003,"RINCON PERUANO RESTAURANT","3364 26TH ST ","San Francisco","CA","94110","37.749128","-122.417402","+14158947712"
1005,"CHAVITA'S MEXICAN RESTAURANT","3006 MISSION ST","San Francisco","CA","94110","37.748855","-122.418134","+14152856927"
1008,"VALENCIA PIZZA & PASTA","801 VALENCIA ST ","San Francisco","CA","94110","37.759944","-122.421356","+14156421882"
1018,"PETES BARBEQUE","2399 MISSION ST ","San Francisco","CA","94110","37.758684","-122.418975","+14158261009"
1021,"LA SANTANECA DE LA MISSION","2815 MISSION ST","San Francisco","CA","94110","37.751885","-122.418406","+14152852131"
1026,"PHUKET THAI RESTAURANT","248 DIVISADERO ST ","San Francisco","CA","94117","37.771117","-122.436976","+14159749594"
1031,"IL BORGO","500 FELL ST ","San Francisco","CA","94102","37.775538","-122.426264","+14154950730"
1036,"ALAMO SQUARE","803 FILLMORE ST ","San Francisco","CA","94117","37.776944","-122.431444","+14154402828"
1042,"LOVE 'N HAIGHT COFFEE & DELI","553 HAIGHT ST ","San Francisco","CA","94117","37.771964","-122.431336","+14152528190"
1043,"CENTRAL COFFEE TEA & SPICE","1696 HAYES ST ","San Francisco","CA","94117","37.774198","-122.444214","+14154875126"
1047,"PORK STORE CAFE","1451 HAIGHT ST ","San Francisco","CA","94117","37.770063","-122.446247","+14158646981"
1048,"CREPE EXPRESS","1476 HAIGHT ST ","San Francisco","CA","94117","37.770068","-122.446644","+14158650264"
1065,"UNIVERSAL CAFE","2814 19TH ST ","San Francisco","CA","94110","37.760487","-122.410662","+14158214608"
1075,"SANDWICH PLACE, THE","2029 MISSION ST ","San Francisco","CA","94110","37.764384","-122.419566","+14154313811"
1081,"ARINELL PIZZA","509 VALENCIA ST ","San Francisco","CA","94110","37.764744","-122.421803","+14152551303"
