game_date,minute,opponent,action_type,shot_type,shot_distance,shot_made
20170420,17,IND,Turnaround Jump Shot,2PT Field Goal,5,1
20170420,19,IND,Jump Shot,3PT Field Goal,24,0
20170420,22,IND,Running Layup Shot,2PT Field Goal,3,0
20170420,23,IND,Jump Shot,2PT Field Goal,6,0
20170420,26,IND,Floating Jump shot,2PT Field Goal,10,0
20170420,29,IND,Jump Shot,3PT Field Goal,23,1
20170420,32,IND,Jump Shot,3PT Field Goal,27,0
20170420,32,IND,Driving Finger Roll Layup Shot,2PT Field Goal,0,1
20170420,36,IND,Jump Shot,3PT Field Goal,31,1
20170420,36,IND,Pullup Jump shot,3PT Field Goal,27,1
20170420,36,IND,Jump Shot,3PT Field Goal,26,0
20170420,38,IND,Jump Shot,3PT Field Goal,26,0
20170420,40,IND,Driving Finger Roll Layup Shot,2PT Field Goal,1,1
20170420,42,IND,Driving Dunk Shot,2PT Field Goal,0,1
20170420,42,IND,Running Dunk Shot,2PT Field Goal,0,1
20170420,44,IND,Driving Layup Shot,2PT Field Goal,3,0
20170420,44,IND,Cutting Finger Roll Layup Shot,2PT Field Goal,1,1
20170420,46,IND,Jump Shot,3PT Field Goal,23,1
20170420,46,IND,Jump Shot,3PT Field Goal,28,0
20170420,47,IND,Fadeaway Jump Shot,2PT Field Goal,16,0
20170423,3,IND,Driving Layup Shot,2PT Field Goal,1,0
20170423,6,IND,Driving Finger Roll Layup Shot,2PT Field Goal,1,1
20170423,6,IND,Driving Finger Roll Layup Shot,2PT Field Goal,2,1
20170423,7,IND,Turnaround Hook Shot,2PT Field Goal,7,0
20170423,9,IND,Fadeaway Jump Shot,2PT Field Goal,14,0
20170423,9,IND,Driving Finger Roll Layup Shot,2PT Field Goal,2,1
20170423,13,IND,Running Layup Shot,2PT Field Goal,0,0
20170423,14,IND,Driving Finger Roll Layup Shot,2PT Field Goal,2,0
20170423,15,IND,Driving Layup Shot,2PT Field Goal,0,0
20170423,16,IND,Layup Shot,2PT Field Goal,1,1
20170423,19,IND,Layup Shot,2PT Field Goal,0,1
20170423,22,IND,Cutting Finger Roll Layup Shot,2PT Field Goal,2,1
20170423,22,IND,Cutting Layup Shot,2PT Field Goal,1,1
20170423,24,IND,Layup Shot,2PT Field Goal,0,1
20170423,24,IND,Jump Shot,3PT Field Goal,22,0
20170423,30,IND,Layup Shot,2PT Field Goal,1,1
20170423,31,IND,Layup Shot,2PT Field Goal,1,1
20170423,31,IND,Driving Layup Shot,2PT Field Goal,1,0
20170423,34,IND,Driving Layup Shot,2PT Field Goal,3,1
20170423,39,IND,Driving Layup Shot,2PT Field Goal,1,1
20170423,40,IND,Driving Layup Shot,2PT Field Goal,0,0
20170423,46,IND,Jump Shot,2PT Field Goal,5,0
20170423,46,IND,Layup Shot,2PT Field Goal,0,0
20170423,47,IND,Pullup Jump shot,3PT Field Goal,27,1
20170423,48,IND,Jump Shot,3PT Field Goal,28,0
20170501,2,TOR,Layup Shot,2PT Field Goal,0,1
20170501,3,TOR,Alley Oop Dunk Shot,2PT Field Goal,0,1
20170501,5,TOR,Layup Shot,2PT Field Goal,0,1
20170501,8,TOR,Running Finger Roll Layup Shot,2PT Field Goal,1,0
20170501,13,TOR,Cutting Layup Shot,2PT Field Goal,0,1
20170501,15,TOR,Jump Shot,3PT Field Goal,25,0
20170501,20,TOR,Jump Shot,3PT Field Goal,26,0
20170501,23,TOR,Jump Shot,2PT Field Goal,3,0
20170501,23,TOR,Layup Shot,2PT Field Goal,0,0
20170501,23,TOR,Layup Shot,2PT Field Goal,1,0
20170501,24,TOR,Layup Shot,2PT Field Goal,1,1
20170501,28,TOR,Jump Shot,3PT Field Goal,24,1
20170501,30,TOR,Cutting Layup Shot,2PT Field Goal,0,1
20170501,32,TOR,Jump Shot,3PT Field Goal,25,1
20170501,32,TOR,Jump Shot,3PT Field Goal,26,0
20170501,33,TOR,Driving Floating Jump Shot,2PT Field Goal,4,0
20170501,37,TOR,Step Back Jump shot,2PT Field Goal,19,1
20170501,39,TOR,Jump Shot,2PT Field Goal,16,1
20170501,40,TOR,Jump Shot,2PT Field Goal,14,0
20170501,40,TOR,Cutting Layup Shot,2PT Field Goal,1,1
20170501,41,TOR,Jump Shot,2PT Field Goal,22,1
20170501,42,TOR,Step Back Jump shot,2PT Field Goal,18,0
20170501,43,TOR,Driving Dunk Shot,2PT Field Goal,0,1
20170503,3,TOR,Jump Shot,2PT Field Goal,12,0
20170503,9,TOR,Tip Layup Shot,2PT Field Goal,0,1
20170503,14,TOR,Running Layup Shot,2PT Field Goal,0,0
20170503,15,TOR,Running Layup Shot,2PT Field Goal,0,1
20170503,17,TOR,Jump Shot,3PT Field Goal,24,1
20170503,17,TOR,Jump Shot,3PT Field Goal,24,1
20170503,18,TOR,Jump Shot,3PT Field Goal,26,0
20170503,19,TOR,Running Finger Roll Layup Shot,2PT Field Goal,1,1
20170503,21,TOR,Running Dunk Shot,2PT Field Goal,0,1
20170503,25,TOR,Jump Shot,2PT Field Goal,4,1
20170503,28,TOR,Jump Shot,3PT Field Goal,26,1
20170503,28,TOR,Jump Shot,3PT Field Goal,26,1
20170503,33,TOR,Running Dunk Shot,2PT Field Goal,0,1
20170503,34,TOR,Jump Shot,3PT Field Goal,25,0
20170505,3,TOR,Jump Bank Shot,2PT Field Goal,1,1
20170505,8,TOR,Driving Floating Bank Jump Shot,2PT Field Goal,6,0
20170505,9,TOR,Running Pull-Up Jump Shot,3PT Field Goal,25,0
20170505,10,TOR,Driving Floating Jump Shot,2PT Field Goal,5,1
20170505,13,TOR,Running Layup Shot,2PT Field Goal,1,1
20170505,14,TOR,Jump Shot,3PT Field Goal,23,1
20170505,16,TOR,Turnaround Fadeaway shot,2PT Field Goal,10,0
20170505,17,TOR,Running Pull-Up Jump Shot,3PT Field Goal,24,0
20170505,20,TOR,Driving Floating Jump Shot,2PT Field Goal,6,1
20170505,25,TOR,Jump Shot,2PT Field Goal,17,0
20170505,29,TOR,Turnaround Jump Shot,2PT Field Goal,18,0
20170505,32,TOR,Turnaround Jump Shot,2PT Field Goal,7,1
20170505,33,TOR,Turnaround Jump Shot,2PT Field Goal,19,1
20170505,34,TOR,Pullup Jump shot,2PT Field Goal,20,0
20170505,42,TOR,Pullup Jump shot,3PT Field Goal,24,1
20170505,45,TOR,Turnaround Jump Shot,2PT Field Goal,13,1
20170507,3,TOR,Turnaround Fadeaway shot,2PT Field Goal,17,0
20170507,3,TOR,Running Dunk Shot,2PT Field Goal,0,1
20170507,6,TOR,Step Back Jump shot,3PT Field Goal,25,0
20170507,9,TOR,Pullup Jump shot,3PT Field Goal,24,1
20170507,11,TOR,Running Layup Shot,2PT Field Goal,0,1
20170507,12,TOR,Running Finger Roll Layup Shot,2PT Field Goal,2,1
20170507,13,TOR,Pullup Jump shot,3PT Field Goal,26,0
20170507,19,TOR,No Shot,2PT Field Goal,0,1
20170507,22,TOR,Running Dunk Shot,2PT Field Goal,0,1
20170507,26,TOR,Jump Shot,3PT Field Goal,27,1
20170507,27,TOR,Jump Shot,3PT Field Goal,27,0
20170507,29,TOR,No Shot,2PT Field Goal,7,0
20170507,30,TOR,Turnaround Fadeaway shot,2PT Field Goal,14,1
20170507,30,TOR,Pullup Jump shot,3PT Field Goal,27,1
20170507,32,TOR,Step Back Jump shot,3PT Field Goal,23,0
20170507,39,TOR,Jump Shot,3PT Field Goal,27,1
20170507,41,TOR,Floating Jump shot,2PT Field Goal,21,0
20170507,41,TOR,Jump Shot,3PT Field Goal,27,0
20170507,41,TOR,Jump Shot,3PT Field Goal,24,0
20170507,46,TOR,Pullup Jump shot,3PT Field Goal,26,1
20170507,46,TOR,Jump Shot,3PT Field Goal,23,0
20170507,47,TOR,Fadeaway Jump Shot,2PT Field Goal,9,0
20170517,2,BOS,Jump Shot,3PT Field Goal,24,0
20170517,4,BOS,Driving Reverse Layup Shot,2PT Field Goal,2,1
20170517,6,BOS,Driving Layup Shot,2PT Field Goal,2,1
20170517,8,BOS,Driving Layup Shot,2PT Field Goal,2,1
20170517,8,BOS,Driving Layup Shot,2PT Field Goal,2,1
20170517,11,BOS,Driving Finger Roll Layup Shot,2PT Field Goal,2,1
20170517,12,BOS,Driving Finger Roll Layup Shot,2PT Field Goal,1,1
20170517,12,BOS,Driving Hook Shot,2PT Field Goal,4,1
20170517,19,BOS,Jump Shot,3PT Field Goal,25,0
20170517,21,BOS,Driving Reverse Layup Shot,2PT Field Goal,2,0
20170517,22,BOS,Driving Floating Jump Shot,2PT Field Goal,5,1
20170517,23,BOS,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,7,1
20170517,23,BOS,Turnaround Fadeaway shot,2PT Field Goal,19,0
20170517,24,BOS,Driving Reverse Layup Shot,2PT Field Goal,2,0
20170517,24,BOS,Driving Layup Shot,2PT Field Goal,0,1
20170517,29,BOS,Fadeaway Jump Shot,2PT Field Goal,4,0
20170517,30,BOS,Running Finger Roll Layup Shot,2PT Field Goal,2,1
20170517,30,BOS,Turnaround Fadeaway shot,2PT Field Goal,15,0
20170517,34,BOS,Step Back Jump shot,3PT Field Goal,25,0
20170517,41,BOS,Driving Finger Roll Layup Shot,2PT Field Goal,2,1
20170517,42,BOS,Turnaround Fadeaway shot,2PT Field Goal,12,1
20170517,43,BOS,Jump Shot,3PT Field Goal,24,1
20170517,44,BOS,Jump Shot,3PT Field Goal,25,0
20170517,45,BOS,Step Back Jump shot,3PT Field Goal,25,0
20170519,4,BOS,Jump Shot,3PT Field Goal,25,0
20170519,5,BOS,Alley Oop Layup shot,2PT Field Goal,2,1
20170519,8,BOS,Driving Layup Shot,2PT Field Goal,1,0
20170519,10,BOS,Pullup Jump shot,2PT Field Goal,22,1
20170519,14,BOS,Driving Layup Shot,2PT Field Goal,4,1
20170519,15,BOS,Layup Shot,2PT Field Goal,2,0
20170519,15,BOS,Cutting Finger Roll Layup Shot,2PT Field Goal,1,1
20170519,16,BOS,Jump Shot,2PT Field Goal,21,1
20170519,17,BOS,Step Back Jump shot,3PT Field Goal,22,1
20170519,18,BOS,Jump Shot,3PT Field Goal,25,1
20170519,19,BOS,Turnaround Fadeaway shot,2PT Field Goal,19,0
20170519,20,BOS,Fadeaway Jump Shot,2PT Field Goal,10,0
20170519,21,BOS,Driving Layup Shot,2PT Field Goal,2,1
20170519,23,BOS,Turnaround Hook Shot,2PT Field Goal,3,1
20170519,25,BOS,Jump Shot,3PT Field Goal,25,1
20170519,28,BOS,Jump Shot,3PT Field Goal,25,1
20170519,28,BOS,Jump Shot,3PT Field Goal,26,0
20170519,29,BOS,Driving Finger Roll Layup Shot,2PT Field Goal,2,1
20170521,3,BOS,Jump Shot,3PT Field Goal,25,0
20170521,7,BOS,Fadeaway Jump Shot,2PT Field Goal,16,1
20170521,10,BOS,Jump Shot,3PT Field Goal,25,0
20170521,16,BOS,Alley Oop Dunk Shot,2PT Field Goal,0,1
20170521,24,BOS,Layup Shot,2PT Field Goal,0,1
20170521,28,BOS,Jump Shot,2PT Field Goal,21,0
20170521,29,BOS,Driving Layup Shot,2PT Field Goal,2,1
20170521,30,BOS,Turnaround Fadeaway shot,2PT Field Goal,17,0
20170521,32,BOS,Driving Layup Shot,2PT Field Goal,3,0
20170521,33,BOS,Driving Layup Shot,2PT Field Goal,0,0
20170521,40,BOS,Jump Shot,3PT Field Goal,24,0
20170521,43,BOS,Driving Bank shot,2PT Field Goal,6,0
20170521,45,BOS,Jump Shot,3PT Field Goal,29,0
20170523,2,BOS,Jump Shot,2PT Field Goal,20,0
20170523,5,BOS,Jump Shot,3PT Field Goal,22,0
20170523,5,BOS,Cutting Layup Shot,2PT Field Goal,2,1
20170523,8,BOS,Jump Shot,3PT Field Goal,24,0
20170523,8,BOS,Running Dunk Shot,2PT Field Goal,0,1
20170523,9,BOS,Driving Bank shot,2PT Field Goal,8,0
20170523,10,BOS,Driving Reverse Layup Shot,2PT Field Goal,0,1
20170523,13,BOS,Cutting Layup Shot,2PT Field Goal,1,1
20170523,14,BOS,Driving Dunk Shot,2PT Field Goal,0,1
20170523,25,BOS,Running Jump Shot,2PT Field Goal,3,0
20170523,25,BOS,Jump Shot,3PT Field Goal,24,0
20170523,27,BOS,Jump Shot,2PT Field Goal,16,1
20170523,28,BOS,Running Dunk Shot,2PT Field Goal,0,1
20170523,28,BOS,Jump Shot,3PT Field Goal,24,0
20170523,29,BOS,Layup Shot,2PT Field Goal,0,1
20170523,32,BOS,Running Dunk Shot,2PT Field Goal,0,0
20170523,37,BOS,Cutting Layup Shot,2PT Field Goal,0,1
20170523,39,BOS,Running Layup Shot,2PT Field Goal,0,1
20170523,40,BOS,Driving Dunk Shot,2PT Field Goal,0,1
20170523,41,BOS,Turnaround Jump Shot,2PT Field Goal,17,1
20170523,41,BOS,Driving Layup Shot,2PT Field Goal,0,0
20170523,45,BOS,Jump Shot,3PT Field Goal,25,1
20170523,45,BOS,Jump Bank Shot,2PT Field Goal,5,1
20170523,46,BOS,Jump Shot,3PT Field Goal,25,0
20170523,46,BOS,Jump Shot,2PT Field Goal,21,1
20170523,47,BOS,Driving Layup Shot,2PT Field Goal,2,0
20170523,47,BOS,Pullup Jump shot,2PT Field Goal,17,0
20170525,3,BOS,Putback Layup Shot,2PT Field Goal,1,1
20170525,3,BOS,Cutting Layup Shot,2PT Field Goal,2,1
20170525,8,BOS,Driving Layup Shot,2PT Field Goal,1,1
20170525,9,BOS,Driving Dunk Shot,2PT Field Goal,0,1
20170525,11,BOS,Fadeaway Jump Shot,3PT Field Goal,22,1
20170525,15,BOS,Fadeaway Jump Shot,3PT Field Goal,25,0
20170525,17,BOS,Layup Shot,2PT Field Goal,2,1
20170525,21,BOS,Driving Layup Shot,2PT Field Goal,2,1
20170525,27,BOS,Jump Shot,3PT Field Goal,25,0
20170525,29,BOS,Driving Layup Shot,2PT Field Goal,2,0
20170525,29,BOS,Driving Layup Shot,2PT Field Goal,2,1
20170525,30,BOS,Running Finger Roll Layup Shot,2PT Field Goal,1,1
20170525,30,BOS,Step Back Jump shot,2PT Field Goal,20,0
20170525,31,BOS,Jump Shot,3PT Field Goal,26,0
20170525,31,BOS,Cutting Dunk Shot,2PT Field Goal,0,1
20170525,34,BOS,Jump Shot,3PT Field Goal,26,1
20170525,35,BOS,Jump Shot,3PT Field Goal,25,1
20170525,35,BOS,Jump Shot,3PT Field Goal,27,1
20170601,3,GSW,Layup Shot,2PT Field Goal,1,0
20170601,4,GSW,Jump Shot,3PT Field Goal,25,0
20170601,7,GSW,Dunk Shot,2PT Field Goal,0,1
20170601,9,GSW,Pullup Jump shot,3PT Field Goal,26,1
20170601,10,GSW,Dunk Shot,2PT Field Goal,0,1
20170601,13,GSW,Running Layup Shot,2PT Field Goal,1,1
20170601,18,GSW,Running Layup Shot,2PT Field Goal,1,1
20170601,19,GSW,Jump Shot,3PT Field Goal,26,0
20170601,27,GSW,Jump Shot,2PT Field Goal,3,0
20170601,29,GSW,Jump Shot,3PT Field Goal,26,1
20170601,30,GSW,Jump Shot,3PT Field Goal,29,0
20170601,30,GSW,Jump Shot,2PT Field Goal,16,0
20170601,30,GSW,Driving Dunk Shot,2PT Field Goal,0,1
20170601,32,GSW,Driving Finger Roll Layup Shot,2PT Field Goal,0,1
20170601,34,GSW,Jump Shot,2PT Field Goal,9,0
20170601,35,GSW,Jump Shot,2PT Field Goal,3,0
20170601,38,GSW,Jump Shot,2PT Field Goal,5,0
20170601,40,GSW,Turnaround Fadeaway shot,2PT Field Goal,14,1
20170601,41,GSW,Jump Shot,3PT Field Goal,25,0
20170601,43,GSW,Driving Finger Roll Layup Shot,2PT Field Goal,1,0
20170604,1,GSW,Driving Layup Shot,2PT Field Goal,1,1
20170604,2,GSW,Running Finger Roll Layup Shot,2PT Field Goal,2,1
20170604,3,GSW,Jump Shot,2PT Field Goal,4,0
20170604,4,GSW,Jump Shot,2PT Field Goal,11,0
20170604,9,GSW,Running Dunk Shot,2PT Field Goal,0,1
20170604,10,GSW,Driving Layup Shot,2PT Field Goal,1,1
20170604,11,GSW,Layup Shot,2PT Field Goal,2,0
20170604,18,GSW,Jump Shot,2PT Field Goal,7,0
20170604,19,GSW,Running Layup Shot,2PT Field Goal,0,1
20170604,20,GSW,Running Reverse Layup Shot,2PT Field Goal,2,1
20170604,21,GSW,Driving Layup Shot,2PT Field Goal,1,1
20170604,23,GSW,Driving Layup Shot,2PT Field Goal,1,1
20170604,30,GSW,Fadeaway Jump Shot,3PT Field Goal,25,1
20170604,31,GSW,Running Layup Shot,2PT Field Goal,0,1
20170604,32,GSW,Pullup Jump shot,2PT Field Goal,19,1
20170604,33,GSW,Jump Shot,3PT Field Goal,25,0
20170604,33,GSW,Jump Shot,3PT Field Goal,22,0
20170604,38,GSW,Jump Shot,2PT Field Goal,7,1
20170607,3,GSW,Driving Layup Shot,2PT Field Goal,1,1
20170607,4,GSW,Jump Shot,3PT Field Goal,25,1
20170607,5,GSW,Running Finger Roll Layup Shot,2PT Field Goal,1,1
20170607,5,GSW,Pullup Jump shot,2PT Field Goal,17,1
20170607,5,GSW,Step Back Jump shot,3PT Field Goal,24,0
20170607,7,GSW,Driving Layup Shot,2PT Field Goal,0,1
20170607,9,GSW,Jump Shot,3PT Field Goal,24,1
20170607,9,GSW,Driving Dunk Shot,2PT Field Goal,0,1
20170607,13,GSW,Jump Shot,2PT Field Goal,18,1
20170607,15,GSW,Jump Shot,3PT Field Goal,25,1
20170607,17,GSW,Driving Reverse Layup Shot,2PT Field Goal,1,1
20170607,18,GSW,Turnaround Fadeaway shot,2PT Field Goal,7,0
20170607,21,GSW,Jump Shot,3PT Field Goal,25,0
20170607,21,GSW,Driving Finger Roll Layup Shot,2PT Field Goal,1,1
20170607,30,GSW,Step Back Jump shot,3PT Field Goal,25,0
20170607,31,GSW,Jump Shot,3PT Field Goal,28,0
20170607,32,GSW,Turnaround Jump Shot,2PT Field Goal,9,0
20170607,32,GSW,Driving Floating Jump Shot,2PT Field Goal,3,1
20170607,33,GSW,Layup Shot,2PT Field Goal,1,0
20170607,35,GSW,Dunk Shot,2PT Field Goal,0,1
20170607,36,GSW,Running Jump Shot,2PT Field Goal,15,0
20170607,37,GSW,Driving Layup Shot,2PT Field Goal,0,0
20170607,38,GSW,Jump Shot,3PT Field Goal,23,1
20170607,42,GSW,Driving Layup Shot,2PT Field Goal,0,1
20170607,45,GSW,Driving Layup Shot,2PT Field Goal,1,0
20170607,47,GSW,Turnaround Fadeaway shot,2PT Field Goal,12,0
20170607,48,GSW,Jump Shot,3PT Field Goal,22,0
20170609,3,GSW,Turnaround Jump Shot,2PT Field Goal,13,0
20170609,3,GSW,Cutting Layup Shot,2PT Field Goal,1,1
20170609,7,GSW,Jump Shot,2PT Field Goal,3,0
20170609,11,GSW,Jump Shot,3PT Field Goal,27,0
20170609,12,GSW,Alley Oop Layup shot,2PT Field Goal,0,1
20170609,16,GSW,Jump Shot,3PT Field Goal,26,1
20170609,18,GSW,Driving Dunk Shot,2PT Field Goal,0,1
20170609,19,GSW,Pullup Jump shot,2PT Field Goal,6,1
20170609,21,GSW,Jump Shot,3PT Field Goal,27,0
20170609,22,GSW,Running Layup Shot,2PT Field Goal,0,1
20170609,23,GSW,Jump Shot,3PT Field Goal,24,1
20170609,25,GSW,Pullup Jump shot,2PT Field Goal,11,0
20170609,27,GSW,Driving Layup Shot,2PT Field Goal,1,1
20170609,27,GSW,Dunk Shot,2PT Field Goal,0,1
20170609,28,GSW,Running Layup Shot,2PT Field Goal,0,0
20170609,33,GSW,Jump Shot,3PT Field Goal,24,0
20170609,36,GSW,Jump Shot,3PT Field Goal,25,1
20170609,41,GSW,Jump Shot,2PT Field Goal,22,1
20170609,42,GSW,Jump Shot,3PT Field Goal,24,0
20170609,42,GSW,Jump Shot,3PT Field Goal,25,0
20170609,44,GSW,Turnaround Jump Shot,2PT Field Goal,14,0
20170609,45,GSW,Jump Shot,2PT Field Goal,15,0
20170612,1,GSW,Driving Bank shot,2PT Field Goal,8,1
20170612,4,GSW,Driving Layup Shot,2PT Field Goal,1,1
20170612,4,GSW,Jump Shot,2PT Field Goal,11,1
20170612,5,GSW,Running Finger Roll Layup Shot,2PT Field Goal,1,0
20170612,5,GSW,Pullup Jump shot,3PT Field Goal,24,1
20170612,6,GSW,Fadeaway Jump Shot,2PT Field Goal,18,1
20170612,7,GSW,Jump Shot,2PT Field Goal,9,0
20170612,8,GSW,Jump Shot,2PT Field Goal,18,0
20170612,10,GSW,Layup Shot,2PT Field Goal,2,0
20170612,13,GSW,Running Dunk Shot,2PT Field Goal,0,1
20170612,13,GSW,Turnaround Fadeaway shot,2PT Field Goal,19,0
20170612,14,GSW,Running Dunk Shot,2PT Field Goal,0,1
20170612,15,GSW,Jump Shot,2PT Field Goal,9,0
20170612,22,GSW,Jump Shot,3PT Field Goal,25,1
20170612,24,GSW,Cutting Layup Shot,2PT Field Goal,1,1
20170612,25,GSW,Turnaround Fadeaway shot,2PT Field Goal,8,1
20170612,27,GSW,Jump Shot,3PT Field Goal,28,0
20170612,29,GSW,Layup Shot,2PT Field Goal,2,1
20170612,31,GSW,Jump Shot,3PT Field Goal,25,0
20170612,33,GSW,Driving Floating Jump Shot,2PT Field Goal,5,1
20170612,37,GSW,Driving Reverse Layup Shot,2PT Field Goal,1,1
20170612,41,GSW,Turnaround Fadeaway shot,2PT Field Goal,9,0
20170612,41,GSW,Driving Dunk Shot,2PT Field Goal,0,1
20170612,42,GSW,Jump Shot,3PT Field Goal,28,0
20170612,42,GSW,Dunk Shot,2PT Field Goal,0,1
20170612,44,GSW,Driving Layup Shot,2PT Field Goal,1,1
20170612,45,GSW,Running Layup Shot,2PT Field Goal,1,1
20170612,46,GSW,Driving Layup Shot,2PT Field Goal,1,1
20170612,47,GSW,Turnaround Fadeaway shot,2PT Field Goal,14,0
20170612,48,GSW,Driving Layup Shot,2PT Field Goal,2,1
