CASENO,OFFENSE,CVLEGEND,BLKADDR,EVENTDTTM,Latitude,Longitude,Day
17044330,BRANDISHING,WEAPONS OFFENSE,1700 UNIVERSITY AVE,2017-07-30 16:30:00,37.870948,-122.27733,Sunday
17031942,NARCOTICS,DRUG VIOLATION,UNIVERSITY AVENUE & SECOND ST,2017-06-04 15:22:00,37.866981,-122.302083,Sunday
17033468,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,1300 TENTH ST,2017-06-11 02:16:00,37.879996,-122.296893,Sunday
17018452,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,1500 BERKELEY WAY,2017-04-02 22:00:00,37.871311,-122.281978,Sunday
17025872,DISTURBANCE,DISORDERLY CONDUCT,2100 M L KING JR WAY,2017-05-07 22:18:00,,,Sunday
17013956,MISSING ADULT,MISSING PERSON,1900 WARD ST,2017-03-12 14:30:00,37.858856,-122.271592,Sunday
17021105,NARCOTICS,DRUG VIOLATION,HEARST AVENUE & SECOND ST,2017-04-16 03:57:00,37.868417,-122.302539,Sunday
17049173,BURGLARY AUTO,BURGLARY - VEHICLE,1200 FIFTH ST,2017-08-20 16:00:00,37.880786,-122.303067,Sunday
17044310,VEHICLE STOLEN,MOTOR VEHICLE THEFT,WARRING STREET & CHANNING WAY,2017-07-30 02:30:00,37.867948,-122.250664,Sunday
17091510,VANDALISM,VANDALISM,1600 FRANCISCO ST,2017-07-30 18:50:00,37.874251,-122.280203,Sunday
17091232,THEFT MISD. (UNDER $950),LARCENY,1000 OXFORD ST,2017-06-25 21:35:00,37.890716,-122.268299,Sunday
17037372,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,2100 UNIVERSITY AVE,2017-06-25 01:30:00,37.872175,-122.267835,Sunday
17091150,BURGLARY AUTO,BURGLARY - VEHICLE,2400 DURANT AVE,2017-06-18 13:00:00,37.867513,-122.26127,Sunday
17050898,VANDALISM,VANDALISM,UNIVERSITY AVENUE & SHATTUCK AVE,2017-08-27 20:48:00,37.872106,-122.268405,Sunday
17015396,THEFT MISD. (UNDER $950),LARCENY,1000 GILMAN ST,2017-03-19 19:32:00,37.88015,-122.297446,Sunday
17042839,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,1700 SHATTUCK AVE,2017-07-23 10:15:00,37.876307,-122.268923,Sunday
17027291,DOMESTIC VIOLENCE,FAMILY OFFENSE,2100 DURANT AVE,2017-05-14 11:18:00,37.866739,-122.267299,Sunday
17090770,BURGLARY AUTO,BURGLARY - VEHICLE,100 SEAWALL DR,2017-04-16 18:30:00,37.863611,-122.317566,Sunday
17024025,2ND RESPONSE,NOISE VIOLATION,2600 HILLEGASS AVE,2017-04-30 00:00:00,37.863292,-122.256293,Sunday
17090900,THEFT FELONY (OVER $950),LARCENY,200 MARINA BLVD,2017-05-07 06:30:00,37.868667,-122.313656,Sunday
17035072,ARSON,ARSON,2600 COLLEGE AVE,2017-06-18 11:00:00,37.863598,-122.253693,Sunday
17038165,BURGLARY AUTO,BURGLARY - VEHICLE,1000 GILMAN ST,2017-07-02 10:24:00,37.88015,-122.297446,Sunday
17018724,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1500 TYLER ST,2017-03-19 08:00:00,37.852422,-122.278571,Sunday
17091311,THEFT MISD. (UNDER $950),LARCENY,1900 HEARST AVE,2017-07-02 00:00:00,37.873327,-122.273214,Sunday
17090929,BURGLARY AUTO,BURGLARY - VEHICLE,2200 BANCROFT WAY,2017-05-14 21:20:00,37.867871,-122.26565,Sunday
17025718,NARCOTICS,DRUG VIOLATION,UNIVERSITY AVENUE & W FRONTAGE RD,2017-05-07 02:45:00,37.866265,-122.305592,Sunday
17042935,THEFT MISD. (UNDER $950),LARCENY,2100 SHATTUCK AVE,2017-07-23 21:30:00,37.871167,-122.268285,Sunday
17090627,THEFT MISD. (UNDER $950),LARCENY,3000 DEAKIN ST,2017-03-26 08:00:00,37.855671,-122.262461,Sunday
17018314,BURGLARY AUTO,BURGLARY - VEHICLE,400 GILMAN ST,2017-04-02 09:00:00,37.877715,-122.309618,Sunday
17049196,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,2600 WARRING ST,2017-08-20 21:03:00,37.863934,-122.250262,Sunday
17036969,THEFT FELONY (OVER $950),LARCENY,1600 WOOLSEY ST,2017-06-25 12:00:00,37.850899,-122.276174,Sunday
17049072,ASSAULT/BATTERY MISD.,ASSAULT,DURANT AVENUE & BOWDITCH ST,2017-08-20 02:00:00,37.868103,-122.25672,Sunday
17016810,DISTURBANCE,DISORDERLY CONDUCT,2200 OXFORD ST,2017-03-26 04:34:00,37.869625,-122.265892,Sunday
17022532,ASSAULT/BATTERY MISD.,ASSAULT,COLLEGE AVENUE & PARKER ST,2017-04-23 01:30:00,37.863938,-122.253735,Sunday
17024172,DISTURBANCE,DISORDERLY CONDUCT,2900 TELEGRAPH AVE,2017-04-30 17:03:00,37.857452,-122.259548,Sunday
17013993,VEHICLE STOLEN,MOTOR VEHICLE THEFT,3100 KING ST,2017-03-12 20:00:00,37.851928,-122.274017,Sunday
17091166,BURGLARY AUTO,BURGLARY - VEHICLE,ADDISON STREET & MILVIA ST,2017-06-18 18:00:00,37.870867,-122.270635,Sunday
17090892,IDENTITY THEFT,FRAUD,1100 TENTH ST,2017-05-07 14:45:00,37.88286,-122.297848,Sunday
17036793,VANDALISM,VANDALISM,2600 SAN PABLO AVE,2017-06-25 23:20:00,37.85922,-122.289035,Sunday
17019823,THEFT FELONY (OVER $950),LARCENY,2100 SHATTUCK AVE,2017-04-09 15:45:00,37.871167,-122.268285,Sunday
17043229,VANDALISM,VANDALISM,2800 SACRAMENTO ST,2017-07-23 22:00:00,37.856792,-122.279845,Sunday
17090980,BURGLARY AUTO,BURGLARY - VEHICLE,2300 RUSSELL ST,2017-05-21 21:01:00,37.857387,-122.261536,Sunday
17025860,DOMESTIC VIOLENCE,FAMILY OFFENSE,UNIVERSITY AVENUE & ACTON ST,2017-05-07 21:28:00,37.870054,-122.284263,Sunday
17032142,VEHICLE STOLEN,MOTOR VEHICLE THEFT,900 CHANNING WAY,2017-06-04 23:30:00,37.861991,-122.294394,Sunday
17036599,GUN/WEAPON,WEAPONS OFFENSE,2200 BONAR ST,2017-06-25 00:04:00,37.86695,-122.286984,Sunday
17090636,THEFT MISD. (UNDER $950),LARCENY,1200 HEARST AVE,2017-03-26 02:00:00,37.870911,-122.289684,Sunday
17022563,NARCOTICS,DRUG VIOLATION,MARKET STREET & STANFORD AVE,2017-04-23 07:50:00,,,Sunday
17032036,ASSAULT/BATTERY FEL.,ASSAULT,2300 TELEGRAPH AVE,2017-06-04 22:33:00,37.868714,-122.259189,Sunday
17028756,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2100 NINTH ST,2017-05-21 05:24:00,37.867317,-122.293982,Sunday
17090888,IDENTITY THEFT,FRAUD,800 CONTRA COSTA AVE,2017-05-07 13:10:00,37.894483,-122.276085,Sunday
17091511,THEFT MISD. (UNDER $950),LARCENY,100 SPINNAKER WAY,2017-07-30 15:20:00,37.870287,-122.316238,Sunday
17026618,SEXUAL ASSAULT FEL.,SEX CRIME,1900 M L KING JR WAY,2017-04-30 20:00:00,,,Sunday
17091321,BURGLARY AUTO,BURGLARY - VEHICLE,100 AVENIDA DR,2017-07-09 19:20:00,37.883791,-122.249709,Sunday
17013957,GUN/WEAPON,WEAPONS OFFENSE,FULTON STREET & STUART ST,2017-03-12 22:50:00,37.858888,-122.264137,Sunday
17030401,NARCOTICS,DRUG VIOLATION,800 BOLIVAR DR,2017-05-28 13:40:00,,,Sunday
17091063,BURGLARY AUTO,BURGLARY - VEHICLE,1600 PRINCE ST,2017-06-04 05:00:00,37.85177,-122.276489,Sunday
17091243,THEFT MISD. (UNDER $950),LARCENY,600 WOODMONT AVE,2017-06-25 01:00:00,37.902059,-122.265294,Sunday
17018394,THEFT MISD. (UNDER $950),LARCENY,2600 TELEGRAPH AVE,2017-04-02 17:06:00,37.862927,-122.258784,Sunday
17042838,ASSAULT/BATTERY MISD.,ASSAULT,3200 ADELINE ST,2017-07-23 10:59:00,37.850345,-122.270911,Sunday
17013910,ROBBERY,ROBBERY,2100 PRINCE ST,2017-03-12 19:11:00,37.8531,-122.266131,Sunday
17050773,ASSAULT/BATTERY FEL.,ASSAULT,2500 DURANT AVE,2017-08-27 02:24:00,37.867852,-122.258699,Sunday
17025996,BURGLARY AUTO,BURGLARY - VEHICLE,1100 UNIVERSITY AVE,2017-05-07 23:00:00,37.869067,-122.292043,Sunday
17091275,BURGLARY AUTO,BURGLARY - VEHICLE,1444 SHATTUCK PL,2017-07-02 20:40:00,37.881525,-122.269974,Sunday
17012497,DISTURBANCE,DISORDERLY CONDUCT,1600 CARLETON ST,2017-03-05 17:00:00,37.859889,-122.278167,Sunday
17035280,THEFT MISD. (UNDER $950),LARCENY,1500 SHATTUCK AVE,2017-06-18 17:30:00,37.880227,-122.26936,Sunday
17024171,THEFT FROM AUTO,LARCENY - FROM VEHICLE,900 PAGE ST,2017-04-30 08:00:00,37.876644,-122.299354,Sunday
17029067,IDENTITY THEFT,FRAUD,1900 DELAWARE ST,2017-05-14 12:00:00,37.874237,-122.273052,Sunday
17044281,ARSON,ARSON,3200 ELLIS ST,2017-07-30 10:30:00,37.850367,-122.272807,Sunday
17027283,THEFT MISD. (UNDER $950),LARCENY,1000 ASHBY AVE,2017-05-14 09:58:00,37.851653,-122.289194,Sunday
17090854,IDENTITY THEFT,FRAUD,1300 SANTA FE AVE,2017-04-09 09:20:00,37.881201,-122.29098,Sunday
17027357,ASSAULT/BATTERY FEL.,ASSAULT,3000 TELEGRAPH AVE,2017-05-14 19:15:00,37.855435,-122.259841,Sunday
17035080,VANDALISM,VANDALISM,2000 KITTREDGE ST,2017-06-18 13:45:00,37.868204,-122.270054,Sunday
17024243,BURGLARY AUTO,BURGLARY - VEHICLE,SAN PABLO AVENUE & ADDISON ST,2017-04-30 21:15:00,37.867835,-122.291645,Sunday
17047538,NARCOTICS,DRUG VIOLATION,1700 UNIVERSITY AVE,2017-08-13 19:42:00,37.870948,-122.27733,Sunday
17016943,THEFT MISD. (UNDER $950),LARCENY,ELLSWORTH STREET & DURANT AVE,2017-03-26 16:00:00,37.867221,-122.263531,Sunday
17012381,BRANDISHING,WEAPONS OFFENSE,2000 FOURTH ST,2017-03-05 00:50:00,37.867026,-122.299737,Sunday
17090483,VANDALISM,VANDALISM,400 GILMAN ST,2017-03-05 11:30:00,37.877715,-122.309618,Sunday
17014227,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2700 CHANNING WAY,2017-03-12 00:01:00,37.867491,-122.254054,Sunday
17030453,THEFT MISD. (UNDER $950),LARCENY,1200 EUCLID ST,2017-05-28 18:09:00,,,Sunday
17091271,VANDALISM,VANDALISM,1211 ASHBY AVE,2017-07-02 10:15:00,37.852257,-122.286107,Sunday
17022740,VANDALISM,VANDALISM,2300 ROSE ST,2017-04-23 20:00:00,37.883009,-122.265094,Sunday
17021781,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1900 HENRY ST,2017-04-16 08:00:00,37.873678,-122.269765,Sunday
17047569,ROBBERY,ROBBERY,1300 UNIVERSITY AVE,2017-08-13 22:10:00,37.869764,-122.28655,Sunday
17032707,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2900 HARPER ST,2017-06-04 08:00:00,37.855832,-122.272369,Sunday
17028788,BURGLARY AUTO,BURGLARY - VEHICLE,UNIVERSITY AVENUE & SECOND ST,2017-05-21 11:43:00,37.866981,-122.302083,Sunday
17042830,ASSAULT/BATTERY MISD.,ASSAULT,3200 ADELINE ST,2017-07-23 09:47:00,37.850345,-122.270911,Sunday
17091122,THEFT MISD. (UNDER $950),LARCENY,400 ALTA RD,2017-06-11 23:00:00,,,Sunday
17030635,BURGLARY AUTO,BURGLARY - VEHICLE,2200 PARKER ST,2017-05-28 12:00:00,37.862491,-122.2646,Sunday
17030575,THEFT FROM AUTO,LARCENY - FROM VEHICLE,1000 PAGE ST,2017-05-28 22:00:00,37.877153,-122.296905,Sunday
17018613,VANDALISM,VANDALISM,1100 WALNUT ST,2017-04-02 21:00:00,37.887961,-122.269822,Sunday
17039738,NARCOTICS,DRUG VIOLATION,1900 SHATTUCK AVE,2017-07-09 12:23:00,37.873687,-122.268616,Sunday
17019831,THEFT MISD. (UNDER $950),LARCENY,2800 ADELINE ST,2017-04-09 19:06:00,37.858079,-122.268016,Sunday
17026050,VANDALISM,VANDALISM,GILMAN STREET & EASTSHORE HWY,2017-05-07 20:00:00,37.878312,-122.306543,Sunday
17016929,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,2100 CENTER ST,2017-03-26 17:57:00,37.870308,-122.26805,Sunday
17016940,ASSAULT/BATTERY MISD.,ASSAULT,2200 BONAR ST,2017-03-26 19:21:00,37.86695,-122.286984,Sunday
17024137,ASSAULT/BATTERY MISD.,ASSAULT,BANCROFT WAY & SHATTUCK AVE,2017-04-30 13:08:00,37.867601,-122.267718,Sunday
17091002,IDENTITY THEFT,FRAUD,1900 FRANCISCO ST,2017-05-21 21:36:00,37.875113,-122.273413,Sunday
17090808,VANDALISM,VANDALISM,2100 KITTREDGE ST,2017-04-23 18:00:00,37.868512,-122.26781,Sunday
17041294,ASSAULT/BATTERY MISD.,ASSAULT,1500 UNIVERSITY AVE,2017-07-16 08:10:00,37.870396,-122.281585,Sunday
17090670,BURGLARY AUTO,BURGLARY - VEHICLE,1600 ASHBY AVE,2017-04-02 23:15:00,37.853554,-122.276925,Sunday
17046417,ASSAULT/BATTERY MISD.,ASSAULT,2900 BUENA VISTA WAY,2017-08-06 00:01:00,37.883224,-122.256464,Sunday
17031856,DISTURBANCE,DISORDERLY CONDUCT,2700 CHANNING WAY,2017-06-04 02:03:00,37.867491,-122.254054,Sunday
17027249,DISTURBANCE,DISORDERLY CONDUCT,1600 WOOLSEY ST,2017-05-14 02:27:00,37.850899,-122.276174,Sunday
17044400,VANDALISM,VANDALISM,1900 TENTH ST,2017-07-30 10:00:00,37.870213,-122.293749,Sunday
17027262,SEXUAL ASSAULT FEL.,SEX CRIME,1700 OXFORD ST,2017-05-14 03:30:00,37.876881,-122.266666,Sunday
17022594,THEFT MISD. (UNDER $950),LARCENY,2100 SHATTUCK AVE,2017-04-23 12:50:00,37.871167,-122.268285,Sunday
17091073,THEFT MISD. (UNDER $950),LARCENY,2200 ROSE ST,2017-06-04 22:40:00,37.882353,-122.267136,Sunday
17091648,THEFT MISD. (UNDER $950),LARCENY,2300 PIEDMONT AVE,2017-08-20 00:00:00,37.869839,-122.252365,Sunday
17039854,GUN/WEAPON,WEAPONS OFFENSE,1400 SIXTY-SIXTH ST,2017-07-09 22:25:00,,,Sunday
17036725,THEFT FELONY (OVER $950),LARCENY,1600 JULIA ST,2017-06-25 13:00:00,37.854442,-122.277107,Sunday
17025877,ROBBERY,ROBBERY,TENTH STREET & PARKER ST,2017-05-07 22:47:00,37.859102,-122.290163,Sunday
17090643,IDENTITY THEFT,FRAUD,900 SHATTUCK AVE,2017-03-26 12:30:00,37.890945,-122.271126,Sunday
17091269,THEFT MISD. (UNDER $950),LARCENY,2200 DURANT AVE,2017-07-02 02:05:00,37.866969,-122.26553,Sunday
17012505,IDENTITY THEFT,FRAUD,1800 UNIVERSITY AVE,2017-03-05 18:40:00,37.871246,-122.274991,Sunday
17090540,THEFT FELONY (OVER $950),LARCENY,2500 HILGARD AVE,2017-03-05 18:20:00,37.878629,-122.260883,Sunday
17013821,DOMESTIC VIOLENCE,FAMILY OFFENSE,1200 ASHBY AVE,2017-03-12 09:33:00,37.852211,-122.286336,Sunday
17016963,THEFT MISD. (UNDER $950),LARCENY,2100 CARLETON ST,2017-03-26 18:30:00,37.861265,-122.26698,Sunday
17091373,THEFT MISD. (UNDER $950),LARCENY,2700 BANCROFT WAY,2017-07-16 15:30:00,37.869312,-122.254314,Sunday
17027363,DISTURBANCE,DISORDERLY CONDUCT,1800 UNIVERSITY AVE,2017-05-14 19:39:00,37.871246,-122.274991,Sunday
17039823,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,1000 CHANNING WAY,2017-07-09 16:55:00,37.862462,-122.292149,Sunday
17028878,BURGLARY AUTO,BURGLARY - VEHICLE,PARKER STREET & SAN PABLO AVE,2017-05-21 19:20:00,37.859319,-122.28907,Sunday
17019902,BURGLARY AUTO,BURGLARY - VEHICLE,1600 EASTSHORE HWY,2017-04-09 18:00:00,37.873351,-122.305374,Sunday
17028821,THEFT MISD. (UNDER $950),LARCENY,1200 SAN PABLO AVE,2017-05-21 15:28:00,37.882067,-122.296392,Sunday
17030345,DISTURBANCE,DISORDERLY CONDUCT,100 SOUTHAMPTON AVE,2017-05-28 04:44:00,37.896688,-122.27456,Sunday
17036619,ASSAULT/BATTERY MISD.,ASSAULT,CHANNING WAY & SHATTUCK AVE,2017-06-25 02:00:00,37.865791,-122.26751,Sunday
17091513,THEFT FELONY (OVER $950),LARCENY,1597 SAN PABLO AVE,2017-07-30 16:30:00,37.875253,-122.294062,Sunday
17091270,BURGLARY AUTO,BURGLARY - VEHICLE,1300 CARLOTTA AVE,2017-07-02 04:25:00,37.88253,-122.280217,Sunday
17042922,THEFT MISD. (UNDER $950),LARCENY,1900 UNIVERSITY AVE,2017-07-23 09:00:00,37.871544,-122.272714,Sunday
17013789,2ND RESPONSE,NOISE VIOLATION,2500 REGENT ST,2017-03-12 01:16:00,37.865202,-122.257795,Sunday
17015400,THEFT FROM AUTO,LARCENY - FROM VEHICLE,ADDISON STREET & SACRAMENTO ST,2017-03-19 00:30:00,37.869448,-122.281783,Sunday
17047736,THEFT FELONY (OVER $950),LARCENY,1500 FIFTH ST,2017-08-13 12:00:00,37.87493,-122.301147,Sunday
17031982,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2200 CARLETON ST,2017-06-04 10:00:00,37.861604,-122.264366,Sunday
17035149,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,HILLEGASS AVENUE & DERBY ST,2017-06-18 20:20:00,37.861661,-122.256169,Sunday
17034378,IDENTITY THEFT,FRAUD,2200 VINE ST,2017-06-11 00:00:00,37.880734,-122.265359,Sunday
17091325,THEFT MISD. (UNDER $950),LARCENY,2100 CALIFORNIA ST,2017-07-02 14:35:00,37.869524,-122.27965,Sunday
17041372,VANDALISM,VANDALISM,SOLANO AVENUE & COLUSA AVE,2017-07-16 18:09:00,37.891368,-122.279257,Sunday
17041591,DISTURBANCE,DISORDERLY CONDUCT,1700 MARIN AVE,2017-07-16 00:00:00,37.889507,-122.28167,Sunday
17047576,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,SAN PABLO AVENUE & HEARST AVE,2017-08-13 22:47:00,37.870417,-122.292485,Sunday
17012442,ASSAULT/BATTERY MISD.,ASSAULT,2500 DURANT AVE,2017-03-05 12:30:00,37.867852,-122.258699,Sunday
17012511,VEHICLE STOLEN,MOTOR VEHICLE THEFT,2900 M L KING JR WAY,2017-03-05 17:30:00,,,Sunday
17041394,DISTURBANCE,DISORDERLY CONDUCT,HAROLD WAY & ALLSTON WAY,2017-07-16 20:02:00,37.8692,-122.269308,Sunday
