leg_id,first,last,gender,state,chamber,party,birthday
G000568,H.,Griffith,M,VA,rep,Republican,1958-03-15
G000551,Raúl,Grijalva,M,AZ,rep,Democrat,1948-02-19
G000558,Brett,Guthrie,M,KY,rep,Republican,1964-02-18
H001052,Andy,Harris,M,MD,rep,Republican,1957-01-25
H001053,Vicky,Hartzler,F,MO,rep,Republican,1960-10-13
H000324,Alcee,Hastings,M,FL,rep,Democrat,1936-09-05
H001046,Martin,Heinrich,M,NM,sen,Democrat,1971-10-17
H001056,Jaime,Herrera Beutler,F,WA,rep,Republican,1978-11-03
H001038,Brian,Higgins,M,NY,rep,Democrat,1959-10-06
H001047,James,Himes,M,CT,rep,Democrat,1966-07-05
H001042,Mazie,Hirono,F,HI,sen,Democrat,1947-11-03
H001061,John,Hoeven,M,ND,sen,Republican,1957-03-13
H000874,Steny,Hoyer,M,MD,rep,Democrat,1939-06-14
H001058,Bill,Huizenga,M,MI,rep,Republican,1969-01-31
J000032,Sheila,Jackson Lee,F,TX,rep,Democrat,1950-01-12
J000292,Bill,Johnson,M,OH,rep,Republican,1954-11-10
J000126,Eddie,Johnson,F,TX,rep,Democrat,1935-12-03
J000288,Henry,Johnson,M,GA,rep,Democrat,1954-10-02
J000293,Ron,Johnson,M,WI,sen,Republican,1955-04-08
J000289,Jim,Jordan,M,OH,rep,Republican,1964-02-17
K000009,Marcy,Kaptur,F,OH,rep,Democrat,1946-06-17
K000375,William,Keating,M,MA,rep,Democrat,1952-09-06
K000376,Mike,Kelly,M,PA,rep,Republican,1948-05-10
K000188,Ron,Kind,M,WI,rep,Democrat,1963-03-16
K000210,Peter,King,M,NY,rep,Republican,1944-04-05
K000362,Steve,King,M,IA,rep,Republican,1949-05-28
K000378,Adam,Kinzinger,M,IL,rep,Republican,1978-02-27
L000564,Doug,Lamborn,M,CO,rep,Republican,1954-05-24
L000559,James,Langevin,M,RI,rep,Democrat,1964-04-22
L000575,James,Lankford,M,OK,sen,Republican,1968-03-04
L000560,Rick,Larsen,M,WA,rep,Democrat,1965-06-15
L000557,John,Larson,M,CT,rep,Democrat,1948-07-22
L000566,Robert,Latta,M,OH,rep,Republican,1956-04-18
L000174,Patrick,Leahy,M,VT,sen,Democrat,1940-03-31
L000551,Barbara,Lee,F,CA,rep,Democrat,1946-07-16
L000577,Mike,Lee,M,UT,sen,Republican,1971-06-04
L000563,Daniel,Lipinski,M,IL,rep,Democrat,1966-07-15
L000565,David,Loebsack,M,IA,rep,Democrat,1952-12-23
L000397,Zoe,Lofgren,F,CA,rep,Democrat,1947-12-21
L000576,Billy,Long,M,MO,rep,Republican,1955-08-11
L000480,Nita,Lowey,F,NY,rep,Democrat,1937-07-05
L000491,Frank,Lucas,M,OK,rep,Republican,1960-01-06
L000569,Blaine,Luetkemeyer,M,MO,rep,Republican,1952-05-07
L000570,Ben,Luján,M,NM,rep,Democrat,1972-06-07
L000562,Stephen,Lynch,M,MA,rep,Democrat,1955-03-31
M000087,Carolyn,Maloney,F,NY,rep,Democrat,1946-02-19
M001158,Kenny,Marchant,M,TX,rep,Republican,1951-02-23
M000133,Edward,Markey,M,MA,sen,Democrat,1946-07-11
M001163,Doris,Matsui,F,CA,rep,Democrat,1944-09-25
M001165,Kevin,McCarthy,M,CA,rep,Republican,1965-01-26
M001157,Michael,McCaul,M,TX,rep,Republican,1962-01-14
M001177,Tom,McClintock,M,CA,rep,Republican,1956-07-10
M001143,Betty,McCollum,F,MN,rep,Democrat,1954-07-12
M000312,James,McGovern,M,MA,rep,Democrat,1959-11-20
M001156,Patrick,McHenry,M,NC,rep,Republican,1975-10-22
M001180,David,McKinley,M,WV,rep,Republican,1947-03-28
M001159,Cathy,McMorris Rodgers,F,WA,rep,Republican,1969-05-22
M001166,Jerry,McNerney,M,CA,rep,Democrat,1951-06-18
M001137,Gregory,Meeks,M,NY,rep,Democrat,1953-09-25
M001160,Gwen,Moore,F,WI,rep,Democrat,1951-04-18
M000934,Jerry,Moran,M,KS,sen,Republican,1954-05-29
M001153,Lisa,Murkowski,F,AK,sen,Republican,1957-05-22
M001169,Christopher,Murphy,M,CT,sen,Democrat,1973-08-03
M001111,Patty,Murray,F,WA,sen,Democrat,1950-10-11
N000002,Jerrold,Nadler,M,NY,rep,Democrat,1947-06-13
N000179,Grace,Napolitano,F,CA,rep,Democrat,1936-12-04
N000015,Richard,Neal,M,MA,rep,Democrat,1949-02-14
N000147,Eleanor,Norton,F,DC,rep,Democrat,1937-06-13
N000181,Devin,Nunes,M,CA,rep,Republican,1973-10-01
O000168,Pete,Olson,M,TX,rep,Republican,1962-12-09
P000601,Steven,Palazzo,M,MS,rep,Republican,1970-02-21
P000034,Frank,Pallone,M,NJ,rep,Democrat,1951-10-30
P000096,Bill,Pascrell,M,NJ,rep,Democrat,1937-01-25
P000603,Rand,Paul,M,KY,sen,Republican,1963-01-07
P000197,Nancy,Pelosi,F,CA,rep,Democrat,1940-03-26
P000593,Ed,Perlmutter,M,CO,rep,Democrat,1953-05-01
P000595,Gary,Peters,M,MI,sen,Democrat,1958-12-01
P000258,Collin,Peterson,M,MN,rep,Democrat,1944-06-29
P000597,Chellie,Pingree,F,ME,rep,Democrat,1955-04-02
P000449,Robert,Portman,M,OH,sen,Republican,1955-12-19
P000599,Bill,Posey,M,FL,rep,Republican,1947-12-18
P000523,David,Price,M,NC,rep,Democrat,1940-08-17
Q000023,Mike,Quigley,M,IL,rep,Democrat,1958-10-17
R000585,Tom,Reed,M,NY,rep,Republican,1971-11-18
R000588,Cedric,Richmond,M,LA,rep,Democrat,1973-09-13
R000591,Martha,Roby,F,AL,rep,Republican,1976-07-27
R000582,David,Roe,M,TN,rep,Republican,1945-07-21
R000395,Harold,Rogers,M,KY,rep,Republican,1937-12-31
R000575,Mike,Rogers,M,AL,rep,Republican,1958-07-16
R000486,Lucille,Roybal-Allard,F,CA,rep,Democrat,1941-06-12
R000595,Marco,Rubio,M,FL,sen,Republican,1971-05-28
R000576,C.,Ruppersberger,M,MD,rep,Democrat,1946-01-31
R000515,Bobby,Rush,M,IL,rep,Democrat,1946-11-23
R000577,Tim,Ryan,M,OH,rep,Democrat,1973-07-16
S001177,Gregorio,Sablan,M,MP,rep,Democrat,1955-01-19
S001168,John,Sarbanes,M,MD,rep,Democrat,1962-05-22
S001176,Steve,Scalise,M,LA,rep,Republican,1965-10-06
S001145,Janice,Schakowsky,F,IL,rep,Democrat,1944-05-26
S001150,Adam,Schiff,M,CA,rep,Democrat,1960-06-22
S001180,Kurt,Schrader,M,OR,rep,Democrat,1951-10-19
S000148,Charles,Schumer,M,NY,sen,Democrat,1950-11-23
S001183,David,Schweikert,M,AZ,rep,Republican,1962-03-03
S001189,Austin,Scott,M,GA,rep,Republican,1969-12-10
S001157,David,Scott,M,GA,rep,Democrat,1945-06-27
S000185,Robert,Scott,M,VA,rep,Democrat,1947-04-30
S001184,Tim,Scott,M,SC,sen,Republican,1965-09-19
S000244,F.,Sensenbrenner,M,WI,rep,Republican,1943-06-14
S000248,José,Serrano,M,NY,rep,Democrat,1943-10-24
S001185,Terri,Sewell,F,AL,rep,Democrat,1965-01-01
S000320,Richard,Shelby,M,AL,sen,Republican,1934-05-06
S000344,Brad,Sherman,M,CA,rep,Democrat,1954-10-24
S000364,John,Shimkus,M,IL,rep,Republican,1958-02-21
S001148,Michael,Simpson,M,ID,rep,Republican,1950-09-08
S001165,Albio,Sires,M,NJ,rep,Democrat,1951-01-26
S000510,Adam,Smith,M,WA,rep,Democrat,1965-06-15
S001172,Adrian,Smith,M,NE,rep,Republican,1970-12-19
S000522,Christopher,Smith,M,NJ,rep,Republican,1953-03-04
S001175,Jackie,Speier,F,CA,rep,Democrat,1950-05-14
S001187,Steve,Stivers,M,OH,rep,Republican,1965-03-24
S001156,Linda,Sánchez,F,CA,rep,Democrat,1969-01-28
T000193,Bennie,Thompson,M,MS,rep,Democrat,1948-01-28
T000460,Mike,Thompson,M,CA,rep,Democrat,1951-01-24
T000467,Glenn,Thompson,M,PA,rep,Republican,1959-07-27
T000238,Mac,Thornberry,M,TX,rep,Republican,1958-07-15
T000250,John,Thune,M,SD,sen,Republican,1961-01-07
T000470,Scott,Tipton,M,CO,rep,Republican,1956-11-09
T000469,Paul,Tonko,M,NY,rep,Democrat,1949-06-18
T000461,Patrick,Toomey,M,PA,sen,Republican,1961-11-17
T000463,Michael,Turner,M,OH,rep,Republican,1960-01-11
U000031,Fred,Upton,M,MI,rep,Republican,1953-04-23
V000128,Chris,Van Hollen,M,MD,sen,Democrat,1959-01-10
V000081,Nydia,Velázquez,F,NY,rep,Democrat,1953-03-28
V000108,Peter,Visclosky,M,IN,rep,Democrat,1949-08-13
W000798,Tim,Walberg,M,MI,rep,Republican,1951-04-12
W000791,Greg,Walden,M,OR,rep,Republican,1957-01-10
W000797,Debbie,Wasserman Schultz,F,FL,rep,Democrat,1966-09-27
W000187,Maxine,Waters,F,CA,rep,Democrat,1938-08-15
W000806,Daniel,Webster,M,FL,rep,Republican,1949-04-27
W000800,Peter,Welch,M,VT,rep,Democrat,1947-05-02
W000795,Joe,Wilson,M,SC,rep,Republican,1947-07-31
W000808,Frederica,Wilson,F,FL,rep,Democrat,1942-11-05
W000804,Robert,Wittman,M,VA,rep,Republican,1959-02-03
W000809,Steve,Womack,M,AR,rep,Republican,1957-02-18
W000810,Rob,Woodall,M,GA,rep,Republican,1970-02-11
W000779,Ron,Wyden,M,OR,sen,Democrat,1949-05-03
Y000062,John,Yarmuth,M,KY,rep,Democrat,1947-11-04
Y000033,Don,Young,M,AK,rep,Republican,1933-06-09
Y000064,Todd,Young,M,IN,sen,Republican,1972-08-24
A000369,Mark,Amodei,M,NV,rep,Republican,1958-06-12
B001278,Suzanne,Bonamici,F,OR,rep,Democrat,1954-10-14
D000617,Suzan,DelBene,F,WA,rep,Democrat,1962-02-17
M001184,Thomas,Massie,M,KY,rep,Republican,1971-01-13
P000604,Donald,Payne,M,NJ,rep,Democrat,1958-12-17
S001194,Brian,Schatz,M,HI,sen,Democrat,1972-10-20
F000454,Bill,Foster,M,IL,rep,Democrat,1955-10-07
T000468,Dina,Titus,F,NV,rep,Democrat,1950-05-23
C001095,Tom,Cotton,M,AR,sen,Republican,1977-05-13
S001191,Kyrsten,Sinema,F,AZ,sen,Democrat,1976-07-12
L000578,Doug,LaMalfa,M,CA,rep,Republican,1960-07-02
H001068,Jared,Huffman,M,CA,rep,Democrat,1964-02-18
B001287,Ami,Bera,M,CA,rep,Democrat,1965-03-02
C001094,Paul,Cook,M,CA,rep,Republican,1943-03-03
S001193,Eric,Swalwell,M,CA,rep,Democrat,1980-11-16
B001285,Julia,Brownley,F,CA,rep,Democrat,1952-08-28
C001097,Tony,Cárdenas,M,CA,rep,Democrat,1963-03-31
R000599,Raul,Ruiz,M,CA,rep,Democrat,1972-08-25
T000472,Mark,Takano,M,CA,rep,Democrat,1960-12-10
L000579,Alan,Lowenthal,M,CA,rep,Democrat,1941-03-08
V000130,Juan,Vargas,M,CA,rep,Democrat,1961-03-07
P000608,Scott,Peters,M,CA,rep,Democrat,1958-06-17
Y000065,Ted,Yoho,M,FL,rep,Republican,1955-04-13
F000462,Lois,Frankel,F,FL,rep,Democrat,1948-05-16
C001093,Doug,Collins,M,GA,rep,Republican,1966-08-16
G000571,Tulsi,Gabbard,F,HI,rep,Democrat,1981-04-12
D000622,Tammy,Duckworth,F,IL,sen,Democrat,1968-03-12
D000619,Rodney,Davis,M,IL,rep,Republican,1970-01-05
B001286,Cheri,Bustos,F,IL,rep,Democrat,1961-10-17
W000813,Jackie,Walorski,F,IN,rep,Republican,1963-08-17
B001284,Susan,Brooks,F,IN,rep,Republican,1960-08-25
B001282,Garland,Barr,M,KY,rep,Republican,1973-07-24
W000817,Elizabeth,Warren,F,MA,sen,Democrat,1949-06-22
K000379,Joseph,Kennedy,M,MA,rep,Democrat,1980-10-04
K000383,Angus,King,M,ME,sen,Independent,1944-03-31
K000380,Daniel,Kildee,M,MI,rep,Democrat,1958-08-11
W000812,Ann,Wagner,F,MO,rep,Republican,1962-09-13
D000618,Steve,Daines,M,MT,sen,Republican,1962-08-20
H001067,Richard,Hudson,M,NC,rep,Republican,1971-11-04
H001065,George,Holding,M,NC,rep,Republican,1968-04-17
C001096,Kevin,Cramer,M,ND,sen,Republican,1961-01-21
F000463,Deb,Fischer,F,NE,sen,Republican,1951-03-01
K000382,Ann,Kuster,F,NH,rep,Democrat,1956-09-05
M001188,Grace,Meng,F,NY,rep,Democrat,1975-10-01
J000294,Hakeem,Jeffries,M,NY,rep,Democrat,1970-08-04
M001185,Sean,Maloney,M,NY,rep,Democrat,1966-07-30
W000815,Brad,Wenstrup,M,OH,rep,Republican,1958-06-17
B001281,Joyce,Beatty,F,OH,rep,Democrat,1950-03-12
J000295,David,Joyce,M,OH,rep,Republican,1957-03-17
M001190,Markwayne,Mullin,M,OK,rep,Republican,1977-07-26
P000605,Scott,Perry,M,PA,rep,Republican,1962-05-27
C001090,Matthew,Cartwright,M,PA,rep,Democrat,1961-05-01
R000597,Tom,Rice,M,SC,rep,Republican,1957-08-04
C001098,Ted,Cruz,M,TX,sen,Republican,1970-12-22
W000814,Randy,Weber,M,TX,rep,Republican,1953-07-02
C001091,Joaquin,Castro,M,TX,rep,Democrat,1974-09-16
W000816,Roger,Williams,M,TX,rep,Republican,1949-09-13
V000131,Marc,Veasey,M,TX,rep,Democrat,1971-01-03
V000132,Filemon,Vela,M,TX,rep,Democrat,1963-02-13
S001192,Chris,Stewart,M,UT,rep,Republican,1960-07-15
K000384,Timothy,Kaine,M,VA,sen,Democrat,1958-02-26
K000381,Derek,Kilmer,M,WA,rep,Democrat,1974-01-01
H001064,Denny,Heck,M,WA,rep,Democrat,1952-07-29
P000607,Mark,Pocan,M,WI,rep,Democrat,1964-08-14
K000385,Robin,Kelly,F,IL,rep,Democrat,1956-04-30
S001195,Jason,Smith,M,MO,rep,Republican,1980-06-16
B001288,Cory,Booker,M,NJ,sen,Democrat,1969-04-27
C001101,Katherine,Clark,F,MA,rep,Democrat,1963-07-17
B001289,Bradley,Byrne,M,AL,rep,Republican,1955-02-16
N000188,Donald,Norcross,M,NJ,rep,Democrat,1958-12-13
A000370,Alma,Adams,F,NC,rep,Democrat,1946-05-27
P000609,Gary,Palmer,M,AL,rep,Republican,1954-05-14
H001072,French,Hill,M,AR,rep,Republican,1956-12-05
W000821,Bruce,Westerman,M,AR,rep,Republican,1967-11-18
G000574,Ruben,Gallego,M,AZ,rep,Democrat,1979-11-20
D000623,Mark,DeSaulnier,M,CA,rep,Democrat,1952-03-31
A000371,Pete,Aguilar,M,CA,rep,Democrat,1979-06-19
L000582,Ted,Lieu,M,CA,rep,Democrat,1969-03-29
T000474,Norma,Torres,F,CA,rep,Democrat,1965-04-04
B001297,Ken,Buck,M,CO,rep,Republican,1959-02-16
C001103,Buddy,Carter,M,GA,rep,Republican,1957-09-06
H001071,Jody,Hice,M,GA,rep,Republican,1960-04-22
L000583,Barry,Loudermilk,M,GA,rep,Republican,1963-12-22
A000372,Rick,Allen,M,GA,rep,Republican,1951-11-07
B001295,Mike,Bost,M,IL,rep,Republican,1960-12-30
A000374,Ralph,Abraham,M,LA,rep,Republican,1954-09-16
G000577,Garret,Graves,M,LA,rep,Republican,1972-01-31
M001196,Seth,Moulton,M,MA,rep,Democrat,1978-10-24
M001194,John,Moolenaar,M,MI,rep,Republican,1961-05-08
D000624,Debbie,Dingell,F,MI,rep,Democrat,1953-11-23
L000581,Brenda,Lawrence,F,MI,rep,Democrat,1954-10-18
E000294,Tom,Emmer,M,MN,rep,Republican,1961-03-03
R000603,David,Rouzer,M,NC,rep,Republican,1972-02-16
W000822,Bonnie,Watson Coleman,F,NJ,rep,Democrat,1945-02-06
Z000017,Lee,Zeldin,M,NY,rep,Republican,1980-01-30
R000602,Kathleen,Rice,F,NY,rep,Democrat,1965-02-15
S001196,Elise,Stefanik,F,NY,rep,Republican,1984-07-02
K000386,John,Katko,M,NY,rep,Republican,1962-11-09
B001296,Brendan,Boyle,M,PA,rep,Democrat,1977-02-06
H001073,Will,Hurd,M,TX,rep,Republican,1977-08-19
B001291,Brian,Babin,M,TX,rep,Republican,1948-03-23
B001292,Donald,Beyer,M,VA,rep,Democrat,1950-06-20
P000610,Stacey,Plaskett,F,VI,rep,Democrat,1966-05-13
N000189,Dan,Newhouse,M,WA,rep,Republican,1955-07-10
G000576,Glenn,Grothman,M,WI,rep,Republican,1955-07-03
M001195,Alex,Mooney,M,WV,rep,Republican,1971-06-05
R000600,Aumua,Amata,F,AS,rep,Republican,1947-12-29
S001198,Dan,Sullivan,M,AK,sen,Republican,1964-11-13
P000612,David,Perdue,M,GA,sen,Republican,1949-12-10
E000295,Joni,Ernst,F,IA,sen,Republican,1970-07-01
T000476,Thom,Tillis,M,NC,sen,Republican,1960-08-30
R000605,Mike,Rounds,M,SD,sen,Republican,1954-10-24
W000819,Mark,Walker,M,NC,rep,Republican,1969-05-20
S001197,Benjamin,Sasse,M,NE,sen,Republican,1972-02-22
K000388,Trent,Kelly,M,MS,rep,Republican,1966-03-01
L000585,Darin,LaHood,M,IL,rep,Republican,1968-07-05
D000626,Warren,Davidson,M,OH,rep,Republican,1970-03-01
C001108,James,Comer,M,KY,rep,Republican,1972-08-19
E000296,Dwight,Evans,M,PA,rep,Democrat,1954-05-16
H001075,Kamala,Harris,F,CA,sen,Democrat,1964-10-20
K000393,John,Kennedy,M,LA,sen,Republican,1951-11-21
H001076,Margaret,Hassan,F,NH,sen,Democrat,1958-02-27
C001113,Catherine,Cortez Masto,F,NV,sen,Democrat,1964-03-29
S001190,Bradley,Schneider,M,IL,rep,Democrat,1961-08-20
O000171,Tom,O’Halleran,M,AZ,rep,Democrat,1946-01-24
B001302,Andy,Biggs,M,AZ,rep,Republican,1958-11-07
K000389,Ro,Khanna,M,CA,rep,Democrat,1976-09-13
P000613,Jimmy,Panetta,M,CA,rep,Democrat,1969-10-01
C001112,Salud,Carbajal,M,CA,rep,Democrat,1964-11-18
B001300,Nanette,Barragán,F,CA,rep,Democrat,1976-09-15
C001110,J.,Correa,M,CA,rep,Democrat,1958-01-24
B001303,Lisa,Blunt Rochester,F,DE,rep,Democrat,1962-02-10
G000578,Matt,Gaetz,M,FL,rep,Republican,1982-05-07
D000628,Neal,Dunn,M,FL,rep,Republican,1953-02-16
R000609,John,Rutherford,M,FL,rep,Republican,1952-09-02
L000586,Al,Lawson,M,FL,rep,Democrat,1948-09-23
M001202,Stephanie,Murphy,F,FL,rep,Democrat,1978-09-16
S001200,Darren,Soto,M,FL,rep,Democrat,1978-02-25
D000627,Val,Demings,F,FL,rep,Democrat,1957-03-12
C001111,Charlie,Crist,M,FL,rep,Democrat,1956-07-24
M001199,Brian,Mast,M,FL,rep,Republican,1980-07-10
R000607,Francis,Rooney,M,FL,rep,Republican,1953-12-04
F000465,A.,Ferguson,M,GA,rep,Republican,1966-11-15
K000391,Raja,Krishnamoorthi,M,IL,rep,Democrat,1973-07-19
B001299,Jim,Banks,M,IN,rep,Republican,1979-07-16
H001074,Trey,Hollingsworth,M,IN,rep,Republican,1983-09-12
M001198,Roger,Marshall,M,KS,rep,Republican,1960-08-09
H001077,Clay,Higgins,M,LA,rep,Republican,1961-08-24
J000299,Mike,Johnson,M,LA,rep,Republican,1972-01-30
B001304,Anthony,Brown,M,MD,rep,Democrat,1961-11-21
R000606,Jamie,Raskin,M,MD,rep,Democrat,1962-12-13
B001301,Jack,Bergman,M,MI,rep,Republican,1947-02-02
M001201,Paul,Mitchell,M,MI,rep,Republican,1961-05-08
B001305,Ted,Budd,M,NC,rep,Republican,1971-10-21
B001298,Don,Bacon,M,NE,rep,Republican,1963-08-16
G000583,Josh,Gottheimer,M,NJ,rep,Democrat,1975-03-08
R000608,Jacky,Rosen,F,NV,sen,Democrat,1957-08-02
S001201,Thomas,Suozzi,M,NY,rep,Democrat,1962-08-31
E000297,Adriano,Espaillat,M,NY,rep,Democrat,1954-09-27
F000466,Brian,Fitzpatrick,M,PA,rep,Republican,1973-12-17
S001199,Lloyd,Smucker,M,PA,rep,Republican,1964-01-23
G000582,Jenniffer,González-Colón,F,PR,rep,Republican,1976-08-05
K000392,David,Kustoff,M,TN,rep,Republican,1966-10-08
G000581,Vicente,Gonzalez,M,TX,rep,Democrat,1967-09-04
A000375,Jodey,Arrington,M,TX,rep,Republican,1972-03-09
M001200,A.,McEachin,M,VA,rep,Democrat,1961-10-10
J000298,Pramila,Jayapal,F,WA,rep,Democrat,1965-09-21
G000579,Mike,Gallagher,M,WI,rep,Republican,1984-03-03
C001109,Liz,Cheney,F,WY,rep,Republican,1966-07-28
E000298,Ron,Estes,M,KS,rep,Republican,1956-07-19
G000584,Greg,Gianforte,M,MT,rep,Republican,1961-04-17
N000190,Ralph,Norman,M,SC,rep,Republican,1953-06-20
G000585,Jimmy,Gomez,M,CA,rep,Democrat,1974-11-25
C001114,John,Curtis,M,UT,rep,Republican,1960-05-10
