"year","place","age","time"
1999,126,41,3645
1999,127,33,3648
1999,128,49,3649
1999,129,43,3667
1999,130,39,3671
1999,131,43,3672
1999,132,46,3673
1999,133,37,3674
1999,134,43,3678
1999,135,30,3679
1999,136,34,3683
1999,137,34,3685
1999,138,25,3685
1999,139,30,3686
1999,140,27,3692
1999,141,39,3695
1999,142,35,3697
1999,143,36,3698
1999,144,43,3701
1999,145,32,3704
1999,146,39,3710
1999,147,39,3712
1999,148,26,3714
1999,149,33,3715
1999,150,36,3715
1999,151,20,3717
1999,152,42,3717
1999,153,31,3719
1999,154,37,3720
1999,155,30,3720
1999,156,42,3720
1999,157,48,3721
1999,158,34,3725
1999,159,38,3726
1999,160,44,3727
1999,161,33,3727
1999,162,35,3729
1999,163,39,3731
1999,164,40,3732
1999,165,34,3735
1999,166,30,3740
1999,167,30,3744
1999,168,43,3747
1999,169,31,3748
1999,170,30,3756
1999,171,35,3757
1999,172,33,3763
1999,173,22,3763
1999,174,45,3763
1999,175,30,3764
1999,176,39,3767
1999,177,34,3775
1999,178,34,3780
1999,179,43,3780
1999,180,42,3783
1999,181,36,3784
1999,182,47,3788
1999,183,30,3793
1999,184,26,3793
1999,185,29,3798
1999,186,42,3799
1999,187,40,3800
1999,188,36,3801
1999,189,50,3801
1999,190,43,3803
1999,191,47,3806
1999,192,31,3808
1999,193,30,3810
1999,194,33,3810
1999,195,53,3812
1999,196,50,3815
1999,197,42,3817
1999,198,37,3819
1999,199,44,3821
1999,200,40,3822
1999,201,32,3830
1999,202,54,3831
1999,203,26,3832
1999,204,36,3832
1999,205,40,3834
1999,206,49,3837
1999,207,41,3837
1999,208,40,3839
1999,209,36,3839
1999,210,34,3842
1999,211,46,3843
1999,212,47,3847
1999,213,40,3848
1999,214,41,3849
1999,215,56,3852
1999,216,43,3854
1999,217,59,3855
1999,218,48,3856
1999,219,38,3857
1999,220,34,3858
1999,221,43,3859
1999,222,29,3860
1999,223,55,3861
1999,224,37,3862
1999,225,43,3863
1999,226,34,3867
1999,227,39,3870
1999,228,32,3871
1999,229,41,3879
1999,230,37,3880
1999,231,36,3881
1999,232,27,3885
1999,233,32,3887
1999,234,35,3890
1999,235,49,3893
1999,236,28,3897
1999,237,41,3899
1999,238,41,3900
1999,239,42,3900
1999,240,30,3906
1999,241,46,3908
1999,242,42,3909
1999,243,44,3909
1999,244,33,3912
1999,245,40,3915
1999,246,46,3916
1999,247,38,3921
1999,248,30,3921
1999,249,43,3922
1999,250,23,3926
1999,251,28,3933
1999,252,32,3934
1999,253,39,3935
1999,254,29,3936
1999,255,36,3937
1999,256,31,3937
1999,257,45,3939
1999,258,30,3941
1999,259,36,3942
1999,260,34,3945
1999,261,25,3946
1999,262,28,3947
1999,263,26,3947
1999,264,39,3949
1999,265,42,3950
1999,266,41,3951
1999,267,25,3951
1999,268,40,3953
1999,269,44,3954
1999,270,30,3955
1999,271,51,3957
1999,272,32,3958
1999,273,29,3960
1999,274,51,3961
1999,275,42,3961
1999,276,35,3965
1999,277,52,3968
1999,278,40,3971
1999,279,32,3972
1999,280,40,3973
1999,281,35,3974
1999,282,55,3975
1999,283,38,3976
1999,284,27,3978
1999,285,42,3980
1999,286,28,3980
1999,287,52,3980
1999,288,36,3985
1999,289,35,3988
1999,290,31,3993
1999,291,39,3994
1999,292,46,3995
1999,293,42,3997
1999,294,32,3999
1999,295,48,4000
1999,296,60,4000
1999,297,22,4000
1999,298,54,4001
1999,299,40,4004
1999,300,26,4009
1999,301,39,4010
1999,302,53,4011
1999,303,27,4011
1999,304,46,4012
1999,305,49,4013
1999,306,36,4017
1999,307,28,4017
1999,308,27,4024
1999,309,25,4024
1999,310,46,4025
1999,311,41,4028
1999,312,31,4028
1999,313,47,4032
1999,314,39,4034
1999,315,39,4034
1999,316,45,4035
1999,317,44,4037
1999,318,40,4039
1999,319,35,4039
1999,320,39,4041
1999,321,55,4042
1999,322,47,4043
1999,323,15,4043
1999,324,39,4043
1999,325,51,4046
1999,326,35,4048
1999,327,23,4050
1999,328,38,4050
1999,329,28,4050
1999,330,39,4050
1999,331,49,4051
1999,332,41,4051
1999,333,42,4051
1999,334,28,4052
1999,335,27,4053
1999,336,46,4054
1999,337,31,4059
1999,338,41,4059
1999,339,39,4061
1999,340,42,4062
1999,341,38,4066
1999,342,42,4066
1999,343,41,4068
1999,344,40,4069
1999,345,35,4071
1999,346,33,4071
1999,347,39,4077
1999,348,37,4079
1999,349,50,4081
1999,350,35,4083
1999,351,40,4084
1999,352,29,4085
1999,353,38,4086
1999,354,46,4087
1999,355,32,4087
1999,356,49,4088
1999,357,31,4088
1999,358,44,4089
1999,359,34,4090
1999,360,50,4091
1999,361,41,4092
1999,362,29,4094
1999,363,30,4096
1999,364,40,4097
1999,365,33,4098
1999,366,57,4099
1999,367,39,4099
1999,368,31,4100
1999,369,45,4100
1999,370,37,4102
1999,371,61,4103
1999,372,47,4103
1999,373,46,4104
1999,374,37,4104
1999,375,31,4104
1999,376,26,4105
1999,377,36,4105
1999,378,32,4106
1999,379,41,4107
1999,380,59,4107
1999,381,39,4108
1999,382,39,4112
1999,383,60,4114
1999,384,26,4116
1999,385,39,4116
1999,386,57,4117
1999,387,32,4117
1999,388,36,4118
1999,389,33,4119
1999,390,34,4119
1999,391,49,4120
1999,392,28,4123
1999,393,33,4123
1999,394,59,4124
1999,395,43,4124
1999,396,48,4125
1999,397,38,4126
1999,398,39,4127
1999,399,25,4129
1999,400,55,4130
1999,401,40,4130
1999,402,32,4130
1999,403,28,4131
1999,404,31,4131
1999,405,58,4133
1999,406,31,4134
1999,407,37,4135
1999,408,36,4137
1999,409,44,4138
1999,410,24,4138
1999,411,51,4138
1999,412,50,4139
1999,413,52,4139
1999,414,41,4140
1999,415,51,4140
1999,416,41,4141
1999,417,25,4141
1999,418,37,4141
1999,419,51,4144
1999,420,31,4146
1999,421,57,4147
1999,422,53,4148
1999,423,45,4148
1999,424,38,4150
1999,425,48,4150
1999,426,40,4153
1999,427,52,4153
1999,428,15,4154
1999,429,32,4155
1999,430,32,4155
1999,431,61,4157
1999,432,22,4159
1999,433,36,4160
1999,434,36,4160
1999,435,33,4161
1999,436,38,4161
1999,437,38,4163
1999,438,32,4163
1999,439,24,4166
1999,440,32,4167
1999,441,50,4168
1999,442,31,4168
1999,443,29,4170
1999,444,22,4170
1999,445,22,4171
1999,446,29,4172
1999,447,28,4173
1999,448,41,4174
1999,449,34,4177
1999,450,32,4179
1999,451,36,4179
1999,452,42,4180
1999,453,45,4180
1999,454,47,4181
1999,455,40,4182
1999,456,40,4182
1999,457,43,4183
1999,458,25,4185
1999,459,33,4186
1999,460,47,4186
1999,461,45,4189
1999,462,26,4192
1999,463,32,4192
1999,464,45,4193
1999,465,28,4194
1999,466,34,4195
1999,467,25,4197
1999,468,61,4199
1999,469,41,4199
1999,470,33,4200
1999,471,43,4200
1999,472,39,4200
1999,473,40,4204
1999,474,30,4205
1999,475,43,4205
1999,476,61,4207
1999,477,47,4207
1999,478,33,4209
1999,479,30,4210
1999,480,30,4210
1999,481,25,4212
1999,482,28,4212
1999,483,40,4213
1999,484,52,4214
1999,485,40,4215
1999,486,34,4215
1999,487,47,4215
1999,488,42,4216
1999,489,27,4217
1999,490,37,4218
1999,491,41,4218
1999,492,46,4220
1999,493,15,4220
1999,494,29,4220
1999,495,41,4223
1999,496,32,4224
1999,497,47,4224
1999,498,22,4225
1999,499,55,4226
1999,500,27,4227
1999,501,37,4228
1999,502,46,4229
1999,503,46,4230
1999,504,47,4231
1999,505,61,4232
1999,506,39,4234
1999,507,36,4235
1999,508,31,4235
1999,509,42,4235
1999,510,40,4236
1999,511,31,4237
1999,512,50,4237
1999,513,40,4240
1999,514,32,4242
1999,515,48,4243
1999,516,39,4245
1999,517,42,4248
1999,518,29,4248
1999,519,56,4250
1999,520,35,4250
1999,521,28,4251
1999,522,45,4251
1999,523,48,4251
1999,524,35,4251
1999,525,35,4251
1999,526,36,4253
1999,527,38,4253
1999,528,32,4255
1999,529,65,4255
1999,530,46,4258
1999,531,23,4259
1999,532,26,4260
1999,533,43,4260
1999,534,21,4260
1999,535,43,4262
1999,536,49,4263
1999,537,28,4264
1999,538,33,4264
1999,539,40,4265
1999,540,45,4266
1999,541,29,4267
1999,542,41,4267
1999,543,49,4268
1999,544,50,4269
1999,545,42,4270
1999,546,16,4270
1999,547,39,4273
1999,548,22,4275
1999,549,30,4277
1999,550,39,4282
1999,551,24,4282
1999,552,38,4283
1999,553,31,4283
1999,554,34,4284
1999,555,26,4285
1999,556,36,4286
1999,557,48,4286
1999,558,27,4288
1999,559,34,4292
1999,560,50,4292
1999,561,45,4294
1999,562,38,4294
1999,563,44,4295
1999,564,32,4295
1999,565,40,4295
1999,566,57,4297
1999,567,32,4298
1999,568,18,4298
1999,569,43,4299
1999,570,45,4299
1999,571,34,4300
1999,572,38,4300
1999,573,25,4301
1999,574,40,4301
1999,575,32,4302
1999,576,43,4303
1999,577,20,4303
1999,578,34,4303
1999,579,35,4304
1999,580,44,4305
1999,581,30,4310
1999,582,43,4312
1999,583,39,4313
1999,584,25,4314
1999,585,29,4314
1999,586,55,4315
1999,587,47,4318
1999,588,37,4319
1999,589,53,4320
1999,590,59,4320
1999,591,50,4321
1999,592,43,4322
1999,593,41,4322
1999,594,44,4324
1999,595,46,4326
1999,596,43,4329
1999,597,41,4330
1999,598,29,4331
1999,599,38,4331
1999,600,30,4332
1999,601,42,4333
1999,602,27,4334
1999,603,35,4334
1999,604,36,4335
1999,605,43,4335
1999,606,29,4336
1999,607,36,4336
1999,608,32,4337
1999,609,46,4339
1999,610,33,4340
1999,611,47,4341
1999,612,40,4341
1999,613,27,4341
1999,614,55,4342
1999,615,34,4342
1999,616,38,4342
1999,617,46,4343
1999,618,75,4344
1999,619,43,4345
1999,620,42,4345
1999,621,37,4346
1999,622,30,4347
1999,623,45,4348
1999,624,46,4350
1999,625,54,4351
1999,626,42,4351
1999,627,38,4351
1999,628,20,4352
1999,629,52,4354
1999,630,44,4355
1999,631,52,4355
1999,632,47,4357
1999,633,54,4358
1999,634,49,4360
1999,635,39,4361
1999,636,53,4362
1999,637,44,4362
1999,638,26,4363
1999,639,33,4363
1999,640,25,4363
1999,641,29,4364
1999,642,40,4364
1999,643,41,4364
1999,644,41,4364
1999,645,52,4365
1999,646,34,4365
1999,647,33,4365
1999,648,31,4366
1999,649,41,4366
1999,650,28,4367
1999,651,41,4367
1999,652,41,4368
1999,653,49,4369
1999,654,32,4369
1999,655,49,4370
1999,656,30,4371
1999,657,35,4371
1999,658,38,4372
1999,659,37,4372
1999,660,40,4373
1999,661,29,4374
1999,662,36,4374
1999,663,32,4374
1999,664,39,4376
1999,665,59,4377
1999,666,30,4377
1999,667,27,4379
1999,668,33,4379
1999,669,36,4379
1999,670,42,4381
1999,671,63,4383
1999,672,33,4385
1999,673,30,4386
1999,674,46,4388
1999,675,40,4388
1999,676,37,4389
1999,677,29,4389
1999,678,33,4391
1999,679,47,4391
1999,680,25,4392
1999,681,45,4392
1999,682,32,4393
1999,683,40,4393
1999,684,58,4394
1999,685,46,4395
1999,686,26,4396
1999,687,43,4397
1999,688,52,4397
1999,689,31,4398
1999,690,31,4398
1999,691,38,4399
1999,692,67,4400
1999,693,33,4400
1999,694,44,4400
1999,695,40,4400
1999,696,33,4401
1999,697,30,4401
1999,698,47,4402
1999,699,27,4402
1999,700,42,4403
1999,701,57,4403
1999,702,39,4403
1999,703,41,4404
1999,704,40,4404
1999,705,30,4407
1999,706,39,4407
1999,707,36,4408
1999,708,40,4409
1999,709,43,4410
1999,710,47,4410
1999,711,39,4411
1999,712,53,4412
1999,713,42,4412
1999,714,38,4414
1999,715,28,4415
1999,716,44,4419
1999,717,48,4420
1999,718,33,4422
1999,719,39,4424
1999,720,24,4425
1999,721,24,4427
1999,722,43,4428
1999,723,63,4429
1999,724,23,4430
1999,725,42,4431
1999,726,32,4432
1999,727,42,4433
1999,728,24,4434
1999,729,54,4435
1999,730,37,4435
1999,731,28,4436
1999,732,29,4437
1999,733,46,4438
1999,734,36,4439
1999,735,25,4439
1999,736,37,4440
1999,737,31,4442
1999,738,65,4444
1999,739,25,4445
1999,740,51,4446
1999,741,48,4447
1999,742,44,4448
1999,743,37,4448
1999,744,49,4448
1999,745,46,4449
1999,746,33,4450
1999,747,30,4450
1999,748,42,4451
1999,749,15,4452
1999,750,34,4452
1999,751,26,4453
1999,752,28,4454
1999,753,25,4454
1999,754,44,4455
1999,755,34,4455
1999,756,38,4455
1999,757,40,4456
1999,758,40,4457
1999,759,52,4458
1999,760,30,4459
1999,761,36,4459
1999,762,28,4459
1999,763,33,4460
1999,764,48,4460
1999,765,49,4461
1999,766,43,4463
1999,767,44,4466
1999,768,47,4467
1999,769,27,4467
1999,770,35,4468
1999,771,37,4469
1999,772,44,4470
1999,773,49,4470
1999,774,57,4471
1999,775,39,4471
1999,776,24,4473
1999,777,52,4473
1999,778,52,4474
1999,779,41,4475
1999,780,34,4476
1999,781,40,4476
1999,782,28,4476
1999,783,29,4477
1999,784,33,4477
1999,785,38,4478
1999,786,35,4479
1999,787,38,4479
1999,788,26,4479
1999,789,23,4481
1999,790,39,4481
1999,791,30,4482
1999,792,59,4482
1999,793,32,4483
1999,794,41,4484
1999,795,37,4484
1999,796,39,4486
1999,797,24,4487
1999,798,39,4488
1999,799,26,4488
1999,800,54,4489
1999,801,47,4489
1999,802,48,4489
1999,803,31,4490
1999,804,25,4490
1999,805,41,4491
1999,806,32,4494
1999,807,30,4494
1999,808,58,4495
1999,809,38,4496
1999,810,33,4497
1999,811,55,4499
1999,812,42,4499
1999,813,30,4500
1999,814,30,4501
1999,815,41,4504
1999,816,42,4505
1999,817,38,4506
1999,818,37,4507
1999,819,45,4508
1999,820,39,4509
1999,821,33,4510
1999,822,25,4510
1999,823,50,4510
1999,824,29,4511
1999,825,43,4512
1999,826,38,4512
1999,827,32,4512
1999,828,32,4513
1999,829,32,4513
1999,830,37,4514
1999,831,22,4514
1999,832,34,4516
1999,833,41,4518
1999,834,49,4519
1999,835,47,4520
1999,836,29,4520
1999,837,25,4521
1999,838,28,4521
1999,839,62,4521
1999,840,33,4522
1999,841,54,4523
1999,842,37,4523
1999,843,30,4523
1999,844,38,4524
1999,845,31,4524
1999,846,34,4524
1999,847,37,4525
1999,848,38,4526
1999,849,34,4527
1999,850,45,4528
1999,851,27,4531
1999,852,32,4532
1999,853,40,4532
1999,854,42,4536
1999,855,37,4536
1999,856,38,4537
1999,857,30,4538
1999,858,45,4538
1999,859,29,4539
1999,860,28,4539
1999,861,24,4539
1999,862,27,4540
1999,863,34,4541
1999,864,57,4545
1999,865,35,4546
1999,866,42,4546
1999,867,63,4546
1999,868,24,4547
1999,869,37,4548
1999,870,33,4548
1999,871,48,4549
1999,872,42,4550
1999,873,47,4551
1999,874,52,4551
1999,875,40,4551
1999,876,36,4552
1999,877,43,4552
1999,878,38,4553
1999,879,47,4553
1999,880,46,4553
1999,881,39,4554
1999,882,65,4554
1999,883,45,4555
1999,884,24,4555
1999,885,26,4555
1999,886,29,4556
1999,887,44,4558
1999,888,31,4559
1999,889,38,4559
1999,890,42,4559
1999,891,63,4560
1999,892,38,4560
1999,893,41,4560
1999,894,24,4561
1999,895,34,4561
1999,896,32,4562
1999,897,44,4562
1999,898,27,4563
1999,899,48,4563
1999,900,36,4563
1999,901,30,4565
1999,902,36,4565
1999,903,41,4566
1999,904,39,4566
1999,905,28,4567
1999,906,53,4567
1999,907,46,4568
1999,908,38,4569
1999,909,36,4570
1999,910,39,4571
1999,911,27,4571
1999,912,44,4572
1999,913,55,4575
1999,914,45,4576
1999,915,29,4579
1999,916,48,4580
1999,917,45,4581
1999,918,41,4581
1999,919,63,4583
1999,920,39,4583
1999,921,30,4584
1999,922,36,4584
1999,923,22,4584
1999,924,46,4585
1999,925,37,4585
1999,926,44,4586
1999,927,37,4586
1999,928,35,4587
1999,929,58,4587
1999,930,44,4588
1999,931,44,4589
1999,932,55,4589
1999,933,31,4590
1999,934,28,4591
1999,935,49,4591
1999,936,31,4591
1999,937,45,4592
1999,938,43,4592
1999,939,32,4593
1999,940,21,4593
1999,941,51,4594
1999,942,49,4595
1999,943,31,4595
1999,944,34,4596
1999,945,50,4597
1999,946,42,4598
1999,947,36,4600
1999,948,44,4600
1999,949,33,4601
1999,950,25,4602
1999,951,37,4602
1999,952,51,4603
1999,953,35,4604
1999,954,40,4604
1999,955,42,4605
1999,956,39,4605
1999,957,42,4605
1999,958,53,4605
1999,959,41,4606
1999,960,55,4606
1999,961,34,4608
1999,962,39,4608
1999,963,53,4608
1999,964,48,4609
1999,965,29,4610
1999,966,40,4611
1999,967,28,4615
1999,968,44,4615
1999,969,28,4616
1999,970,34,4616
1999,971,43,4617
1999,972,37,4618
1999,973,56,4619
1999,974,37,4619
1999,975,33,4620
1999,976,50,4620
1999,977,35,4620
1999,978,40,4621
1999,979,40,4622
1999,980,50,4623
1999,981,48,4624
1999,982,57,4625
1999,983,35,4625
1999,984,29,4626
1999,985,28,4627
1999,986,58,4628
1999,987,46,4629
1999,988,30,4630
1999,989,42,4631
1999,990,46,4632
1999,991,34,4632
1999,992,27,4633
1999,993,29,4634
1999,994,39,4634
1999,995,54,4634
1999,996,42,4635
1999,997,45,4636
1999,998,33,4637
1999,999,38,4637
1999,1000,54,4637
1999,1001,48,4640
1999,1002,36,4640
1999,1003,31,4640
1999,1004,43,4640
1999,1005,39,4641
1999,1006,39,4641
1999,1007,21,4642
1999,1008,39,4642
1999,1009,34,4643
1999,1010,20,4643
1999,1011,28,4643
1999,1012,45,4644
1999,1013,56,4644
1999,1014,37,4644
1999,1015,49,4644
1999,1016,44,4645
1999,1017,49,4645
1999,1018,27,4646
1999,1019,35,4646
1999,1020,42,4647
1999,1021,35,4647
1999,1022,52,4647
1999,1023,35,4647
1999,1024,54,4648
1999,1025,61,4648
1999,1026,50,4648
1999,1027,20,4649
1999,1028,30,4649
1999,1029,42,4650
1999,1030,43,4651
1999,1031,60,4651
1999,1032,52,4651
1999,1033,37,4653
1999,1034,28,4653
1999,1035,54,4653
1999,1036,49,4654
1999,1037,50,4654
1999,1038,45,4655
1999,1039,26,4655
1999,1040,39,4656
1999,1041,37,4656
1999,1042,43,4656
1999,1043,46,4658
1999,1044,31,4658
1999,1045,39,4659
1999,1046,43,4661
1999,1047,38,4662
1999,1048,52,4663
1999,1049,41,4664
1999,1050,37,4665
1999,1051,28,4666
1999,1052,25,4666
1999,1053,30,4667
1999,1054,30,4668
1999,1055,52,4668
1999,1056,29,4669
1999,1057,34,4670
1999,1058,41,4670
1999,1059,38,4671
1999,1060,62,4671
1999,1061,38,4672
1999,1062,50,4673
1999,1063,54,4673
1999,1064,35,4674
1999,1065,53,4675
1999,1066,34,4675
1999,1067,67,4677
1999,1068,48,4677
1999,1069,31,4679
1999,1070,71,4680
1999,1071,26,4680
1999,1072,48,4681
1999,1073,24,4683
1999,1074,53,4683
1999,1075,31,4688
1999,1076,32,4688
1999,1077,40,4691
1999,1078,56,4692
1999,1079,30,4692
1999,1080,44,4692
1999,1081,41,4693
1999,1082,37,4694
1999,1083,NA,4695
1999,1084,40,4695
1999,1085,74,4695
1999,1086,29,4696
1999,1087,24,4697
1999,1088,39,4697
1999,1089,44,4698
1999,1090,42,4698
1999,1091,53,4698
1999,1092,31,4699
1999,1093,41,4700
1999,1094,52,4700
1999,1095,51,4704
1999,1096,47,4704
1999,1097,34,4704
1999,1098,37,4705
1999,1099,47,4705
1999,1100,41,4706
1999,1101,40,4706
1999,1102,48,4706
1999,1103,47,4706
1999,1104,46,4707
1999,1105,28,4708
1999,1106,43,4708
1999,1107,40,4709
1999,1108,40,4710
1999,1109,52,4711
1999,1110,46,4711
1999,1111,42,4712
1999,1112,49,4713
1999,1113,56,4714
1999,1114,26,4715
1999,1115,49,4715
1999,1116,38,4716
1999,1117,39,4716
1999,1118,43,4716
1999,1119,36,4716
1999,1120,26,4717
1999,1121,31,4717
1999,1122,50,4718
1999,1123,41,4719
1999,1124,38,4719
1999,1125,39,4720
1999,1126,31,4723
1999,1127,43,4724
1999,1128,51,4726
1999,1129,27,4727
1999,1130,41,4728
1999,1131,34,4728
1999,1132,46,4728
1999,1133,35,4730
1999,1134,39,4730
1999,1135,42,4730
1999,1136,34,4731
1999,1137,30,4732
1999,1138,42,4732
1999,1139,46,4733
1999,1140,35,4735
1999,1141,35,4736
1999,1142,59,4736
1999,1143,48,4737
1999,1144,30,4738
1999,1145,40,4738
1999,1146,41,4739
1999,1147,41,4739
1999,1148,41,4739
1999,1149,27,4739
1999,1150,36,4740
1999,1151,42,4740
1999,1152,33,4740
1999,1153,29,4740
1999,1154,56,4740
1999,1155,32,4741
1999,1156,47,4741
1999,1157,35,4741
1999,1158,61,4743
1999,1159,45,4743
1999,1160,45,4744
1999,1161,29,4745
1999,1162,55,4746
1999,1163,45,4746
1999,1164,49,4746
1999,1165,46,4747
1999,1166,40,4747
1999,1167,45,4748
1999,1168,31,4748
1999,1169,47,4749
1999,1170,48,4750
1999,1171,51,4750
1999,1172,27,4751
1999,1173,40,4752
1999,1174,42,4753
1999,1175,57,4753
1999,1176,33,4753
1999,1177,28,4756
1999,1178,32,4757
1999,1179,32,4757
1999,1180,51,4758
1999,1181,51,4759
1999,1182,51,4759
1999,1183,34,4760
1999,1184,47,4760
1999,1185,25,4760
1999,1186,41,4761
1999,1187,43,4762
1999,1188,28,4763
1999,1189,41,4764
1999,1190,22,4764
1999,1191,49,4765
1999,1192,32,4765
1999,1193,22,4766
1999,1194,48,4766
1999,1195,38,4768
1999,1196,26,4768
1999,1197,33,4769
1999,1198,53,4769
1999,1199,42,4770
1999,1200,49,4771
1999,1201,44,4771
1999,1202,49,4771
1999,1203,26,4772
1999,1204,35,4772
1999,1205,44,4773
1999,1206,28,4773
1999,1207,38,4773
1999,1208,30,4774
1999,1209,24,4774
1999,1210,36,4774
1999,1211,58,4775
1999,1212,47,4776
1999,1213,52,4776
1999,1214,42,4776
1999,1215,49,4777
1999,1216,37,4777
1999,1217,42,4778
1999,1218,48,4779
1999,1219,38,4780
1999,1220,35,4780
1999,1221,44,4781
1999,1222,30,4781
1999,1223,34,4781
1999,1224,42,4782
1999,1225,33,4782
1999,1226,27,4783
1999,1227,44,4784
1999,1228,28,4785
1999,1229,61,4785
1999,1230,29,4787
1999,1231,35,4789
1999,1232,32,4789
1999,1233,43,4790
1999,1234,39,4790
1999,1235,50,4791
1999,1236,33,4792
1999,1237,46,4792
1999,1238,46,4793
1999,1239,31,4794
1999,1240,31,4794
1999,1241,30,4795
1999,1242,38,4795
1999,1243,49,4796
1999,1244,28,4796
1999,1245,35,4796
1999,1246,36,4797
1999,1247,34,4799
1999,1248,44,4800
1999,1249,37,4800
1999,1250,49,4801
1999,1251,41,4801
1999,1252,47,4802
1999,1253,37,4802
1999,1254,37,4806
1999,1255,37,4807
1999,1256,51,4807
1999,1257,37,4807
1999,1258,37,4808
1999,1259,41,4808
1999,1260,32,4809
1999,1261,33,4809
1999,1262,46,4809
1999,1263,45,4810
1999,1264,39,4811
1999,1265,39,4813
1999,1266,39,4813
1999,1267,40,4814
1999,1268,39,4817
1999,1269,29,4818
1999,1270,28,4819
1999,1271,30,4821
1999,1272,49,4823
1999,1273,28,4824
1999,1274,51,4825
1999,1275,44,4826
1999,1276,41,4826
1999,1277,31,4827
1999,1278,45,4827
1999,1279,24,4829
1999,1280,37,4830
1999,1281,32,4830
1999,1282,36,4831
1999,1283,29,4831
1999,1284,43,4832
1999,1285,35,4832
1999,1286,31,4833
1999,1287,32,4833
1999,1288,55,4834
1999,1289,28,4835
1999,1290,32,4835
1999,1291,45,4836
1999,1292,24,4838
1999,1293,35,4838
1999,1294,45,4839
1999,1295,36,4840
1999,1296,44,4841
1999,1297,43,4841
1999,1298,48,4842
1999,1299,51,4843
1999,1300,64,4843
1999,1301,29,4844
1999,1302,38,4846
1999,1303,35,4846
1999,1304,45,4846
1999,1305,52,4846
1999,1306,37,4846
1999,1307,42,4851
1999,1308,39,4851
1999,1309,51,4852
1999,1310,29,4852
1999,1311,37,4853
1999,1312,34,4853
1999,1313,38,4854
1999,1314,56,4854
1999,1315,37,4854
1999,1316,48,4856
1999,1317,50,4856
1999,1318,35,4857
1999,1319,34,4858
1999,1320,60,4858
1999,1321,42,4858
1999,1322,32,4859
1999,1323,53,4859
1999,1324,39,4860
1999,1325,35,4860
1999,1326,41,4861
1999,1327,59,4861
1999,1328,30,4862
1999,1329,37,4862
1999,1330,30,4862
1999,1331,26,4863
1999,1332,33,4864
1999,1333,34,4865
1999,1334,37,4866
1999,1335,44,4867
1999,1336,24,4867
1999,1337,54,4868
1999,1338,35,4871
1999,1339,31,4871
1999,1340,27,4872
1999,1341,29,4873
1999,1342,40,4875
1999,1343,33,4875
1999,1344,36,4876
1999,1345,52,4876
1999,1346,29,4877
1999,1347,45,4877
1999,1348,28,4878
1999,1349,27,4879
1999,1350,41,4880
1999,1351,39,4880
1999,1352,12,4881
1999,1353,38,4881
1999,1354,52,4882
1999,1355,49,4882
1999,1356,41,4883
1999,1357,43,4883
1999,1358,43,4884
1999,1359,23,4885
1999,1360,44,4885
1999,1361,55,4885
