BCS,Age,Sex,Length,Girth,Height,Weight,WeightAlt
3,10-15,female,99,120,100,169,NA
3.5,2-5,female,101,123,98,184,NA
3.5,5-10,female,101,122,101,166,NA
3,5-10,gelding,96,118,101,152,NA
2,2-5,stallion,85,101,97,98,NA
2.5,5-10,stallion,94,108,96,131,NA
2,15-20,stallion,102,106,97,136,NA
2.5,2-5,stallion,89,107,100,109,NA
3.5,2-5,female,107,120,100,165,NA
3,2-5,stallion,90,107,98,138,NA
3,>20,female,96,112,99,137,NA
3.5,10-15,female,102,122,102,177,NA
3,5-10,female,90,113,99,142,NA
3.5,5-10,female,86,120,99,160,NA
2.5,5-10,female,89,110,102,125,NA
3,>20,gelding,92,118,101,158,158
3,10-15,female,106,121,104,178,NA
3,>20,stallion,97,118,103,157,NA
3,>20,stallion,101,117,103,164,NA
3,10-15,female,90,120,104,162,NA
3,10-15,stallion,95,118,107,155,NA
3.5,10-15,female,99,118,102,166,NA
3,10-15,female,102,120,103,170,170
2,>20,stallion,93,115,103,141,NA
3,5-10,female,97,112,102,142,NA
3,10-15,female,103,120,102,165,NA
3,2-5,stallion,94,113,98,146,146
3,>20,female,89,129,102,163,NA
3,10-15,female,96,116,97,170,169
3,10-15,gelding,106,113,103,159,NA
3,10-15,gelding,97,116,103,154,NA
3,10-15,female,106,119,103,165,165
3,10-15,female,93,125,107,167,NA
3,10-15,female,95,121,101,157,157
2,2-5,stallion,93,106,97,114,114
3,10-15,female,102,119,98,181,NA
3,10-15,stallion,106,119,102,170,NA
3,10-15,stallion,102,119,104,168,NA
3,2-5,stallion,93,110,100,146,NA
3,10-15,stallion,98,120,102,163,NA
4,10-15,stallion,97,123,102,190,NA
3,2-5,female,91,116,104,138,NA
3,10-15,stallion,90,121,106,162,NA
3,10-15,gelding,108,123,102,171,NA
2.5,10-15,female,98,120,98,167,NA
2.5,>20,gelding,95,113,97,139,NA
3,10-15,female,105,122,105,188,NA
2.5,10-15,gelding,93,115,106,152,NA
3,>20,female,103,121,106,174,NA
2,15-20,stallion,91,110,99,125,NA
3.5,10-15,female,99,119,105,179,NA
3,5-10,female,97,116,102,167,NA
3.5,2-5,stallion,95,115,101,149,NA
3,10-15,gelding,98,113,95,144,NA
3,5-10,female,105,116,104,158,NA
2.5,5-10,female,93,114,97,144,NA
3,5-10,stallion,99,116,101,145,NA
3,10-15,stallion,90,113,102,140,NA
2.5,10-15,stallion,99,116,105,168,NA
2.5,2-5,female,95,116,102,152,151
3,10-15,stallion,98,115,103,161,160
3,5-10,stallion,91,111,100,155,NA
3.5,10-15,female,102,121,97,179,NA
2.5,5-10,stallion,96,115,98,143,NA
3,5-10,female,98,114,100,150,NA
3.5,10-15,stallion,93,123,102,170,NA
3,10-15,stallion,99,116,105,136,NA
3.5,2-5,female,98,124,105,167,NA
3,10-15,female,99,121,104,169,NA
2.5,10-15,stallion,89,114,102,141,NA
2,10-15,gelding,93,115,100,154,NA
1.5,5-10,female,92,113,97,131,NA
2.5,2-5,female,97,115,106,155,NA
3,10-15,stallion,105,119,102,157,NA
3,10-15,gelding,89,119,103,165,NA
2,2-5,stallion,76,98,98,92,NA
3,15-20,gelding,100,121,101,171,NA
2.5,10-15,stallion,95,119,104,156,NA
3,10-15,female,109,121,104,182,NA
2.5,10-15,stallion,96,115,101,157,NA
3.5,10-15,female,102,125,101,194,NA
3,10-15,gelding,103,124,107,174,NA
3,10-15,female,95,116,99,160,NA
4,10-15,female,96,121,99,178,NA
3,5-10,female,96,117,101,152,NA
3.5,5-10,female,94,118,99,157,NA
3,10-15,female,107,114,98,170,NA
3,10-15,female,97,114,99,142,NA
3,10-15,female,105,118,104,156,NA
3,10-15,stallion,96,120,104,167,NA
3,2-5,stallion,94,114,102,151,NA
3,10-15,stallion,91,116,105,158,NA
2.5,10-15,stallion,97,119,99,149,NA
3,10-15,stallion,91,118,102,146,NA
3,2-5,stallion,99,118,102,139,NA
2,2-5,stallion,93,107,101,133,NA
3,10-15,stallion,103,116,99,144,NA
3,10-15,female,98,124,98,178,NA
2.5,10-15,gelding,93,117,101,159,NA
1.5,>20,stallion,88,107,95,114,NA
3,10-15,stallion,99,110,96,142,NA
3,15-20,gelding,100,122,102,175,NA
2.5,10-15,stallion,92,115,98,145,NA
3,2-5,stallion,96,112,98,150,NA
3,10-15,gelding,101,116,100,155,NA
3,10-15,gelding,85,113,98,140,NA
3,2-5,stallion,85,114,98,140,NA
2.5,10-15,gelding,89,121,106,158,NA
3,10-15,stallion,92,116,105,160,NA
3,10-15,stallion,96,112,100,160,NA
3.5,10-15,female,97,122,103,188,NA
3.5,15-20,gelding,101,122,101,172,NA
2.5,2-5,female,92,117,102,145,NA
3,10-15,gelding,100,116,105,154,NA
3.5,10-15,female,96,116,99,158,NA
2,15-20,female,100,123,103,158,NA
3,10-15,female,102,122,101,165,NA
2.5,10-15,female,94,121,99,149,NA
2.5,10-15,female,91,114,97,128,NA
3.5,5-10,stallion,102,118,103,167,NA
1.5,15-20,gelding,94,111,105,126,NA
2.5,10-15,female,95,120,101,158,158
3,15-20,stallion,101,121,104,168,168
3,2-5,female,86,115,100,134,NA
3,2-5,stallion,112,123,106,186,186
2.5,2-5,stallion,90,118,99,148,NA
3,10-15,stallion,97,120,103,162,NA
2.5,15-20,stallion,89,110,94,134,NA
2.5,10-15,female,98,114,101,136,NA
3,10-15,stallion,99,121,103,168,NA
2.5,10-15,gelding,99,124,108,174,NA
2.5,2-5,stallion,88,114,96,123,NA
3.5,5-10,female,111,128,101,196,NA
3,2-5,stallion,94,116,103,146,NA
3,2-5,stallion,96,112,100,149,149
3,10-15,gelding,84,119,98,148,NA
2.5,10-15,female,98,120,103,170,NA
3,2-5,stallion,98,115,101,155,NA
3,10-15,stallion,101,116,100,165,NA
3,10-15,female,96,120,102,166,NA
3,10-15,stallion,101,122,102,165,NA
3,10-15,stallion,101,119,101,164,NA
3,10-15,gelding,103,123,105,178,NA
3,15-20,gelding,96,122,102,170,NA
2.5,10-15,stallion,95,115,99,142,NA
3.5,15-20,female,101,120,100,173,NA
2.5,5-10,female,93,111,94,127,NA
2.5,10-15,gelding,111,132,111,204,NA
2.5,10-15,female,101,120,102,155,NA
3,10-15,stallion,99,114,103,162,162
2.5,10-15,stallion,93,116,105,137,NA
3,10-15,stallion,96,121,103,171,NA
3.5,10-15,stallion,108,128,113,212,NA
3,10-15,female,104,117,103,165,NA
2.5,5-10,female,108,117,98,157,NA
3,5-10,female,101,115,101,148,NA
3,15-20,female,98,121,103,178,NA
2,5-10,female,96,116,102,151,NA
3.5,5-10,stallion,99,114,99,150,NA
3,10-15,female,101,125,103,190,NA
3,15-20,stallion,107,130,105,178,NA
3,10-15,gelding,102,123,103,188,NA
3,10-15,gelding,97,115,100,158,NA
3.5,10-15,stallion,100,125,107,195,NA
3,10-15,stallion,89,120,99,163,NA
3,10-15,stallion,102,115,99,149,149
4,10-15,stallion,110,125,105,202,NA
2,10-15,female,88,110,101,116,NA
3,10-15,female,107,121,100,165,NA
2.5,10-15,stallion,98,117,105,145,NA
3,10-15,female,93,120,99,147,NA
3,5-10,stallion,90,118,99,144,144
2.5,2-5,female,92,105,96,121,NA
4,10-15,stallion,106,126,103,200,NA
3,>20,female,102,121,102,179,NA
2,10-15,stallion,97,112,100,138,NA
2,15-20,female,93,117,98,136,NA
2.5,>20,female,101,118,104,143,NA
2.5,2-5,female,92,113,97,140,140
3,5-10,stallion,93,116,98,149,NA
3.5,5-10,female,95,123,99,166,166
3.5,10-15,female,104,121,99,173,NA
2.5,10-15,stallion,101,120,106,146,NA
2.5,10-15,female,96,116,100,143,NA
2.5,2-5,stallion,85,105,97,114,NA
3,15-20,stallion,99,115,101,145,NA
3,10-15,stallion,102,120,104,179,NA
3,10-15,stallion,90,123,102,174,NA
3,10-15,female,103,122,100,162,NA
3,10-15,female,95,116,101,158,NA
4,10-15,stallion,105,125,110,199,NA
4,10-15,gelding,101,134,110,210,NA
3,15-20,gelding,98,120,101,171,NA
2.5,2-5,female,88,111,102,130,NA
2.5,2-5,stallion,86,109,89,125,NA
3,10-15,female,93,122,102,156,NA
3,5-10,gelding,98,128,104,177,NA
3.5,10-15,gelding,99,125,104,175,NA
3,10-15,stallion,93,112,99,144,NA
4.5,10-15,female,107,130,106,227,NA
3,2-5,stallion,96,116,103,154,NA
3,15-20,gelding,103,119,99,166,NA
3,10-15,female,101,123,108,180,NA
3,2-5,female,95,110,97,130,NA
3,5-10,female,104,117,103,155,NA
3,10-15,female,102,120,99,162,NA
3.5,10-15,stallion,100,121,103,171,NA
3,5-10,gelding,100,115,101,145,NA
3,5-10,female,100,118,104,176,NA
2,10-15,female,98,111,101,138,NA
3,10-15,female,92,120,100,149,NA
3,10-15,female,96,118,97,135,NA
3,10-15,gelding,92,120,106,156,NA
3,5-10,female,91,116,102,157,NA
3.5,10-15,stallion,91,122,106,166,NA
3,2-5,female,98,123,105,160,NA
3,2-5,female,98,109,97,126,NA
3.5,10-15,female,98,120,101,177,NA
2.5,>20,female,99,119,101,156,NA
3,5-10,stallion,88,122,102,145,NA
3,10-15,female,100,115,101,136,NA
3,10-15,female,98,112,99,152,NA
3,10-15,stallion,90,118,103,154,NA
3,2-5,stallion,87,111,98,126,126
2.5,2-5,female,93,115,103,139,NA
3.5,10-15,stallion,99,117,100,160,NA
2.5,>20,stallion,95,111,100,134,134
3,2-5,stallion,93,107,100,120,NA
3,10-15,female,107,123,102,177,NA
3,2-5,female,97,113,103,130,NA
3,10-15,female,98,126,101,163,NA
3,10-15,female,97,119,103,159,NA
2.5,10-15,female,100,124,108,153,NA
2.5,2-5,female,86,112,102,130,NA
3,>20,female,101,117,105,162,NA
3,10-15,stallion,93,123,112,168,NA
3,5-10,stallion,100,115,105,164,NA
3.5,5-10,female,98,115,103,167,NA
3,10-15,gelding,94,111,99,150,NA
2.5,5-10,stallion,88,111,101,134,NA
3.5,2-5,gelding,100,113,105,154,NA
3,2-5,stallion,94,120,107,169,NA
2.5,5-10,female,104,113,105,143,NA
3,2-5,female,94,117,107,167,NA
3,5-10,female,99,119,102,166,NA
3,2-5,female,92,107,94,122,NA
3.5,10-15,gelding,99,122,102,178,NA
2.5,>20,female,102,121,108,170,NA
3,5-10,female,102,113,102,138,NA
3,15-20,female,107,121,107,165,NA
3,>20,gelding,98,117,106,160,NA
2.5,15-20,gelding,103,116,107,155,NA
2,5-10,stallion,93,106,102,120,NA
2.5,2-5,stallion,100,112,107,149,NA
2.5,15-20,female,95,111,103,125,NA
2,15-20,stallion,92,110,102,126,NA
2.5,2-5,stallion,92,110,99,122,NA
3,10-15,female,92,116,103,137,NA
2.5,10-15,female,100,117,100,139,NA
3.5,10-15,female,103,120,98,178,NA
3,10-15,stallion,94,114,101,145,NA
3,10-15,female,92,111,101,146,NA
2.5,>20,female,103,123,105,173,NA
3.5,10-15,gelding,92,124,107,172,NA
3,5-10,female,98,113,104,144,NA
3,10-15,gelding,95,119,102,158,NA
3,10-15,stallion,86,113,100,135,NA
2.5,10-15,female,95,114,99,130,NA
3,10-15,female,95,122,109,174,NA
3,5-10,stallion,81,111,101,126,NA
3,5-10,gelding,83,115,96,129,NA
3,10-15,female,91,112,100,127,126
3,>20,female,97,118,99,161,NA
3,5-10,stallion,99,119,104,168,NA
3,10-15,gelding,101,125,107,183,NA
2.5,2-5,female,86,105,100,122,NA
4,10-15,female,96,130,105,184,NA
3.5,2-5,stallion,96,115,104,160,NA
3.5,10-15,stallion,92,115,99,148,NA
2.5,10-15,stallion,97,116,102,146,NA
2,>20,gelding,94,116,106,160,NA
2.5,>20,female,96,112,103,137,NA
3,15-20,gelding,101,123,110,184,183
3,5-10,female,90,113,104,141,NA
3,5-10,stallion,93,116,100,142,NA
2.5,10-15,female,97,113,99,147,NA
2,>20,female,97,114,104,146,NA
2,2-5,stallion,97,111,102,132,NA
3,2-5,stallion,92,111,96,142,NA
2.5,2-5,female,86,106,89,114,NA
3,5-10,stallion,89,116,103,158,NA
2,10-15,stallion,94,111,100,148,NA
3,15-20,stallion,97,118,103,143,NA
3.5,10-15,stallion,98,116,99,152,NA
2.5,2-5,female,93,106,102,113,NA
2.5,10-15,stallion,96,109,98,133,NA
3,2-5,female,106,118,105,159,NA
3.5,10-15,female,108,121,101,183,NA
3,10-15,gelding,99,123,106,171,NA
2.5,2-5,female,96,113,101,136,NA
3,>20,female,103,126,101,180,NA
3,15-20,female,100,114,100,167,NA
3,5-10,gelding,95,117,101,132,NA
3.5,5-10,gelding,106,124,106,184,NA
3,10-15,female,108,115,100,150,NA
3,>20,gelding,101,117,100,147,NA
2.5,15-20,gelding,94,117,104,135,NA
3.5,10-15,female,99,125,103,180,NA
3,5-10,stallion,94,119,105,166,NA
3,>20,female,105,117,97,160,NA
3,>20,gelding,103,126,106,175,NA
2.5,2-5,stallion,93,104,98,114,NA
2.5,10-15,female,103,119,107,166,NA
3,10-15,female,103,115,103,181,NA
3,5-10,stallion,90,115,99,129,NA
2.5,10-15,stallion,100,114,102,154,NA
3,10-15,female,104,112,100,174,NA
3,10-15,gelding,98,120,106,165,NA
2.5,10-15,female,90,116,99,141,NA
3,10-15,stallion,100,115,103,156,NA
2.5,2-5,stallion,90,113,105,142,143
2.5,2-5,female,78,107,90,96,NA
3,10-15,female,90,119,101,156,NA
3.5,>20,gelding,101,121,104,178,NA
3,5-10,female,94,109,98,141,NA
3,15-20,gelding,100,125,106,175,NA
3,2-5,stallion,100,125,110,183,NA
3,2-5,female,99,118,102,151,NA
3,10-15,female,91,127,101,161,NA
4,5-10,stallion,100,128,104,183,NA
3.5,15-20,gelding,87,122,102,163,NA
3,10-15,stallion,93,126,98,161,NA
3,15-20,stallion,90,117,103,162,NA
3,>20,gelding,98,129,106,173,NA
3,2-5,female,85,113,102,132,NA
2.5,10-15,stallion,99,114,100,143,NA
2,2-5,female,99,108,100,122,123
3,10-15,stallion,89,119,105,174,NA
2.5,2-5,stallion,99,105,99,115,NA
3,2-5,female,95,112,102,144,144
3.5,10-15,female,102,126,102,177,NA
4,10-15,female,104,118,100,175,NA
2.5,>20,gelding,95,121,102,164,NA
4,10-15,female,106,124,107,204,NA
2.5,10-15,female,87,115,98,133,NA
3,10-15,female,104,122,101,163,NA
3,2-5,stallion,97,103,94,133,NA
2.5,2-5,female,97,120,112,160,NA
2.5,10-15,female,103,111,100,140,NA
3,10-15,gelding,94,112,100,151,NA
2.5,2-5,female,85,112,98,132,NA
3,10-15,female,93,120,98,143,NA
3,10-15,stallion,94,118,105,158,NA
1,>20,female,97,109,102,115,NA
3,2-5,stallion,100,120,98,147,NA
3,10-15,female,94,113,103,146,NA
3,10-15,gelding,98,120,103,158,157
3,10-15,female,98,118,101,152,NA
2.5,10-15,female,106,125,103,165,NA
3,>20,female,94,120,104,152,NA
2.5,5-10,female,98,120,108,161,NA
2.5,2-5,stallion,93,120,100,144,NA
2.5,2-5,female,99,111,101,139,NA
3,10-15,stallion,100,120,103,174,NA
3,5-10,stallion,100,120,107,164,NA
3,>20,gelding,95,120,103,153,NA
2.5,10-15,stallion,98,115,104,153,NA
2.5,>20,female,94,115,100,142,NA
2.5,>20,female,91,113,99,150,NA
3,10-15,female,101,117,103,180,NA
3,10-15,stallion,103,120,105,173,NA
2.5,2-5,female,94,100,97,126,NA
3,10-15,gelding,99,116,103,154,NA
3,2-5,female,98,113,99,130,NA
3,5-10,female,104,117,104,171,172
3,5-10,female,101,121,101,172,NA
3,10-15,female,100,119,102,168,NA
3,10-15,gelding,107,113,109,196,NA
3,2-5,female,98,113,101,132,NA
3.5,10-15,female,105,125,105,192,NA
3,5-10,gelding,101,119,108,159,NA
3.5,10-15,gelding,98,123,106,173,NA
3.5,15-20,female,104,112,105,185,NA
3.5,10-15,female,99,120,103,181,NA
2.5,10-15,female,92,112,97,140,NA
2.5,10-15,female,103,122,104,185,NA
2.5,2-5,female,88,108,97,119,NA
3,2-5,female,92,116,103,153,NA
3,2-5,female,94,112,101,142,NA
3,10-15,gelding,104,118,106,173,NA
3,10-15,stallion,95,122,105,170,NA
3,5-10,female,97,121,102,177,NA
3.5,10-15,gelding,103,128,106,194,194
2.5,10-15,stallion,98,115,103,143,143
3,2-5,stallion,102,111,99,145,NA
2.5,2-5,stallion,97,113,102,142,NA
3,2-5,stallion,101,116,99,159,NA
3,15-20,stallion,99,118,106,184,NA
2.5,>20,stallion,98,119,103,156,NA
3,5-10,female,101,120,102,179,NA
2.5,10-15,stallion,96,116,103,157,NA
2.5,10-15,stallion,97,125,104,179,NA
3,>20,stallion,90,123,104,163,NA
3,15-20,stallion,108,123,104,177,NA
3,2-5,stallion,94,117,101,143,NA
3,5-10,stallion,101,123,105,177,NA
3,15-20,stallion,102,118,104,174,NA
2.5,10-15,female,95,116,100,143,NA
3,15-20,stallion,99,126,108,193,NA
3,5-10,stallion,97,123,102,183,NA
2.5,5-10,stallion,100,123,105,183,NA
3,10-15,female,104,118,100,181,NA
3,10-15,stallion,93,122,103,170,NA
3,10-15,female,104,122,105,189,NA
3,15-20,stallion,104,131,108,193,NA
4,10-15,female,104,127,102,191,NA
3.5,10-15,stallion,105,128,105,195,NA
3,10-15,gelding,95,118,101,163,NA
2.5,10-15,stallion,91,118,108,153,NA
3,15-20,stallion,101,121,102,183,NA
3,2-5,stallion,100,115,102,156,NA
4,10-15,gelding,106,121,106,185,NA
3,2-5,stallion,101,119,103,170,NA
3,5-10,stallion,98,119,106,170,NA
3.5,15-20,gelding,106,129,110,214,NA
3,5-10,gelding,105,121,107,179,NA
3,10-15,stallion,107,115,103,173,NA
3,2-5,female,99,114,101,147,NA
3,15-20,female,107,118,106,171,NA
3,10-15,stallion,105,122,109,189,NA
3.5,10-15,female,109,128,108,214,NA
4,10-15,gelding,108,134,116,230,NA
3,2-5,stallion,91,117,103,145,NA
3,10-15,stallion,97,116,104,162,NA
3,5-10,stallion,98,121,107,169,NA
3.5,10-15,stallion,99,124,103,178,NA
3.5,>20,stallion,99,119,105,177,NA
3,2-5,stallion,89,121,106,151,NA
2.5,10-15,stallion,97,119,109,172,NA
3,15-20,female,109,118,105,180,NA
3,15-20,gelding,107,123,105,187,NA
3,2-5,female,91,111,103,132,NA
3,10-15,stallion,97,118,107,167,NA
3,5-10,stallion,99,114,100,152,NA
3,>20,gelding,100,117,103,165,NA
4,>20,gelding,103,128,108,213,NA
3.5,2-5,stallion,100,124,102,189,NA
3,10-15,stallion,98,115,101,145,NA
3,10-15,stallion,102,126,110,183,NA
2.5,10-15,stallion,103,118,103,174,NA
3,2-5,stallion,91,112,100,139,NA
3,5-10,stallion,104,124,110,189,NA
