 from pension funds and other investors in early 2000. To
 celebrate their war chest, the firm's partners rented San
 Francisco's City Hall and hired the B-52's to play at a
 party. 
 
 But as the stock market began to tumble, Texas Pacific
 hesitated. For a 17-month stretch, the partners made no
 deals. They checked out some of the biggest corporate
 blowups, including Adelphia, Xerox and Global Crossing, but
 stayed away, finding the prices and the quality of the
 businesses untenable. 
 
 Instead, Texas Pacific began to hastily exit some existing
 investments, taking more than $2 billion in profits during
 that stretch. 
 
 ""They started to cash out early in the cycle,"" said Mario
 Giannini, chief executive of Hamilton Lane, a money
 management firm, some of whose clients are Texas Pacific
 investors. 
 
 The good times of the late 1990's were not ideal for Texas
 Pacific - it struggled to find downtrodden companies that
 needed its help. 
 
 But Texas Pacific did manage to spot a few diamonds in the
 rough. It revived Oxford Health Plans, the health
 maintenance organization that nearly collapsed in the
 mid-1990's, almost doubling its money after bringing in new
 managers and upgrading computer systems. In 1996, it made a
 $280 million investment in Ducati Motor, the Italian
 motorcycle maker, whose profits have since more than
 quadrupled. 
 
 But Texas Pacific also stumbled, usually when it bought at
 the top of the market. Texas Pacific's $560 million
 investment in the J. Crew Group, the clothing retailer, for
 which it paid a steep price of 10 times cash flow in 1997,
 has been a disappointment. So has its 1999 purchase of
 Bally, the shoe maker, which has suffered from lower demand
 for luxury goods. 
 
 Texas Pacific also lost more than $100 million on Zilog, a
 semiconductor company, and Favorite Brands, a candy maker,
 both of which filed for bankruptcy. 
 
 Some of these investments have taken a toll on the firm's
 performance. Texas Pacific is still selling off holdings in
 two investment funds it raised over the last decade. The
 first fund, a $720 million portfolio raised in 1993 and
 including investments made through March 1997, should
 return more than 40 percent, according to one Texas Pacific
 investor. But its second fund - $2.5 billion raised in 1997
 - could return less than half that, this investor
 estimated, since the firm had less time to take profits on
 these investments before the stock market sank. 
 
 But because Texas Pacific has not sold many of its holdings
 in the second fund, profits on these investments could
 rebound. It is hoping, for example, that with new
 management in place, J. Crew will turn around as the
 economy rebounds. In any case, one competitor said, ""their
 returns look pretty good when you consider that some other
 funds won't return any capital"" to investors. 
 
 But with the weak economy throwing many companies into
 trouble, Texas Pacific seems poised to repeat its earlier
 success, the investor said. ""They should do exceptionally
 well,"" he said. 
 
 Texas Pacific has a distinct style - if not formula. It
 relies on talented, self-sufficient managers to restructure
 troubled companies, preferring to remain hands-off, except
 for surveillance from the boardroom. When necessary, it
 replaces managers. 
 
 Less than a year after Continental emerged from bankruptcy,
 for example, Mr. Bonderman watched with frustration as his
 old friend Robert R. Ferguson, the chief executive, led it
 to the edge of another trip to bankruptcy court. 
 
 Continental's board, where Mr. Bonderman was chairman, then
 brought in Gordon M. Bethune, an executive at Boeing, and
 in October 1994 he replaced Mr. Ferguson as chief
 executive. Mr. Bethune quickly did a top-to-bottom overhaul
 of the company and is now considered a great turnaround
 artist of the industry. 
 
 ""The biggest conflict I've ever seen was with Bob
 Ferguson,"" said Clark Onstad, a former general counsel for
 the Federal Aviation Administration, in describing the
 thinking of Mr. Bonderman, whom he has known since the 1982
 Braniff bankruptcy. ""He chose Bethune over his longtime
 friend Ferguson because he thought Bethune would do a
 better job."" 
 
 At America West, Texas Pacific initiated an even more
 extensive management overhaul. This time, the charge was
 led by Mr. Coulter and Mr. Schifter, both directors. 
 
 W. Douglas Parker, the current chief executive, flew to Mr.
 Coulter's home in San Francisco to interview for the job of
 chief financial officer. They talked for hours, and Mr.
 Parker said the two men quickly realized they had ""somewhat
 kindred spirits."" 
 
 The board replaced most senior managers at America West,
 except William Franke, the chief executive, who stepped
 down last September. His restructuring plan had made the
 airline profitable a year and a half before it emerged from
 bankruptcy in August 1994. 
 
 Texas Pacific owns just 3 percent of America West, worth
 about $33.7 million. But those are controlling shares, and
 the group holds more than 50 percent of the votes. 
 
 ""These are not passive investors, nor am I,"" said Donald L.
 Sturm, a Denver businessman who serves on Continental's
 board with Mr. Bonderman and Mr. Price. ""You're active.
 Your money is at stake. Your reputation is at stake."" 
 
 After overseeing managers who worked successfully with
 unions at Continental and America West, Texas Pacific has a
 good reputation with labor. That was one reason US Airways
 was interested in a Texas Pacific investment, said Chris
 Chiames, a spokesman for the airline. 
 
 Mr. Siegel wanted an investor who would ""be as labor
 friendly as possible,"" Mr. Chiames said. But US Airways can
 still entertain other bids this fall, and Marvin Davis, the
 billionaire investor from Los Angeles, has expressed
 interest. 
 
 Texas Pacific's investment in Burger King, made with
 Goldman, Sachs and Bain Capital, was announced after two
 years of discussions among Texas Pacific's partners and the
 chain's franchisees - even before the company, which had
 been owned by Diageo, the liquor company, was put up for
 sale, said Julian Josephson, chairman of the National
 Franchisee Association, which represents most Burger King
 franchisees. 
 
 ""We liked what they had to say about the human component of
 the businesses they buy,"" Mr. Josephson said. Many other
 owners, he added, ""are dismissive of labor."" 
 
 At Burger King, Texas Pacific will also be working with an
 executive it knows. Burger King's chief executive is John
 Dasburg, the former chief executive of Northwest Airlines,
 who met Mr. Bonderman and his partners when Northwest
 bought out their stake in Continental in 1998. 
 
 Unlike most buyout firms, Texas Pacific remains enamored
 with the technology industry, despite the failure of so
 many start-ups the last two years. It has focused on the
 semiconductor industry, which like the airline industry is
 highly cyclical. So far, though, results have been mixed. 
 
 The firm's 1996 acquisition of the Paradyne Corporation,
 which makes equipment for high-speed Internet connections,
 has been a huge success. Texas Pacific split it in two and
 took both parts public in the late 1990's, selling most of
 its stakes for 23 times its investment. But a much larger
 investment, its $400 million acquisition of Zilog, the chip
 maker, in 1998, was made just before the economic crisis in
 Asia caused chip prices to plummet. Zilog filed for
 bankruptcy last year. 
 
 Texas Pacific is still hoping for a turnaround at a third
 company, ON Semiconductor, which it acquired for $1.6
 billion three years ago. It invested $100 million more last
 year. 
 
 Its latest gamble on the industry, the $6 deal for MEMC,
 may prove the most lucrative. The cost of mailing the
 payment to E.On, based in Dsseldorf, Germany, was actually
 more than the acquisition, one executive close to the deal
 said. 
 
 Texas Pacific, and its partners in the deal, Trust Company
 of the West and Leonard Green & Partners, agreed to
 guarantee a $150 million revolving line of credit. Texas
 Pacific also assumed $900 million worth of debt, most of
 which it swapped for more stock in the company. 
 
 ""They did a good job of timing the acquisition,"" said
 Nabeel Gareeb, the company's chief executive, who noted
 that in the last quarter MEMC reported its first profit
 since the fourth quarter of 2000. 
 
 But Texas Pacific's interest in airlines is clearly
 sizable. Besides its involvement in Continental, America
 West and US Airways, the company plans to buy Gate Gourmet,
 the catering business of the bankrupt Swissair Group. 
 
 Two years ago, Texas Pacific started a Web-based discount
 ticket service called Hotwire. It put up most of the $75
 million in seed money, then persuaded six airlines to
 invest with it, said Karl Peterson, the chief executive.
 Hotwire, instead of asking consumers to bid on tickets, as
 Priceline does, shows the cheapest ticket on its Web site
 but does not reveal the exact flight and travel time until
 after the sale. 
 
 The contraction of the new economy has undoubtedly hurt
 Hotwire, which is privately owned. Mr. Peterson said that
 the company was still unprofitable but that Texas Pacific
 remains committed to it. 
 
 Last spring, Mr. Peterson met Mr. Bonderman in Aspen to
 talk about Hotwire and to go snowboarding. Mr. Bonderman
 seemed perfectly willing to accompany Hotwire down the
 steep Internet chute. But he does have his limits on risk,
 Mr. Peterson discovered. Before going down the mountain,
 Mr. Bonderman strapped on a helmet.  
 
 http://www.nytimes.com/2002/08/25/business/yourmoney/25TEXA.html?ex=1031278887&ei=1&en=05fca479b8bcee6b
 
 
 
 HOW TO ADVERTISE
 ---------------------------------
 For information on advertising in e-mail newsletters 
 or other creative advertising opportunities with The 
 New York Times on the Web, please contact
 onlinesales@nytimes.com or visit our online media 
 kit at http://www.nytimes.com/adinfo
 
 For general information about NYTimes.com, write to 
 help@nytimes.com.  
 
 Copyright 2002 The New York Times Company
 http://xent.com/mailman/listinfo/fork
 
",0
3,"URL: http://boingboing.net/#85486499
 Date: Not supplied
 
 A new addition to the parodical genre of 419 (""Nigerian Money Laundry Scam"") 
 letters from members of the Shrub establishment, following up on Cheney's 
 letter[1]. 
 
     I am the widow of the late President George W. Bush of the United States of 
     America. I am writing you this letter in confidence regarding my current 
     circumstances. 
 
     I escaped the United States ahead of death squads with my husband and two 
     children Jenna and Frank, moving first to England and then, when my 
     husband's political enemies took power there, to Austria. All of our 
     wealth, obtained legitimately through baseball, oil drilling and insider 
     trading, was seized by the new government of the USA under the despotic 
     regime of (Dr.) Noam Chomsky, except for the contents of a few Swiss bank 
     accounts. These bank accounts, which contain social security lock-box funds 
     and the bulk of the 2001 budget surplus, could not be accessed by me or my 
     children, due to agreements made between the socialist government of the 
     USA and Swiss bank regulators. They seized our ranch in Crawford, Texas and 
     now use it to teach homosexualist propaganda to schoolchildren.  
 
 Link[2] Discuss[3] (_Thanks, Stefan!_)
 
 [1] http://atrios.blogspot.com/2002_08_18_atrios_archive.html#80547516
 [2] http://brainslug.org/archives/000224.html#000224
 [3] http://www.quicktopic.com/boing/H/7zkxnLj3i6Da
 
 
",0
4,"Hi.
 
 Dave Cridland <dave@cridland.net> wrote:
 
 > > recommends *against* using '%configure' (""We will try to support users
 > > who accidentally type the leading % but this should not be relied
 > > upon.""), and yet
 
 [snip]
 
 > They're just suggesting people use ""./configure"" instead.
 
 No, they do not (what would be the use of that, anyway?). They say that
 they will _try_ to eval macros even if the user forgot to pass the
 leading '%', but that this feature should not be relied upon.
 
 -- 
 On the first day of Christmas my true love sent to me
        A badly configured newsreader
 
 _______________________________________________
 RPM-List mailing list <RPM-List@freshrpms.net>
 http://lists.freshrpms.net/mailman/listinfo/rpm-list
 
",0
5,"Shouldn't there be a w, somewhere in tehre?  Simply setting group and 
 owner to read and execute won't alleviate a write problem.
 
 On Thu, 5 Sep 2002, Michael Duff wrote:
 
 > This is due to insufficient write privileges to the ""razor-agent.log"" 
 > file. A quick work-around is to do a ""chmod go+rx"" on that file (of 
 > course, it's better to restrict the access as much as possible).
 > 
 > In Agent.pm, when the Razor2::Logger object is created, if it doesn't 
 > have write permission to the log file it does not succeed. Then, later 
 > in the code when the log object is used, it fails with the ""unblessed"" 
 > error.
 > 
 > Hope this helps,
 > Michael Duff
 > 
 > David Rees wrote:
 > 
 > >This is my first time running Razor, heard a lot of good things about it so
 > >I thought I'd give it a shot.  I also run SpamAssassin so I'd like to
 > >integrate the two.
 > >
 > >I'm not sure if this problem is with SpamAssassin or Razor, so I though I'd
 > >shoot the message here first
 > >
 > >With a freshly installed SpamAssassin 2.41 and Razor 2.14 I'm seeing these
 > >messages spit out from spamd:
 > >
 > >razor2 check skipped: No such file or directory Can't call method ""log"" on
 > >unblessed reference at /usr/lib/perl5/site_perl/5.6.0/Razor2/Client/Agent.pm
 > >line 211, <STDIN> line 75.
 > >
 > >Any ideas?  razor seems to run correctly over the command line.
 > >
 > >Thanks,
 > >-Dave
 > >
 > >
 > >-------------------------------------------------------
 > >This sf.net email is sponsored by: OSDN - Tired of that same old
 > >cell phone?  Get a new here for FREE!
 > >https://www.inphonic.com/r.asp?r=sourceforge1&refcode1=vs3390
 > >_______________________________________________
 > >Razor-users mailing list
 > >Razor-users@lists.sourceforge.net
 > >https://lists.sourceforge.net/lists/listinfo/razor-users
 > >  
 > >
 > 
 > 
 > 
 > 
 > 
 > -------------------------------------------------------
 > This sf.net email is sponsored by: OSDN - Tired of that same old
 > cell phone?  Get a new here for FREE!
 > https://www.inphonic.com/r.asp?r=sourceforge1&refcode1=vs3390
 > _______________________________________________
 > Razor-users mailing list
 > Razor-users@lists.sourceforge.net
 > https://lists.sourceforge.net/lists/listinfo/razor-users
 > 
 
 
 
 -------------------------------------------------------
 This sf.net email is sponsored by: OSDN - Tired of that same old
 cell phone?  Get a new here for FREE!
 https://www.inphonic.com/r.asp?r=sourceforge1&refcode1=vs3390
 _______________________________________________
 Razor-users mailing list
 Razor-users@lists.sourceforge.net
 https://lists.sourceforge.net/lists/listinfo/razor-users
 
",0
6,"
 On Tue, 10 Sep 2002 01:20:56 PDT,
 	J C Lawrence <claw@kanga.nu> wrote:
 
 > On Mon, 09 Sep 2002 15:36:37 -0400 
 > Tom Reingold <noglider@pobox.com> wrote:
 > 
 > > At work, I have to use Outlook.  Ick.  I hate it.  
 > 
 > Ahh.  At work we fire people who use Outlook (Literally true: They get
 > escorted to the door, their badge confiscated, and told to return the
 > next day to collect their office contents).
 
 Why?  What threat does Outlook pose to your organization?
 
 > > But it does a few things right.  Like making indices for each folder,
 > > and not just by date, but also by sender, message size, subject.  So I
 > > can sort by any column instantly.
 > 
 > Have you looked into using a custom sequences file?
 
 More detail please?  I do use sequences, so I'm familiar with their
 use, but how can I make indices with them, and how can I keep them
 up to date?
 
 > > And mime handling is pretty bad compared with modern mailers.
 > 
 > The only thing I actually miss in that regard is support for S/MIME.
 
 You're probably running exmh on a local machine.  I'm running it on
 a very remote machine.  In this scenario, the mime handling is weak.
 
 
 
 _______________________________________________
 Exmh-users mailing list
 Exmh-users@redhat.com
 https://listman.redhat.com/mailman/listinfo/exmh-users
 
 
",0
7,"> > Would someone please enlighten me on dependencies / pre-requisites
 > > for installation in FreeBSD. The 'official' documentation isn't
 particularly
 > > explicit about this stuff .... eg 'procmail' is mentioned but without
 saying
 > > whether or not its essential, & no info provided on whether GNUmake is
 > > required or if standard BSD 'make' is OK.
 >
 > I thought we were quite good about it, in the README file!
 >
 > procmail is essential *if* you're using (a) SpamAssassin for local
 > delivery, (b) not using a milter, and (c) not using a Mail::Audit
 > script instead.  So probably yes.
 >
 > BSD make is OK, if Perl generally uses it to build Perl modules.
 > SpamAssassin is just anotehr Perl module in that respect.
 >
 Back to this stuff again  ..... searched high & low but definitely nothing
 on this system even vaguely resembling a README file for spamassassin.
 I have procmail installed but having major problems comprehending the
 setup .... would appreciate info on any 'simple english' HOWTo
 
 
",0
8,"> 
 > The workaround is to pass an extra argument to configure as follows :
 > 
 > %configure --program-prefix=%{?_program_prefix:%{_program_prefix}}
 > 
 
 This works when you are defining a switch that %configure
 does not already define, but how can we override an
 existing switch?  For example,
 
   prefix: /usr/local
 
   %configure --prefix=%{?_prefix:%{prefix}}
 
 would be desirable for making a .rpm package relocatable,
 but this doesn't work.  'configure' receives two switches,
 the default '--prefix=/usr' and the (attempted) override
 '--prefix=/usr/local', but it only recognizes the first one.
 
 ---
 
 _______________________________________________
 RPM-List mailing list <RPM-List@freshrpms.net>
 http://lists.freshrpms.net/mailman/listinfo/rpm-list
 
",0
9,"Tabor J. Wells wrote:
 > And where does it say production-ready? http://razor.sourceforge.net
 > says at the top of the page:
 >
 > June 13, 2002 - Vipul's Razor v2 released! The first beta of Vipul's
 > Razor v2 is now available for public download.
 
 1)  I think the code is still very much pre-beta.
 
 2)  When you go to the ""Download"" page, it tells you ""Fetch the latest
 versions of razor-agents and razor-agents-sdk packages""  It is not at all
 clear that these are development packages.
 
 The site is badly designed, and very misleading.  IMO.  The fact that the
 word ""beta"" appears in the middle of some introductory text on the front
 page is hardly a valid argument.  (Well accepted software design ""fact"":
 USERS DON'T READ *ANYTHING*)
 
 I get the impression that Vipul & co are deliberately trying to mislead
 users into downloading the dev code in order to get more unwitting test
 sites.
 
 But that's just my opinion, I could be wrong.
 
 rOD.
 
 --
 Anyway... long story short...
 ...is a phrase whose origins are complicated and rambling.
 
 >> Doing the blogging thang again at http://www.groovymother.com/ <<
 
 
 
 -------------------------------------------------------
 This sf.net email is sponsored by:ThinkGeek
 Welcome to geek heaven.
 http://thinkgeek.com/sf
 _______________________________________________
 Razor-users mailing list
 Razor-users@lists.sourceforge.net
 https://lists.sourceforge.net/lists/listinfo/razor-users
 
 
",0
10,"On Mon, 2002-08-19 at 18:28, Dave Wilson wrote:
 > IIRC, if the query string contains
 > 
 > varname=FIRST&varname=SECOND
 > 
 > then PHP will create a variable called ""varname"" with result SECOND. 
 > However, if the query string contains
 > 
 > varname[]=FIRST&varname[]=SECOND
 > 
 > then PHP will create an array with varname[1]==FIRST and varname[2]==SECOND
 
 By far the coolest solution to this would be to ""fix"" php :)
 Take a look at main/php_variables.c in the php source distribution.
 You could mess around with the variable is_array in
 php_register_variable_ex() and see if you can force all variables to be
 arrays :) As far as I can tell the reason they do this is to save
 time by not having to work out which variables have multiple values.
 
 Nick
 
 
 _______________________________________________
 Webdev mailing list
 Webdev@linux.ie
 http://www.linux.ie/mailman/listinfo/webdev
 
",0
11,"On Tue, 2002-10-08 at 04:48, Panu Matilainen wrote:
 > On Mon, 7 Oct 2002, Jesse Keating wrote:
 > 
 > > On Mon, 7 Oct 2002 19:28:51 +0200
 > > Matthias Saou <matthias@rpmforge.net> wrote:
 > > 
 > > # I've never heard of any CD-ROM or DVD-ROM drive having problems with
 > > # DMA... although there probably is since Red Hat decided to default
 > > # disabling it a few releases back :-/
 > > 
 > > When I worked as a PC repair tech for a Computer store chain, I did
 > > run across quite a few DVD drives that would lock up if DMA was
 > > enabled.  It's more of a chipset/drive problem than a Drive by itself.
 > 
 > And my IBM Intellistation would lock up instantly .. now this is actually 
 > quite funny .. if DMA was enabled for the CD-ROM *and* you tried to access 
 > a CD with Joliet extensions. Otherwise it worked just fine with DMA 
 > enabled :)
 
 Odd. Did I certify that one? What's the 7-digit IBM model number, and
 which version of Red Hat were you running?
 
 -- 
 Chris Kloiber
 
 
 _______________________________________________
 RPM-List mailing list <RPM-List@freshrpms.net>
 http://lists.freshrpms.net/mailman/listinfo/rpm-list
 
 
",0
12,"URL: http://jeremy.zawodny.com/blog/archives/000221.html
 Date: 2002-10-03T21:59:32-08:00
 
 Is it just me, or is RSS really, really close to critical mass. You, know the 
 kind where you read article in The Wall Street Journal about it. Well, Dave 
 notes that ""I just learned that RSS is being taught...
 
 
",0
13,"<html><head><!--
 
 
       CLICK HERE to read this newsletter on the Web for FREE:
 
       <a href=""http://www.lockergnome.com/issues/daily/20020722.html"">
       http://www.lockergnome.com/issues/daily/20020722.html
       </a>
 
       To unsubscribe, simply reply to this e-mail message.
 
       To resubscribe, visit our site: http://www.lockergnome.com/
 
       Don't worry about anything else below this paragraph.
       It's for those with HTML e-mail clients. Just go to
       the above listed web address to view this issue
       perfectly in your web browser. Thanks again! -->
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 <style type=""text/css"">
 <!--
  body      { BACKGROUND-IMAGE: url(http://images.lockergnome.com/images/issue/top-right.gif); color: #990000 }
  a:link    { COLOR: #000000; TEXT-DECORATION: underline; font-weight: normal }
  a:visited { COLOR: #C84200; TEXT-DECORATION: underline; font-weight: normal }
  a:active  { COLOR: GRAY; text-decoration: none }
  a:hover   { color: GRAY; TEXT-DECORATION: none }
  p.title   { BACKGROUND: #FFCC99; BORDER-BOTTOM: #FF9966 4px solid; BORDER-LEFT: #FFEEDD 4px solid; BORDER-RIGHT: #FF9966 4px solid; BORDER-TOP: #FFEEDD 4px solid; COLOR: #990000; FONT-FAMILY: Comic Sans MS, Trebuchet MS, Helvetica, Arial; FONT-SIZE: 14pt; FONT-WEIGHT: normal }
  p.sidebar { BACKGROUND: #FFEEDD; TEXT-ALIGN: center; BORDER-BOTTOM: #FFCC99 3px solid; BORDER-LEFT: #FFFFFF 3px solid; BORDER-RIGHT: #FFCC99 3px solid; BORDER-TOP: #FFFFFF 3px solid; COLOR: #990000; FONT-FAMILY: Comic Sans MS, Trebuchet MS, Helvetica, Arial; FONT-SIZE: 10pt; FONT-WEIGHT: bold } 
  .url      { font-size: 8pt; font-family: Verdana, Tahoma, Arial }
 -->
 </style><title>20020722 Lockergnome Windows Daily</title></head>
 
 <body   MARGINHEIGHT=""0"" TOPMARGIN=""0"" BOTTOMMARGIN=""0"" bgcolor=""#FFFFFF""   style=""BACKGROUND-POSITION: right top; BACKGROUND-REPEAT: no-repeat"" MARGINWIDTH=""0"" LEFTMARGIN=""0"" rightmargin=""0"">
 
 <!-- background=""http://images.lockergnome.com/images/bg.head.gray.gif"" bgcolor=""#C0C0C0"" left width=""610"" background=""http://www.lockergnome.com/images/issue/top-right-2.gif"" -->
 
  <table width=""100%"" border=""0"" cellspacing=""0"" cellpadding=""7"" align=""CENTER"" valign=""MIDDLE"">
